 time,    start,     dur,        perc,  X,    
 000.000, 660879878, 000002709,  0.000, _,    
 000.010, 670850503, 000001584,  0.000, _,    
 000.020, 680846212, 000001583,  0.000, _,    
 000.030, 690846253, 000001459,  0.000, _,    
 000.040, 700845045, 000001250,  0.000, _,    
 000.050, 710845878, 000001292,  0.000, _,    
 000.060, 720845128, 000001209,  0.000, _,    
 000.070, 730845212, 000000916,  0.000, _,    
 000.080, 740844295, 000000958,  0.000, _,    
 000.090, 750844170, 000001208,  0.000, _,    
 000.100, 760844920, 000000958,  0.000, _,    
 000.110, 770844253, 000001209,  0.000, _,    
 000.120, 780844003, 000001209,  0.000, _,    
 000.130, 790844253, 000001000,  0.000, _,    
 000.140, 800844337, 000001000,  0.000, _,    
 000.150, 810845087, 000001708,  0.000, _,    
 000.160, 820844837, 000001000,  0.000, _,    
 000.170, 830843920, 000001208,  0.000, _,    
 000.180, 840845087, 000001500,  0.000, _,    
 000.190, 850844462, 000001166,  0.000, _,    
 000.200, 860844420, 000001417,  0.000, _,    
 000.210, 870843795, 000001208,  0.000, _,    
 000.220, 880844712, 000000958,  0.000, _,    
 000.230, 890845003, 000001459,  0.000, _,    
 000.240, 900843337, 000001166,  0.000, _,    
 000.250, 910844545, 000001583,  0.000, _,    
 000.260, 920845087, 000001250,  0.000, _,    
 000.270, 930844337, 000001250,  0.000, _,    
 000.280, 940845462, 000001000,  0.000, _,    
 000.290, 950844587, 000001000,  0.000, _,    
 000.300, 960843420, 000001417,  0.000, _,    
 000.310, 970844878, 000001209,  0.000, _,    
 000.320, 980847670, 000001417,  0.000, _,    
 000.330, 990845295, 000001167,  0.000, _,    
 000.340, 000845420, 000000958,  0.000, _,    
 000.350, 010843545, 000000958,  0.000, _,    
 000.360, 020844003, 000001000,  0.000, _,    
 000.370, 030843253, 000001209,  0.000, _,    
 000.380, 040844670, 000001417,  0.000, _,    
 000.390, 050845670, 000001167,  0.000, _,    
 000.400, 060844587, 000001666,  0.000, _,    
 000.410, 070844795, 000000958,  0.000, _,    
 000.420, 080844545, 000001417,  0.000, _,    
 000.430, 090844295, 000000917,  0.000, _,    
 000.440, 100844253, 000000959,  0.000, _,    
 000.450, 110844212, 000001208,  0.000, _,    
 000.460, 120845753, 000001167,  0.000, _,    
 000.470, 130844128, 000001667,  0.000, _,    
 000.480, 140845670, 000001208,  0.000, _,    
 000.490, 150845545, 000001542,  0.000, _,    
 000.500, 160844503, 000001459,  0.000, _,    
 000.510, 170844670, 000001250,  0.000, _,    
 000.520, 180845170, 000001417,  0.000, _,    
 000.530, 190845087, 000001458,  0.000, _,    
 000.540, 200843545, 000001167,  0.000, _,    
 000.550, 210844337, 000001208,  0.000, _,    
 000.560, 220844253, 000001417,  0.000, _,    
 000.570, 230844462, 000001250,  0.000, _,    
 000.580, 240845045, 000001458,  0.000, _,    
 000.590, 250844962, 000001208,  0.000, _,    
 000.600, 260844212, 000001416,  0.000, _,    
 000.610, 270845045, 000000958,  0.000, _,    
 000.620, 280844420, 000000917,  0.000, _,    
 000.630, 290843920, 000001625,  0.000, _,    
 000.640, 300846087, 000001166,  0.000, _,    
 000.650, 310845087, 000001208,  0.000, _,    
 000.660, 320844628, 000001459,  0.000, _,    
 000.670, 330843712, 000001166,  0.000, _,    
 000.680, 340844003, 000001459,  0.000, _,    
 000.690, 350843587, 000000958,  0.000, _,    
 000.700, 360844503, 000000959,  0.000, _,    
 000.710, 370845003, 000001000,  0.000, _,    
 000.720, 380844253, 000001209,  0.000, _,    
 000.730, 390844753, 000001000,  0.000, _,    
 000.740, 400844795, 000001000,  0.000, _,    
 000.750, 410843837, 000001208,  0.000, _,    
 000.760, 420844504, 000000958,  0.000, _,    
 000.770, 430843920, 000001000,  0.000, _,    
 000.780, 440844879, 000001166,  0.000, _,    
 000.790, 450844712, 000000958,  0.000, _,    
 000.800, 460844629, 000001166,  0.000, _,    
 000.810, 470845004, 000001000,  0.000, _,    
 000.820, 480845712, 000001208,  0.000, _,    
 000.830, 490843712, 000000958,  0.000, _,    
 000.840, 500843754, 000001208,  0.000, _,    
