 Atime,       Adur,      Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,         Acx1,    Acy1,    Acz1,   
 0000.258789, 000718,    -00521, -08136, 000219,    -00010.22, -00159.53, 000004.29,    00.0194, 00.0019, 00.0173,    
 0000.458984, 000585,    -00574, -08150, 000302,    -00021.27, -00316.21, 000010.13,    00.0385, 00.0032, 00.0180,    
 0000.459961, 000550,    -00583, -08149, 000267,    -00032.28, -00469.79, 000015.17,    00.0572, 00.0045, 00.0187,    
 0000.460938, 000542,    -00569, -08156, 000234,    -00042.81, -00620.50, 000019.46,    00.0756, 00.0058, 00.0192,    
 0000.461914, 000547,    -00564, -08161, 000237,    -00053.03, -00768.35, 000023.72,    00.0936, 00.0071, 00.0197,    
 0000.462891, 000542,    -00562, -08149, 000250,    -00063.01, -00913.07, 000028.16,    00.1112, 00.0083, 00.0202,    
 0000.463867, 000541,    -00548, -08120, 000231,    -00072.52, -01054.38, 000032.14,    00.1284, 00.0095, 00.0207,    
 0000.464844, 000541,    -00547, -08104, 000200,    -00081.82, -01192.61, 000035.43,    00.1453, 00.0106, 00.0211,    
 0000.465820, 000540,    -00532, -08136, 000187,    -00090.65, -01328.76, 000038.40,    00.1618, 00.0117, 00.0214,    
 0000.466797, 000856,    -00520, -08143, 000196,    -00526.47, -08136.72, 000221.15,    00.9911, 00.0648, 00.0434,    
 0000.467773, 000542,    -00526, -08128, 000233,    -00569.94, -08148.04, 000289.47,    00.9925, 00.0701, 00.0516,    
 0000.468750, 000534,    -00556, -08153, 000223,    -00577.05, -08147.31, 000259.45,    00.9924, 00.0710, 00.0480,    
 0000.469727, 000543,    -00574, -08171, 000199,    -00565.50, -08153.52, 000231.20,    00.9931, 00.0696, 00.0446,    
 0000.470947, 000542,    -00566, -08209, 000205,    -00561.41, -08158.71, 000233.14,    00.9938, 00.0691, 00.0448,    
 0000.471924, 000541,    -00547, -08224, 000228,    -00559.49, -08150.15, 000243.71,    00.9927, 00.0688, 00.0461,    
 0000.472900, 000542,    -00552, -08192, 000255,    -00547.86, -08127.18, 000228.34,    00.9899, 00.0674, 00.0443,    
 0000.473877, 000541,    -00573, -08169, 000280,    -00547.53, -08114.87, 000203.93,    00.9884, 00.0674, 00.0413,    
 0000.474854, 000540,    -00552, -08157, 000276,    -00535.31, -08141.95, 000194.67,    00.9917, 00.0659, 00.0402,    
 0000.475830, 000540,    -00546, -08173, 000250,    -00525.68, -08148.30, 000203.14,    00.9925, 00.0647, 00.0412,    
 0000.476807, 000854,    -00565, -08192, 000278,    -00531.37, -08136.85, 000234.96,    00.9911, 00.0654, 00.0451,    
 0000.477783, 000540,    -00570, -08176, 000310,    -00556.74, -08158.13, 000228.23,    00.9937, 00.0685, 00.0443,    
 0000.478760, 000541,    -00580, -08172, 000296,    -00571.96, -08173.17, 000209.87,    00.9955, 00.0704, 00.0421,    
 0000.479736, 000539,    -00576, -08181, 000288,    -00565.48, -08204.49, 000216.32,    00.9993, 00.0696, 00.0428,    
 0000.480957, 000541,    -00568, -08156, 000264,    -00549.94, -08215.85, 000236.13,    01.0007, 00.0677, 00.0452,    
 0000.481934, 000540,    -00582, -08140, 000215,    -00554.67, -08188.11, 000257.86,    00.9973, 00.0683, 00.0478,    
 0000.482910, 000542,    -00567, -08138, 000184,    -00572.14, -08168.26, 000276.92,    00.9949, 00.0704, 00.0501,    
 0000.483887, 000540,    -00551, -08152, 000214,    -00554.50, -08158.09, 000272.41,    00.9937, 00.0682, 00.0496,    
 0000.484863, 000569,    -00550, -08149, 000259,    -00549.49, -08171.04, 000250.82,    00.9953, 00.0676, 00.0470,    
 0000.485840, 000542,    -00511, -08120, 000284,    -00564.32, -08185.63, 000274.44,    00.9970, 00.0694, 00.0498,    
 0000.486816, 000854,    -00497, -08126, 000287,    -00567.10, -08171.33, 000300.93,    00.9953, 00.0698, 00.0530,    
 0000.487793, 000541,    -00530, -08140, 000265,    -00574.58, -08167.44, 000288.74,    00.9948, 00.0707, 00.0515,    
 0000.488770, 000543,    -00541, -08132, 000262,    -00570.64, -08174.13, 000281.66,    00.9956, 00.0702, 00.0507,    
 0000.489746, 000543,    -00494, -08143, 000245,    -00562.57, -08153.01, 000261.25,    00.9931, 00.0692, 00.0482,    
 0000.490967, 000541,    -00460, -08168, 000252,    -00572.04, -08140.18, 000220.87,    00.9915, 00.0704, 00.0434,    
 0000.491943, 000548,    -00470, -08153, 000286,    -00557.74, -08138.79, 000196.72,    00.9913, 00.0686, 00.0405,    
 0000.492920, 000542,    -00479, -08128, 000269,    -00543.07, -08150.06, 000222.75,    00.9927, 00.0668, 00.0436,    
 0000.493896, 000540,    -00479, -08114, 000236,    -00540.99, -08146.89, 000259.92,    00.9923, 00.0666, 00.0481,    
 0000.494873, 000542,    -00489, -08132, 000229,    -00507.98, -08122.81, 000279.82,    00.9894, 00.0626, 00.0505,    
 0000.495850, 000545,    -00509, -08167, 000239,    -00496.51, -08128.60, 000281.48,    00.9901, 00.0612, 00.0507,    
 0000.496826, 000854,    -00510, -08166, 000247,    -00523.85, -08140.82, 000262.76,    00.9916, 00.0645, 00.0484,    
 0000.497803, 000541,    -00480, -08153, 000242,    -00532.01, -08134.49, 000259.89,    00.9908, 00.0655, 00.0481,    
 0000.498779, 000542,    -00479, -08132, 000225,    -00492.42, -08143.47, 000245.26,    00.9919, 00.0607, 00.0463,    
 0000.499756, 000543,    -00491, -08133, 000234,    -00464.50, -08163.77, 000250.78,    00.9944, 00.0573, 00.0470,    
 0000.500732, 000541,    -00501, -08133, 000253,    -00473.42, -08150.86, 000278.72,    00.9928, 00.0583, 00.0503,    
 0000.501953, 000540,    -00506, -08100, 000226,    -00481.44, -08129.36, 000263.74,    00.9902, 00.0593, 00.0485,    
