 Ctime,       Cdur,      N1,     N2,     N3,     N4,        XPerr,  YPerr,  ZPerr,     XIerr,  YIerr,  ZIerr,     XDerr,  YDerr,  ZDerr,   
 0000.793442, 000305,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.803452, 000270,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.813446, 000224,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.823456, 000219,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.833450, 000224,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.843445, 000226,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.853455, 000219,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.863449, 000211,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.873444, 000224,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.883453, 000218,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.893448, 000251,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.903442, 000230,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.913452, 000220,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.923447, 000220,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.933456, 000215,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.943451, 000221,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0000.953445, 000213,    -1.000, 01.000, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
