 time,    start,     dur,        perc,  X,    R1,     R2,     R3,     R4,     R5,     R6,        M1,     M2,     M3,     M4,         rMx1, rMy1, rMz1,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      rQo1,         rQx1,         rQy1,         rQz1,            aMx1,     aMy1,     aMz1,        aAx1,     aAy1,     aAz1,        aGx1,     aGy1,     aGz1,        nMx1,    nMy1,    nMz1,       nAx1,    nAy1,    nAz1,       nGx1,    nGy1,    nGz1,       bx1,       by1,       bz1,          fx1,     fz1,        Qo1,     Qx1,     Qy1,     Qz1,        dQo1,    dQx1,    dQy1,    dQz1,       Ex1,     Ey1,     Ez1,        dEx1,    dEy1,    dEz1,      
 006.390, 385058485, 007617916,  0.762, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -026, 0078, -012,    -00531, 000113, 008203,    -00022, 000077, -00022,    001060750886, -00018754959, 000144559649, -00080497344,      -24.89,    81.38,    -8.97,     -541.23,   101.19,  8226.11,      -21.88,    79.03,   -22.19,     0.2747,  0.1878,  0.9263,     0.0123, -0.0654,  1.0055,    -0.0210,  0.0058,  0.0059,    -0.000338,  0.003192,  0.018982,     0.3170,  0.9484,     0.7831, -0.0187, -0.0107, -0.6215,    -0.0096, -0.0755,  0.0017,  0.0262,     0.0533, -0.0217, -1.3417,    -0.0207,  0.0026, -0.0131,    
 006.400, 395086818, 019299708,  1.930, X,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -026, 0082, -010,    -00534, 000121, 008254,    -00021, 000078, -00020,    001060722532, -00018747067, 000144648307, -00080713261,      -25.36,    81.34,    -9.62,     -539.91,   105.83,  8231.44,      -21.75,    78.83,   -21.73,     0.2773,  0.1880,  0.9226,     0.0129, -0.0652,  1.0062,    -0.0210,  0.0058,  0.0058,    -0.000299,  0.003231,  0.018965,     0.3202,  0.9473,     0.7832, -0.0195, -0.0107, -0.6214,    -0.0098, -0.0753,  0.0014,  0.0266,     0.0521, -0.0226, -1.3413,    -0.0207,  0.0026, -0.0132,    
 006.410, 415858443, 007410750,  0.741, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -033, 0085, -015,    -00533, 000128, 008236,    -00023, 000072, -00020,    001060711055, -00018748860, 000144679625, -00080807490,      -26.69,    82.25,   -10.44,     -538.22,   110.08,  8232.89,      -21.92,    77.42,   -21.27,     0.2848,  0.1830,  0.9180,     0.0134, -0.0650,  1.0064,    -0.0206,  0.0058,  0.0057,    -0.000260,  0.003269,  0.018947,     0.3240,  0.9461,     0.7833, -0.0202, -0.0107, -0.6212,    -0.0100, -0.0749,  0.0009,  0.0271,     0.0509, -0.0236, -1.3410,    -0.0204,  0.0026, -0.0133,    
 006.420, 425083693, 007396750,  0.740, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -030, 0085, -005,    -00529, 000103, 008229,    -00022, 000077, -00023,    001060699074, -00018719469, 000144707344, -00080921847,      -27.78,    82.88,    -9.89,     -536.11,   109.33,  8231.28,      -22.02,    77.08,   -21.59,     0.2909,  0.1795,  0.9211,     0.0133, -0.0648,  1.0062,    -0.0205,  0.0059,  0.0058,    -0.000220,  0.003306,  0.018929,     0.3253,  0.9456,     0.7834, -0.0210, -0.0107, -0.6211,    -0.0103, -0.0747,  0.0016,  0.0276,     0.0497, -0.0245, -1.3407,    -0.0203,  0.0026, -0.0132,    
 006.430, 435081318, 007379000,  0.738, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -027, 0081, -009,    -00540, 000090, 008208,    -00024, 000077, -00020,    001060685852, -00018722744, 000144749693, -00081018599,      -27.41,    82.59,    -9.05,     -536.55,   104.30,  8227.14,      -22.34,    77.25,   -21.38,     0.2888,  0.1810,  0.9259,     0.0127, -0.0648,  1.0057,    -0.0206,  0.0060,  0.0057,    -0.000180,  0.003343,  0.018910,     0.3232,  0.9463,     0.7835, -0.0217, -0.0107, -0.6210,    -0.0104, -0.0746,  0.0028,  0.0278,     0.0485, -0.0254, -1.3403,    -0.0204,  0.0026, -0.0132,    
 006.440, 445084443, 007358958,  0.736, _,    0981.8, 2020.9, 1502.7, 0980.0, 1261.1, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -021, 0080, -010,    -00537, 000111, 008234,    -00021, 000078, -00027,    001060670825, -00018724738, 000144786754, -00081148541,      -26.27,    81.94,    -9.66,     -536.83,   105.70,  8227.17,      -22.20,    77.30,   -22.34,     0.2824,  0.1847,  0.9224,     0.0129, -0.0649,  1.0057,    -0.0206,  0.0059,  0.0060,    -0.000141,  0.003381,  0.018892,     0.3221,  0.9467,     0.7835, -0.0225, -0.0107, -0.6208,    -0.0101, -0.0747,  0.0022,  0.0279,     0.0473, -0.0263, -1.3400,    -0.0204,  0.0025, -0.0129,    
 006.450, 455118151, 007479250,  0.748, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -023, 0085, -012,    -00526, 000129, 008244,    -00020, 000076, -00026,    001060655402, -00018714826, 000144832714, -00081270313,      -25.28,    82.56,    -9.81,     -534.00,   110.62,  8231.66,      -21.61,    77.19,   -23.39,     0.2769,  0.1812,  0.9215,     0.0135, -0.0645,  1.0062,    -0.0206,  0.0058,  0.0062,    -0.000100,  0.003417,  0.018874,     0.3166,  0.9486,     0.7836, -0.0232, -0.0106, -0.6207,    -0.0102, -0.0748,  0.0035,  0.0279,     0.0461, -0.0272, -1.3397,    -0.0205,  0.0023, -0.0126,    
 006.460, 465073276, 007368625,  0.737, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -025, 0084, -014,    -00534, 000122, 008249,    -00020, 000077, -00025,    001060639886, -00018706404, 000144878933, -00081392275,      -25.38,    82.97,   -10.95,     -533.73,   113.75,  8234.33,      -21.33,    76.98,   -23.61,     0.2774,  0.1789,  0.9150,     0.0139, -0.0645,  1.0065,    -0.0205,  0.0057,  0.0063,    -0.000061,  0.003455,  0.018856,     0.3178,  0.9481,     0.7837, -0.0240, -0.0106, -0.6206,    -0.0097, -0.0748,  0.0011,  0.0278,     0.0448, -0.0281, -1.3393,    -0.0204,  0.0022, -0.0126,    
 006.470, 475073110, 007416291,  0.742, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -029, 0084, -009,    -00549, 000092, 008264,    -00025, 000078, -00025,    001060624560, -00018711712, 000144921785, -00081514388,      -25.94,    83.16,   -10.50,     -536.59,   109.30,  8240.78,      -21.97,    77.28,   -24.05,     0.2805,  0.1779,  0.9176,     0.0133, -0.0648,  1.0073,    -0.0206,  0.0059,  0.0064,    -0.000022,  0.003493,  0.018837,     0.3186,  0.9479,     0.7838, -0.0247, -0.0106, -0.6204,    -0.0098, -0.0747,  0.0014,  0.0282,     0.0436, -0.0290, -1.3389,    -0.0206,  0.0024, -0.0124,    
 006.480, 485075151, 007397417,  0.740, _,    0981.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.5,    1000.0, 1000.0, 1000.0, 1000.0,    -027, 0079, -016,    -00548, 000132, 008247,    -00017, 000077, -00026,    001060609645, -00018698613, 000144958388, -00081646272,      -26.44,    82.41,   -11.72,     -539.41,   113.45,  8242.47,      -21.19,    77.11,   -24.42,     0.2834,  0.1821,  0.9107,     0.0138, -0.0652,  1.0075,    -0.0205,  0.0056,  0.0065,     0.000016,  0.003532,  0.018818,     0.3254,  0.9456,     0.7839, -0.0255, -0.0106, -0.6203,    -0.0095, -0.0743, -0.0011,  0.0286,     0.0424, -0.0299, -1.3386,    -0.0206,  0.0021, -0.0123,    
