 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0000.266541, 000544,  0.027, _,    0075, 0177, -039,    0015.23, 0035.95, -007.92,    00.0492, 00.4416, 00.9323,    
 0000.466553, 000409,  0.020, _,    0083, 0178, -038,    0032.09, 0072.11, -015.64,    -0.0455, 00.2396, 00.8884,    
 0000.486557, 000395,  0.020, _,    0076, 0180, -035,    0041.67, 0094.84, -019.70,    -0.0993, 00.1126, 00.8653,    
 0000.506561, 000406,  0.020, _,    0075, 0177, -034,    0050.42, 0116.89, -023.64,    -0.1484, -0.0106, 00.8430,    
 0000.526550, 000397,  0.020, _,    0080, 0186, -041,    0057.22, 0132.31, -027.41,    -0.1866, -0.0967, 00.8216,    
 0000.546555, 000394,  0.020, _,    0080, 0182, -036,    0063.72, 0147.11, -030.28,    -0.2231, -0.1794, 00.8052,    
 0000.566559, 000393,  0.020, _,    0088, 0183, -035,    0069.44, 0155.78, -031.33,    -0.2553, -0.2278, 00.7993,    
 0000.586563, 000428,  0.021, _,    0078, 0178, -028,    0072.92, 0163.86, -031.42,    -0.2748, -0.2730, 00.7987,    
 0000.606552, 000408,  0.020, _,    0078, 0178, -038,    0074.59, 0168.61, -032.78,    -0.2842, -0.2995, 00.7910,    
 0000.626556, 000394,  0.020, _,    0075, 0182, -034,    0076.34, 0174.83, -034.16,    -0.2941, -0.3342, 00.7832,    
 0000.646561, 000395,  0.020, _,    0083, 0180, -040,    0078.12, 0177.52, -035.23,    -0.3041, -0.3492, 00.7771,    
 0000.666550, 000395,  0.020, _,    0077, 0182, -036,    0079.28, 0180.69, -036.33,    -0.3106, -0.3670, 00.7709,    
 0000.686554, 000393,  0.020, _,    0075, 0179, -036,    0078.02, 0180.44, -035.84,    -0.3035, -0.3656, 00.7736,    
 0000.706558, 000403,  0.020, _,    0077, 0182, -036,    0077.97, 0180.70, -036.19,    -0.3032, -0.3671, 00.7717,    
 0000.726562, 000397,  0.020, _,    0078, 0178, -035,    0077.81, 0180.30, -035.69,    -0.3023, -0.3648, 00.7745,    
 0000.746567, 000420,  0.021, _,    0081, 0180, -035,    0078.66, 0180.03, -035.70,    -0.3071, -0.3633, 00.7744,    
 0000.766556, 000403,  0.020, _,    0084, 0172, -041,    0079.67, 0178.50, -036.58,    -0.3128, -0.3547, 00.7694,    
 0000.786560, 000396,  0.020, _,    0080, 0179, -041,    0079.94, 0178.11, -037.83,    -0.3143, -0.3526, 00.7623,    
 0000.806549, 000404,  0.020, _,    0080, 0177, -039,    0079.73, 0178.23, -038.02,    -0.3131, -0.3533, 00.7613,    
 0000.826553, 000397,  0.020, _,    0078, 0178, -033,    0079.53, 0177.81, -037.22,    -0.3120, -0.3509, 00.7658,    
 0000.846558, 000395,  0.020, _,    0080, 0179, -029,    0079.47, 0178.33, -035.27,    -0.3116, -0.3538, 00.7769,    
 0000.866547, 000393,  0.020, _,    0081, 0180, -028,    0079.97, 0178.44, -033.70,    -0.3144, -0.3544, 00.7858,    
 0000.886551, 000393,  0.020, _,    0077, 0182, -029,    0079.30, 0179.36, -032.48,    -0.3107, -0.3595, 00.7927,    
