 Stime,       Sdur,      I1,   I2,   I3,   I4,   I5,   I6,   I7,   I8,   I9,   I0,      O1,   O2,   O3,   O4,   O5,   O6,   O7,   O8,   O9,   O0,  
 0000.595703, 000015,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0000.795654, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0000.995850, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.195801, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.395752, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.595703, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.795654, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.995850, 000013,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.195801, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.395752, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.595703, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.795654, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.995850, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.195801, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.395752, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.595703, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.795654, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.995850, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.195801, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.395752, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.595703, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.795654, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.995850, 000013,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0005.195801, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
