 time,    start,     dur,        perc,  X,    R1,     R2,     R3,     R4,     R5,     R6,        M1,     M2,     M3,     M4,          rMx1, rMy1, rMz1,   rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      rQo1,         rQx1,         rQy1,         rQz1,            aMx1,     aMy1,     aMz1,        aAx1,     aAy1,     aAz1,        aGx1,     aGy1,     aGz1,        nMx1,    nMy1,    nMz1,       nAx1,    nAy1,    nAz1,       nGx1,    nGy1,    nGz1,       bx1,       by1,       bz1,          fx1,     fz1,        Qo1,     Qx1,     Qy1,     Qz1,        dQo1,    dQx1,    dQy1,    dQz1,       Ex1,     Ey1,     Ez1,        dEx1,    dEy1,    dEz1,     
 005.930, 701398784, 007548834,  0.755, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -033, 0085, -003,    -00550, 000108, 008233,    -00026, 000080, -00020,    001061627559, -00018578682, 000141856847, -00073484008,      -28.69,    81.94,    -7.31,     -543.53,   115.97,  8231.33,      -21.69,    77.77,   -22.06,     0.2960,  0.1847,  0.9357,     0.0141, -0.0657,  1.0062,    -0.0207,  0.0058,  0.0059,    -0.001762,  0.001918, -0.001011,     0.3746,  0.9272,     0.9349, -0.0338,  0.0048, -0.3532,    -0.0063, -0.0747,  0.0111,  0.0379,     0.0029,  0.0028, -0.7225,    -0.0189,  0.0039,  0.0069,    
 005.940, 711423534, 015770167,  1.577, X,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -025, 0086, -011,    -00506, 000105, 008239,    -00021, 000076, -00019,    001061614613, -00018586590, 000141907924, -00073570368,      -28.19,    82.92,    -8.08,     -536.38,   114.09,  8230.81,      -22.00,    77.52,   -21.39,     0.2932,  0.1792,  0.9314,     0.0139, -0.0648,  1.0061,    -0.0206,  0.0059,  0.0057,    -0.001718,  0.001896, -0.001039,     0.3716,  0.9284,     0.9351, -0.0343,  0.0053, -0.3528,    -0.0123, -0.0489,  0.0515,  0.0449,     0.0014,  0.0025, -0.7218,    -0.0189,  0.0040,  0.0067,    
 005.950, 728804034, 007359375,  0.736, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -027, 0079, -016,    -00555, 000092, 008242,    -00016, 000076, -00027,    001061599493, -00018556285, 000141955490, -00073704311,      -27.61,    82.17,    -9.73,     -538.09,   108.80,  8235.12,      -20.39,    76.97,   -22.39,     0.2899,  0.1834,  0.9220,     0.0133, -0.0650,  1.0066,    -0.0205,  0.0054,  0.0060,    -0.001777,  0.001907, -0.001033,     0.3762,  0.9265,     0.9351, -0.0338,  0.0049, -0.3528,     0.0038,  0.0562, -0.0336, -0.0052,     0.0001,  0.0031, -0.7211,    -0.0187,  0.0035,  0.0070,    
 005.960, 737760951, 007377333,  0.738, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -026, 0078, -012,    -00518, 000132, 008250,    -00021, 000076, -00028,    001061583246, -00018559449, 000142008784, -00073834741,      -27.48,    81.19,   -10.44,     -536.53,   112.97,  8236.94,      -20.58,    76.84,   -23.77,     0.2892,  0.1889,  0.9180,     0.0138, -0.0648,  1.0068,    -0.0205,  0.0055,  0.0063,    -0.001834,  0.001895, -0.001019,     0.3795,  0.9252,     0.9350, -0.0331,  0.0049, -0.3530,     0.0057,  0.0637, -0.0063, -0.0168,     0.0014,  0.0029, -0.7211,    -0.0186,  0.0036,  0.0073,    
 005.970, 746747243, 007406583,  0.741, _,    0981.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -029, 0088, -006,    -00544, 000111, 008221,    -00023, 000077, -00031,    001061566747, -00018564248, 000142049411, -00073992442,      -27.56,    82.55,    -9.53,     -535.03,   113.59,  8235.42,      -21.05,    76.78,   -25.19,     0.2897,  0.1813,  0.9231,     0.0138, -0.0646,  1.0067,    -0.0204,  0.0056,  0.0067,    -0.001794,  0.001851, -0.001028,     0.3730,  0.9278,     0.9351, -0.0335,  0.0056, -0.3528,    -0.0058, -0.0350,  0.0744,  0.0158,     0.0026,  0.0032, -0.7214,    -0.0187,  0.0038,  0.0077,    
 005.980, 755606451, 007506417,  0.751, _,    0981.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -025, 0084, -009,    -00564, 000140, 008231,    -00021, 000080, -00030,    001061549632, -00018560964, 000142106776, -00074128527,      -27.31,    83.22,    -9.36,     -543.20,   118.00,  8233.17,      -21.14,    77.55,   -26.48,     0.2883,  0.1775,  0.9241,     0.0144, -0.0656,  1.0064,    -0.0207,  0.0056,  0.0071,    -0.001752,  0.001883, -0.001051,     0.3710,  0.9286,     0.9352, -0.0342,  0.0055, -0.3525,    -0.0100, -0.0712, -0.0132,  0.0395,     0.0014,  0.0043, -0.7212,    -0.0189,  0.0037,  0.0081,    
 005.990, 764809118, 007547250,  0.755, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -028, 0082, -008,    -00553, 000111, 008265,    -00021, 000078, -00030,    001061533354, -00018555372, 000142154027, -00074272300,      -27.11,    82.77,    -9.23,     -544.33,   118.25,  8241.34,      -20.98,    77.69,   -27.17,     0.2871,  0.1801,  0.9248,     0.0144, -0.0658,  1.0074,    -0.0207,  0.0056,  0.0072,    -0.001811,  0.001889, -0.001044,     0.3718,  0.9283,     0.9352, -0.0336,  0.0052, -0.3526,     0.0019,  0.0592, -0.0278, -0.0052,     0.0002,  0.0036, -0.7205,    -0.0189,  0.0037,  0.0083,    
 006.000, 773986993, 007435375,  0.744, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -028, 0082, -008,    -00549, 000113, 008223,    -00022, 000074, -00023,    001061519325, -00018568363, 000142195720, -00074389662,      -27.55,    82.70,    -8.88,     -546.47,   115.53,  8237.91,      -21.28,    76.92,   -26.55,     0.2896,  0.1804,  0.9268,     0.0141, -0.0660,  1.0070,    -0.0205,  0.0057,  0.0071,    -0.001843,  0.001935, -0.001061,     0.3721,  0.9282,     0.9353, -0.0335,  0.0046, -0.3523,    -0.0056,  0.0092, -0.0627,  0.0314,     0.0015,  0.0035, -0.7206,    -0.0186,  0.0037,  0.0081,    
 006.010, 782872201, 007422792,  0.742, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -027, 0084, -014,    -00538, 000105, 008219,    -00024, 000071, -00025,    001061506401, -00018585666, 000142229482, -00074505126,      -27.22,    82.88,    -9.86,     -544.23,   114.48,  8233.30,      -21.80,    75.58,   -25.98,     0.2877,  0.1795,  0.9213,     0.0139, -0.0658,  1.0064,    -0.0201,  0.0058,  0.0069,    -0.001833,  0.001877, -0.001070,     0.3710,  0.9286,     0.9353, -0.0335,  0.0054, -0.3522,    -0.0038,  0.0065,  0.0784,  0.0147,     0.0021,  0.0024, -0.7200,    -0.0183,  0.0039,  0.0080,    
 006.020, 791948118, 007455875,  0.746, _,    0981.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.5,    1000.0, 1000.0, 1000.0, 1000.0,    -028, 0087, -008,    -00548, 000093, 008255,    -00023, 000082, -00019,    001061490945, -00018570097, 000142291483, -00074610755,      -27.48,    83.83,    -9.64,     -545.25,   108.36,  8237.22,      -22.22,    76.72,   -24.78,     0.2892,  0.1741,  0.9225,     0.0132, -0.0659,  1.0069,    -0.0204,  0.0059,  0.0066,    -0.001787,  0.001904, -0.001094,     0.3697,  0.9291,     0.9354, -0.0342,  0.0053, -0.3519,    -0.0074, -0.0726, -0.0048,  0.0404,     0.0016,  0.0039, -0.7198,    -0.0186,  0.0040,  0.0077,    
