 Ftime,       Fdur,      Qw1,     Qx1,     Qy1,     Qz1,        Ex1,     Ey1,     Ez1,      dEx1, dEy1, dEz1  
 0000.550049, 000099,    01.0000, 00.0007, 00.0003, -0.0003,    00.0000, 00.0000, 00.0000,    00.0184, -0.0064, 00.0047,    
 0000.750000, 000052,    01.0000, 00.0014, 00.0005, -0.0006,    00.0013, 00.0006, -0.0006,    00.0192, -0.0070, 00.0056,    
 0000.760010, 000035,    01.0000, 00.0021, 00.0008, -0.0009,    00.0028, 00.0010, -0.0013,    00.0231, -0.0057, 00.0055,    
 0000.770020, 000017,    01.0000, 00.0029, 00.0009, -0.0012,    00.0043, 00.0015, -0.0019,    00.0209, -0.0052, 00.0065,    
 0000.780029, 000018,    01.0000, 00.0036, 00.0011, -0.0016,    00.0058, 00.0018, -0.0025,    00.0204, -0.0060, 00.0046,    
 0000.790039, 000033,    01.0000, 00.0043, 00.0014, -0.0019,    00.0073, 00.0022, -0.0031,    00.0206, -0.0048, 00.0053,    
 0000.800049, 000028,    01.0000, 00.0051, 00.0015, -0.0022,    00.0087, 00.0027, -0.0037,    00.0219, -0.0058, 00.0049,    
 0000.810059, 000035,    01.0000, 00.0059, 00.0017, -0.0025,    00.0102, 00.0031, -0.0043,    00.0233, -0.0047, 00.0050,    
 0000.820068, 000038,    01.0000, 00.0066, 00.0020, -0.0028,    00.0117, 00.0035, -0.0050,    00.0201, -0.0057, 00.0041,    
 0000.830078, 000018,    01.0000, 00.0073, 00.0021, -0.0031,    00.0132, 00.0039, -0.0056,    00.0189, -0.0066, 00.0082,    
 0000.840088, 000032,    01.0000, 00.0081, 00.0023, -0.0034,    00.0146, 00.0043, -0.0062,    00.0213, -0.0054, 00.0065,    
 0000.850098, 000038,    01.0000, 00.0088, 00.0025, -0.0038,    00.0161, 00.0048, -0.0068,    00.0215, -0.0056, 00.0055,    
 0000.859863, 000034,    00.9999, 00.0095, 00.0027, -0.0041,    00.0176, 00.0051, -0.0075,    00.0178, -0.0044, 00.0055,    
 0000.869873, 000018,    00.9999, 00.0102, 00.0029, -0.0044,    00.0190, 00.0055, -0.0081,    00.0136, -0.0060, 00.0066,    
 0000.879883, 000018,    00.9999, 00.0110, 00.0030, -0.0047,    00.0204, 00.0059, -0.0087,    00.0167, -0.0063, 00.0027,    
 0000.889893, 000034,    00.9999, 00.0116, 00.0032, -0.0051,    00.0219, 00.0061, -0.0094,    00.0164, -0.0062, 00.0042,    
 0000.900146, 000035,    00.9999, 00.0124, 00.0035, -0.0054,    00.0233, 00.0066, -0.0101,    00.0210, -0.0062, 00.0063,    
 0000.909912, 000035,    00.9999, 00.0131, 00.0036, -0.0057,    00.0247, 00.0070, -0.0107,    00.0220, -0.0046, 00.0060,    
 0000.919922, 000018,    00.9999, 00.0138, 00.0037, -0.0061,    00.0262, 00.0074, -0.0114,    00.0188, -0.0058, 00.0036,    
 0000.929932, 000039,    00.9999, 00.0145, 00.0039, -0.0065,    00.0276, 00.0076, -0.0121,    00.0121, -0.0064, 00.0048,    
 0000.939941, 000017,    00.9999, 00.0152, 00.0041, -0.0068,    00.0290, 00.0080, -0.0128,    00.0168, -0.0057, 00.0056,    
 0000.949951, 000017,    00.9998, 00.0159, 00.0044, -0.0072,    00.0304, 00.0084, -0.0135,    00.0271, -0.0031, 00.0060,    
 0000.959961, 000041,    00.9998, 00.0167, 00.0046, -0.0075,    00.0318, 00.0089, -0.0142,    00.0247, -0.0046, 00.0046,    
 0000.969971, 000018,    00.9998, 00.0174, 00.0048, -0.0079,    00.0333, 00.0094, -0.0149,    00.0203, -0.0053, 00.0054,    
 0000.979980, 000018,    00.9998, 00.0181, 00.0049, -0.0082,    00.0347, 00.0098, -0.0156,    00.0194, -0.0048, 00.0053,    
 0000.989990, 000017,    00.9998, 00.0188, 00.0052, -0.0086,    00.0361, 00.0102, -0.0163,    00.0206, -0.0060, 00.0044,    
