timeG, dur, perc, X, rGx1, rGy1, rGz1, 
 0001.128906, 001111,  1.111, X,    -00042, 000072, -00029,    
 0001.328125, 001029,  1.029, X,    -00035, 000083, -00033,    
 0001.330078, 000992,  0.992, _,    -00033, 000083, -00033,    
 0001.330078, 000984,  0.984, _,    -00033, 000083, -00030,    
 0001.332031, 000981,  0.981, _,    -00035, 000081, -00032,    
 0001.332031, 000980,  0.980, _,    -00041, 000078, -00033,    
 0001.333984, 000978,  0.978, _,    -00043, 000077, -00033,    
 0001.333984, 000977,  0.977, _,    -00039, 000078, -00034,    
 0001.335938, 000980,  0.980, _,    -00033, 000082, -00035,    
 0001.335938, 000978,  0.978, _,    -00033, 000083, -00036,    
 0001.337891, 000976,  0.976, _,    -00035, 000081, -00038,    
 0001.337891, 000976,  0.976, _,    -00035, 000078, -00035,    
 0001.339844, 000979,  0.979, _,    -00037, 000079, -00028,    
 0001.339844, 000977,  0.977, _,    -00043, 000082, -00023,    
 0001.341797, 000975,  0.975, _,    -00044, 000082, -00025,    
 0001.341797, 000977,  0.977, _,    -00042, 000077, -00030,    
 0001.343750, 000976,  0.976, _,    -00042, 000075, -00029,    
 0001.343750, 000976,  0.976, _,    -00044, 000073, -00028,    
 0001.345703, 000976,  0.976, _,    -00043, 000073, -00033,    
 0001.345703, 000976,  0.976, _,    -00043, 000074, -00033,    
 0001.347656, 000977,  0.977, _,    -00039, 000078, -00028,    
 0001.347656, 000976,  0.976, _,    -00036, 000080, -00028,    
 0001.349609, 000978,  0.978, _,    -00034, 000079, -00032,    
 0001.349609, 000978,  0.978, _,    -00033, 000084, -00030,    
 0001.351562, 000977,  0.977, _,    -00034, 000089, -00026,    
 0001.351562, 000975,  0.975, _,    -00034, 000082, -00025,    
 0001.353516, 000976,  0.976, _,    -00035, 000073, -00026,    
 0001.355469, 000977,  0.977, _,    -00033, 000072, -00029,    
 0001.355469, 000976,  0.976, _,    -00032, 000076, -00031,    
 0001.357422, 000977,  0.977, _,    -00033, 000077, -00034,    
 0001.357422, 000976,  0.976, _,    -00036, 000081, -00039,    
 0001.359375, 000977,  0.977, _,    -00038, 000083, -00041,    
 0001.359375, 000977,  0.977, _,    -00035, 000079, -00033,    
 0001.361328, 000978,  0.978, _,    -00031, 000073, -00029,    
 0001.361328, 000976,  0.976, _,    -00035, 000069, -00029,    
 0001.363281, 000976,  0.976, _,    -00039, 000069, -00028,    
 0001.363281, 000977,  0.977, _,    -00040, 000072, -00030,    
 0001.365234, 000976,  0.976, _,    -00038, 000073, -00034,    
 0001.365234, 000976,  0.976, _,    -00033, 000073, -00038,    
 0001.367188, 000976,  0.976, _,    -00032, 000074, -00039,    
 0001.367188, 000977,  0.977, _,    -00039, 000077, -00035,    
 0001.369141, 000976,  0.976, _,    -00041, 000077, -00031,    
 0001.369141, 000982,  0.982, _,    -00034, 000075, -00032,    
 0001.371094, 000977,  0.977, _,    -00028, 000070, -00032,    
 0001.371094, 000976,  0.976, _,    -00028, 000070, -00029,    
 0001.373047, 000977,  0.977, _,    -00031, 000072, -00029,    
 0001.373047, 000978,  0.978, _,    -00033, 000074, -00031,    
 0001.375000, 000977,  0.977, _,    -00032, 000075, -00030,    
 0001.375000, 000977,  0.977, _,    -00030, 000076, -00031,    
