 Mtime,       Mdur,      Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0000.185974, 000449,    0064, 0198, -039,    0064.00, 0198.00, -039.00,    -0.2247, -0.4637, 00.7557,    
 0000.385986, 000916,    0062, 0197, -038,    0062.00, 0197.00, -038.00,    -0.2135, -0.4581, 00.7614,    
 0000.395996, 000915,    0065, 0192, -035,    0065.00, 0192.00, -035.00,    -0.2303, -0.4302, 00.7784,    
 0000.406006, 000918,    0069, 0197, -040,    0069.00, 0197.00, -040.00,    -0.2528, -0.4581, 00.7500,    
 0000.415955, 000918,    0056, 0194, -042,    0056.00, 0194.00, -042.00,    -0.1798, -0.4413, 00.7386,    
 0000.425964, 000915,    0062, 0194, -038,    0062.00, 0194.00, -038.00,    -0.2135, -0.4413, 00.7614,    
 0000.435974, 000917,    0064, 0195, -044,    0064.00, 0195.00, -044.00,    -0.2247, -0.4469, 00.7273,    
 0000.445984, 000916,    0059, 0195, -039,    0059.00, 0195.00, -039.00,    -0.1966, -0.4469, 00.7557,    
 0000.455994, 000913,    0065, 0197, -045,    0065.00, 0197.00, -045.00,    -0.2303, -0.4581, 00.7216,    
 0000.466003, 000918,    0060, 0192, -047,    0060.00, 0192.00, -047.00,    -0.2022, -0.4302, 00.7102,    
 0000.475952, 000916,    0064, 0188, -036,    0064.00, 0188.00, -036.00,    -0.2247, -0.4078, 00.7727,    
 0000.485962, 000917,    0065, 0192, -042,    0065.00, 0192.00, -042.00,    -0.2303, -0.4302, 00.7386,    
 0000.495972, 000919,    0061, 0195, -039,    0061.00, 0195.00, -039.00,    -0.2079, -0.4469, 00.7557,    
 0000.505981, 000917,    0061, 0193, -036,    0061.00, 0193.00, -036.00,    -0.2079, -0.4358, 00.7727,    
 0000.515991, 000914,    0064, 0193, -039,    0064.00, 0193.00, -039.00,    -0.2247, -0.4358, 00.7557,    
 0000.526001, 000916,    0069, 0197, -040,    0069.00, 0197.00, -040.00,    -0.2528, -0.4581, 00.7500,    
 0000.535950, 000916,    0064, 0195, -036,    0064.00, 0195.00, -036.00,    -0.2247, -0.4469, 00.7727,    
 0000.545959, 000919,    0068, 0188, -039,    0068.00, 0188.00, -039.00,    -0.2472, -0.4078, 00.7557,    
 0000.555969, 000917,    0065, 0197, -038,    0065.00, 0197.00, -038.00,    -0.2303, -0.4581, 00.7614,    
 0000.565979, 000914,    0059, 0193, -039,    0059.00, 0193.00, -039.00,    -0.1966, -0.4358, 00.7557,    
 0000.575989, 001025,    0060, 0192, -035,    0060.00, 0192.00, -035.00,    -0.2022, -0.4302, 00.7784,    
