 time,    start,     dur,        perc,  X,    R1,     R2,     R3,     R4,     R5,     R6,        M1,     M2,     M3,     M4,         rMx1,   rMy1,   rMz1,      rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      rQo1,         rQx1,         rQy1,         rQz1,            nMx1,    nMy1,    nMz1,       nAx1,    nAy1,    nAz1,       nGx1,    nGy1,    nGz1,       bx1,       by1,       bz1,          fx1,     fz1,        Qo1,     Qx1,     Qy1,     Qz1,        dQo1,    dQx1,    dQy1,    dQz1,       Ex1,     Ey1,     Ez1,        dEx1,    dEy1,    dEz1,      
 423.310, 848848116, 005457875,  0.546, _,    0978.6, 2020.9, 1502.7, 0980.1, 1260.9, 1650.6,    1000.0, 1000.0, 1000.0, 1000.0,    -00023, 000082, -00003,    -00529, 000122, 008175,    -00004, 000001, 000002,    000913913512, 000101377201, 000006632378, -00554402626,     0.2640,  0.1844,  0.9602,     0.0149, -0.0639,  0.9994,    -0.0003,  0.0011, -0.0005,    -0.002305,  0.000172,  0.007045,     0.3472,  0.9378,     0.9204, -0.0309,  0.0062, -0.3897,     0.0007, -0.0031, -0.0753,  0.0021,     0.0058,  0.0063, -0.8007,     0.0020,  0.0009, -0.0076,    
 423.320, 858858366, 005597667,  0.560, _,    0978.8, 2020.9, 1502.7, 0980.0, 1260.9, 1650.6,    1000.0, 1000.0, 1000.0, 1000.0,    -00023, 000082, -00008,    -00542, 000094, 008210,    -00001, -00007, 000000,    000913948223, 000101078628, 000006684407, -00554399297,     0.2640,  0.1844,  0.9318,     0.0114, -0.0655,  1.0036,     0.0019,  0.0003,  0.0000,    -0.002278,  0.000224,  0.007029,     0.3544,  0.9351,     0.9205, -0.0314,  0.0058, -0.3895,    -0.0033, -0.0532, -0.0470,  0.0202,     0.0064,  0.0049, -0.8006,     0.0041,  0.0000, -0.0070,    
 423.330, 868863866, 005590292,  0.559, _,    0978.8, 2020.9, 1502.7, 0980.0, 1260.9, 1650.6,    1000.0, 1000.0, 1000.0, 1000.0,    -00017, 000085, 000000,    -00527, 000089, 008216,    000003, 000000, 000000,    000913963665, 000100790282, 000006737318, -00554425696,     0.2303,  0.1676,  0.9773,     0.0108, -0.0637,  1.0043,     0.0000, -0.0008,  0.0000,    -0.002239,  0.000178,  0.007027,     0.3093,  0.9510,     0.9204, -0.0316,  0.0065, -0.3895,    -0.0060, -0.0222,  0.0708, -0.0008,     0.0057,  0.0036, -0.8002,     0.0022, -0.0010, -0.0070,    
 423.340, 878862324, 005564334,  0.556, _,    0978.6, 2020.9, 1502.7, 0980.0, 1260.9, 1650.6,    1000.0, 1000.0, 1000.0, 1000.0,    -00023, 000080, -00008,    -00523, 000105, 008180,    -00002, -00004, 000000,    000913977096, 000100495391, 000006804637, -00554456261,     0.2640,  0.1955,  0.9318,     0.0128, -0.0632,  1.0000,     0.0011,  0.0005,  0.0000,    -0.002279,  0.000223,  0.007029,     0.3625,  0.9320,     0.9204, -0.0314,  0.0058, -0.3896,     0.0027,  0.0260, -0.0720, -0.0053,     0.0048,  0.0048, -0.8003,     0.0033,  0.0003, -0.0070,    
 423.350, 888859491, 005602792,  0.560, _,    0978.6, 2020.9, 1502.7, 0980.1, 1260.9, 1650.6,    1000.0, 1000.0, 1000.0, 1000.0,    -00021, 000085, -00003,    -00517, 000115, 008195,    000005, 000003, 000002,    000913998770, 000100229695, 000006866521, -00554467864,     0.2528,  0.1676,  0.9602,     0.0140, -0.0624,  1.0018,    -0.0008, -0.0013, -0.0005,    -0.002226,  0.000199,  0.007020,     0.3278,  0.9447,     0.9205, -0.0318,  0.0063, -0.3895,    -0.0088, -0.0492,  0.0535,  0.0115,     0.0058,  0.0036, -0.8004,     0.0014, -0.0015, -0.0076,    
 423.360, 898861033, 005580250,  0.558, _,    0978.6, 2020.9, 1502.7, 0980.1, 1260.9, 1650.6,    1000.0, 1000.0, 1000.0, 1000.0,    -00023, 000080, -00005,    -00496, 000127, 008171,    -00002, 000001, -00007,    000913999227, 000099942903, 000006940093, -00554517962,     0.2640,  0.1955,  0.9489,     0.0155, -0.0599,  0.9989,    -0.0003,  0.0005,  0.0019,    -0.002267,  0.000243,  0.007021,     0.3571,  0.9341,     0.9205, -0.0316,  0.0056, -0.3895,     0.0025,  0.0273, -0.0711, -0.0041,     0.0045,  0.0042, -0.8002,     0.0020,  0.0003, -0.0052,    
 423.370, 908867575, 005532125,  0.553, _,    0978.8, 2020.9, 1502.7, 0980.0, 1260.9, 1650.6,    1000.0, 1000.0, 1000.0, 1000.0,    -00020, 000081, -00006,    -00533, 000105, 008186,    000002, -00008, -00004,    000914010982, 000099653755, 000006996463, -00554549915,     0.2472,  0.1899,  0.9432,     0.0128, -0.0644,  1.0007,     0.0021, -0.0005,  0.0011,    -0.002237,  0.000190,  0.007024,     0.3435,  0.9391,     0.9204, -0.0316,  0.0063, -0.3896,    -0.0035, -0.0070,  0.0736, -0.0081,     0.0055,  0.0031, -0.8002,     0.0044, -0.0007, -0.0060,    
 423.380, 918861700, 005570333,  0.557, _,    0978.8, 2020.9, 1502.7, 0980.0, 1260.9, 1650.6,    1000.0, 1000.0, 1000.0, 1000.0,    -00026, 000073, -00008,    -00540, 000089, 008237,    000000, -00003, 000000,    000914033539, 000099360961, 000007067828, -00554564370,     0.2809,  0.2346,  0.9318,     0.0108, -0.0652,  1.0069,     0.0008,  0.0000,  0.0000,    -0.002288,  0.000222,  0.007031,     0.3973,  0.9177,     0.9204, -0.0312,  0.0057, -0.3897,     0.0051,  0.0432, -0.0626, -0.0133,     0.0048,  0.0044, -0.8005,     0.0031, -0.0002, -0.0070,    
 423.390, 928861325, 005542500,  0.554, _,    0978.6, 2020.9, 1502.7, 0980.0, 1260.9, 1650.6,    1000.0, 1000.0, 1000.0, 1000.0,    -00023, 000080, -00003,    -00495, 000106, 008160,    -00006, -00001, -00005,    000914049095, 000099056855, 000007128728, -00554592353,     0.2640,  0.1955,  0.9602,     0.0129, -0.0598,  0.9976,     0.0003,  0.0016,  0.0013,    -0.002244,  0.000181,  0.007026,     0.3522,  0.9359,     0.9204, -0.0315,  0.0064, -0.3897,    -0.0079, -0.0283,  0.0689,  0.0043,     0.0061,  0.0036, -0.8006,     0.0025,  0.0014, -0.0057,    
 423.400, 938858116, 005590125,  0.559, _,    0978.6, 2020.9, 1502.7, 0980.1, 1260.9, 1650.6,    1000.0, 1000.0, 1000.0, 1000.0,    -00023, 000082, -00003,    -00495, 000094, 008192,    -00002, 000001, 000005,    000914076574, 000098766768, 000007199174, -00554597890,     0.2640,  0.1844,  0.9602,     0.0114, -0.0598,  1.0014,    -0.0003,  0.0005, -0.0013,    -0.002193,  0.000192,  0.007002,     0.3466,  0.9380,     0.9205, -0.0321,  0.0065, -0.3895,    -0.0128, -0.0622,  0.0132,  0.0338,     0.0051,  0.0047, -0.8007,     0.0019,  0.0003, -0.0083,    
