 Atime,       Adur,    Aperc, A,        Arx1,   Ary1,   Arz1,           Aax1,   Aay1,   Aaz1,       
 0001.072540, 001111,  0.111, _,    -00180, -00007, 008325,    -00036.56, -00001.42, 001691.02,    
 0001.272560, 001029,  0.103, _,    -00170, -00037, 008377,    -00071.09, -00008.94, 003392.59,    
 0001.282547, 000997,  0.100, _,    -00172, -00037, 008398,    -00091.97, -00015.91, 004448.05,    
 0001.292549, 001005,  0.101, _,    -00147, -00005, 008393,    -00108.55, -00014.03, 005498.42,    
 0001.302551, 000992,  0.099, _,    -00177, -00015, 008402,    -00122.62, -00013.86, 006158.75,    
 0001.312546, 000991,  0.099, _,    -00221, 000008, 008385,    -00148.06, -00010.11, 006813.58,    
 0001.322548, 000991,  0.099, _,    -00143, -00037, 008358,    -00149.59, -00014.50, 007201.08,    
 0001.332550, 000990,  0.099, _,    -00135, -00058, 008402,    -00147.55, -00025.52, 007597.45,    
 0001.342545, 000994,  0.099, _,    -00187, -00006, 008326,    -00157.88, -00021.88, 007849.34,    
 0001.352547, 000990,  0.099, _,    -00159, -00003, 008357,    -00162.02, -00017.59, 008104.23,    
 0001.362549, 000991,  0.099, _,    -00185, -00029, 008355,    -00167.25, -00020.12, 008235.23,    
 0001.372543, 000996,  0.100, _,    -00155, -00012, 008397,    -00168.12, -00019.20, 008370.08,    
 0001.382545, 000989,  0.099, _,    -00149, -00042, 008342,    -00162.44, -00023.11, 008367.77,    
 0001.392548, 000993,  0.099, _,    -00205, -00014, 008355,    -00171.89, -00022.53, 008361.52,    
 0001.402550, 000990,  0.099, _,    -00173, -00023, 008318,    -00173.19, -00020.98, 008354.47,    
 0001.412544, 000990,  0.099, _,    -00190, -00046, 008387,    -00175.67, -00027.72, 008357.14,    
 0001.422546, 000997,  0.100, _,    -00160, 000009, 008308,    -00173.97, -00020.31, 008350.77,    
 0001.432549, 000992,  0.099, _,    -00136, -00014, 008312,    -00164.25, -00017.70, 008336.98,    
 0001.442551, 000992,  0.099, _,    -00207, -00036, 008368,    -00172.98, -00022.20, 008345.84,    
 0001.452545, 000990,  0.099, _,    -00218, -00023, 008324,    -00184.31, -00022.05, 008339.98,    
 0001.462547, 000991,  0.099, _,    -00173, -00025, 008404,    -00182.23, -00022.81, 008352.94,    
 0001.472549, 000989,  0.099, _,    -00165, 000019, 008419,    -00178.30, -00014.61, 008368.69,    
 0001.482544, 000990,  0.099, _,    -00183, -00004, 008375,    -00179.33, -00010.59, 008370.56,    
 0001.492546, 000991,  0.099, _,    -00161, -00027, 008448,    -00176.08, -00014.92, 008386.09,    
 0001.502548, 000994,  0.099, _,    -00195, -00019, 008354,    -00179.28, -00015.30, 008383.14,    
 0001.512550, 000992,  0.099, _,    -00200, -00032, 008402,    -00184.48, -00018.70, 008383.56,    
 0001.522545, 000991,  0.099, _,    -00206, -00017, 008373,    -00188.67, -00018.92, 008385.94,    
 0001.532547, 000992,  0.099, _,    -00227, 000014, 008332,    -00197.95, -00011.61, 008371.89,    
 0001.542549, 000992,  0.099, _,    -00160, 000006, 008369,    -00191.06, -00007.23, 008372.52,    
 0001.552544, 000990,  0.099, _,    -00175, 000012, 008338,    -00186.36, -00003.27, 008365.91,    
 0001.562546, 000991,  0.099, _,    -00175, -00004, 008395,    -00184.86, -00002.14, 008370.84,    
 0001.572548, 000990,  0.099, _,    -00175, -00008, 008371,    -00181.34, -00003.88, 008373.06,    
 0001.582542, 000988,  0.099, _,    -00167, -00027, 008364,    -00179.05, -00008.05, 008369.48,    
 0001.592545, 000992,  0.099, _,    -00204, -00020, 008382,    -00183.30, -00011.86, 008372.05,    
 0001.602547, 000992,  0.099, _,    -00175, -00023, 008360,    -00183.47, -00013.80, 008369.47,    
 0001.612549, 000992,  0.099, _,    -00178, -00044, 008361,    -00180.83, -00020.47, 008366.53,    
 0001.622551, 000997,  0.100, _,    -00178, -00012, 008392,    -00181.25, -00019.25, 008371.50,    
 0001.632545, 000992,  0.099, _,    -00136, -00029, 008395,    -00170.53, -00020.42, 008377.28,    
 0001.642548, 001037,  0.104, _,    -00170, -00022, 008360,    -00169.28, -00021.80, 008373.77,    
 0001.652550, 000993,  0.099, _,    -00157, -00028, 008353,    -00166.81, -00022.81, 008369.48,    
 0001.662544, 001000,  0.100, _,    -00179, -00007, 008393,    -00168.23, -00020.84, 008373.94,    
 0001.672546, 000995,  0.100, _,    -00147, 000000, 008367,    -00165.23, -00015.67, 008374.06,    
 0001.682549, 000994,  0.099, _,    -00190, -00008, 008382,    -00168.23, -00014.50, 008374.34,    
 0001.692551, 000996,  0.100, _,    -00189, 000016, 008320,    -00174.83, -00007.91, 008364.38,    
 0001.702545, 000994,  0.099, _,    -00192, 000000, 008385,    -00177.16, -00005.30, 008365.62,    
 0001.712547, 000992,  0.099, _,    -00155, -00002, 008382,    -00173.98, -00004.62, 008372.20,    
 0001.722549, 000991,  0.099, _,    -00159, -00039, 008438,    -00168.61, -00011.06, 008383.53,    
 0001.732544, 000989,  0.099, _,    -00190, 000002, 008372,    -00174.28, -00009.67, 008385.45,    
 0001.742546, 000995,  0.100, _,    -00181, -00010, 008374,    -00175.45, -00007.77, 008379.33,    
 0001.752548, 000992,  0.099, _,    -00185, -00029, 008280,    -00178.14, -00013.33, 008361.81,    
 0001.762550, 000990,  0.099, _,    -00155, -00017, 008379,    -00173.61, -00013.59, 008359.28,    
 0001.772545, 000988,  0.099, _,    -00172, -00042, 008357,    -00172.64, -00019.70, 008364.30,    
 0001.782547, 000989,  0.099, _,    -00174, -00021, 008414,    -00173.66, -00020.72, 008369.44,    
 0001.792549, 000993,  0.099, _,    -00162, -00042, 008389,    -00170.84, -00024.89, 008379.11,    
 0001.802544, 000988,  0.099, _,    -00185, -00018, 008415,    -00173.45, -00025.06, 008382.78,    
 0001.812546, 000990,  0.099, _,    -00161, -00009, 008300,    -00171.31, -00020.98, 008371.06,    
 0001.822548, 001000,  0.100, _,    -00188, -00041, 008389,    -00173.73, -00025.62, 008367.70,    
 0001.832550, 000993,  0.099, _,    -00190, -00050, 008402,    -00178.50, -00031.34, 008380.38,    
 0001.842545, 000993,  0.099, _,    -00170, 000023, 008349,    -00176.50, -00020.94, 008369.88,    
 0001.852547, 000989,  0.099, _,    -00181, 000031, 008384,    -00177.27, -00007.92, 008374.48,    
 0001.862549, 000989,  0.099, _,    -00158, -00020, 008327,    -00173.52, -00010.55, 008364.20,    
 0001.872543, 000990,  0.099, _,    -00186, 000002, 008371,    -00175.11, -00008.17, 008365.31,    
 0001.882545, 000994,  0.099, _,    -00195, -00014, 008376,    -00180.50, -00008.38, 008368.75,    
 0001.892548, 000993,  0.099, _,    -00198, -00028, 008415,    -00184.03, -00012.66, 008377.16,    
 0001.902550, 000994,  0.099, _,    -00161, -00023, 008420,    -00180.23, -00014.77, 008387.83,    
 0001.912544, 000990,  0.099, _,    -00177, -00023, 008296,    -00178.33, -00016.73, 008369.09,    
 0001.922546, 000990,  0.099, _,    -00157, -00033, 008348,    -00175.08, -00019.80, 008361.11,    
 0001.932549, 000989,  0.099, _,    -00176, -00031, 008375,    -00173.59, -00022.61, 008366.14,    
 0001.942551, 000990,  0.099, _,    -00195, 000009, 008400,    -00179.23, -00016.09, 008372.12,    
 0001.952545, 000991,  0.099, _,    -00174, -00020, 008390,    -00177.64, -00015.52, 008377.12,    
 0001.962547, 000990,  0.099, _,    -00156, 000005, 008299,    -00173.53, -00012.77, 008360.73,    
 0001.972549, 000989,  0.099, _,    -00150, 000028, 008370,    -00167.80, -00003.42, 008360.31,    
 0001.982544, 000990,  0.099, _,    -00182, -00017, 008405,    -00170.50, -00005.77, 008372.05,    
 0001.992546, 000992,  0.099, _,    -00169, -00017, 008338,    -00170.69, -00008.73, 008364.89,    
 0002.002548, 000991,  0.099, _,    -00165, 000002, 008351,    -00168.56, -00006.42, 008360.16,    
 0002.012550, 000990,  0.099, _,    -00212, -00013, 008352,    -00177.34, -00007.14, 008358.75,    
 0002.022545, 000999,  0.100, _,    -00184, 000002, 008394,    -00180.41, -00005.52, 008364.78,    
 0002.032547, 000992,  0.099, _,    -00169, -00026, 008341,    -00177.33, -00008.70, 008362.56,    
 0002.042549, 000995,  0.100, _,    -00210, -00003, 008412,    -00184.25, -00008.73, 008370.00,    
 0002.052544, 001007,  0.101, _,    -00182, -00024, 008379,    -00184.98, -00010.08, 008375.55,    
