 time,    start,     dur,        perc,  X,    R1,     R2,     R3,     R4,     R5,     R6,        M1,     M2,     M3,     M4,        rMx1, rMy1, rMz1,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      rQo1,         rQx1,         rQy1,         rQz1,            aMx1,     aMy1,     aMz1,        aAx1,     aAy1,     aAz1,        aGx1,     aGy1,     aGz1,        nMx1,    nMy1,    nMz1,       nAx1,    nAy1,    nAz1,       nGx1,    nGy1,    nGz1,       bx1,       by1,       bz1,          fx1,     fz1,        Qo1,     Qx1,     Qy1,     Qz1,        dQo1,    dQx1,    dQy1,    dQz1,       Ex1,     Ey1,     Ez1,        dEx1,    dEy1,    dEz1,     
 032.630, 494450900, 007625667,  0.763, _,    0981.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.5,    1000.0, 1000.0, 1000.0, 1000.0,    -034, 0081, -014,    -00582, 000113, 008251,    000000, -00004, 000006,    001066607779, 000011424629, 000035150633, -00117912084,      -27.33,    80.28,    -9.47,     -551.33,   113.52,  8222.58,        0.19,    -1.52,     1.53,     0.2884,  0.1940,  0.9235,     0.0138, -0.0666,  1.0051,     0.0004, -0.0000, -0.0004,     0.000747,  0.002235, -0.012339,     0.3811,  0.9245,     0.9331, -0.0319,  0.0056, -0.3582,     0.0087,  0.0153, -0.0729, -0.0091,     0.0036,  0.0062, -0.7326,    -0.0003, -0.0023,  0.0119,    
 032.640, 504629233, 007483709,  0.748, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -023, 0082, -008,    -00557, 000108, 008188,    000001, 000002, -00004,    001066605459, 000011427481, 000035165825, -00117928263,      -27.00,    80.58,    -9.41,     -554.19,   111.77,  8217.34,        0.30,    -0.84,     0.84,     0.2865,  0.1923,  0.9238,     0.0136, -0.0670,  1.0045,     0.0002, -0.0001, -0.0002,     0.000793,  0.002196, -0.012332,     0.3775,  0.9260,     0.9331, -0.0323,  0.0062, -0.3582,     0.0025, -0.0363,  0.0648, -0.0063,     0.0044,  0.0050, -0.7327,    -0.0006, -0.0023,  0.0121,    
 032.650, 514467608, 007388917,  0.739, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -023, 0080, -010,    -00569, 000123, 008187,    -00001, -00001, -00002,    001066603866, 000011421384, 000035181573, -00117938571,      -25.53,    80.53,    -9.33,     -556.28,   114.59,  8208.23,        0.11,    -0.69,    -0.19,     0.2783,  0.1926,  0.9243,     0.0140, -0.0672,  1.0034,     0.0002, -0.0000,  0.0000,     0.000786,  0.002142, -0.012308,     0.3736,  0.9276,     0.9330, -0.0320,  0.0068, -0.3585,     0.0073,  0.0302,  0.0578, -0.0305,     0.0033,  0.0059, -0.7328,    -0.0006, -0.0022,  0.0124,    
 032.660, 524466858, 007396750,  0.740, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -025, 0091, -009,    -00543, 000097, 008203,    000001, -00002, -00003,    001066601806, 000011429891, 000035166476, -00117960874,      -25.72,    82.50,    -9.44,     -555.42,   111.55,  8208.28,        0.17,    -1.09,    -0.50,     0.2793,  0.1816,  0.9237,     0.0136, -0.0671,  1.0034,     0.0003, -0.0000,  0.0001,     0.000846,  0.002145, -0.012314,     0.3685,  0.9296,     0.9330, -0.0327,  0.0070, -0.3583,    -0.0025, -0.0716,  0.0229,  0.0156,     0.0034,  0.0072, -0.7333,    -0.0006, -0.0022,  0.0124,    
 032.670, 534470983, 007410000,  0.741, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -027, 0077, -014,    -00551, 000116, 008247,    000001, -00004, -00001,    001066601283, 000011436298, 000035153647, -00117968807,      -25.70,    81.91,   -10.17,     -552.91,   111.67,  8215.09,        0.48,    -1.61,    -0.92,     0.2792,  0.1849,  0.9195,     0.0136, -0.0668,  1.0042,     0.0004, -0.0001,  0.0002,     0.000811,  0.002194, -0.012305,     0.3727,  0.9280,     0.9330, -0.0325,  0.0063, -0.3584,     0.0066,  0.0179, -0.0730, -0.0057,     0.0019,  0.0071, -0.7331,    -0.0004, -0.0023,  0.0126,    
 032.680, 544469400, 007416917,  0.742, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.5,    1000.0, 1000.0, 1000.0, 1000.0,    -025, 0079, -006,    -00567, 000115, 008260,    000001, -00002, -00004,    001066599746, 000011443276, 000035142215, -00117985434,      -25.84,    80.64,    -9.64,     -557.11,   113.42,  8226.30,        0.50,    -1.89,    -1.33,     0.2800,  0.1920,  0.9225,     0.0138, -0.0673,  1.0056,     0.0005, -0.0001,  0.0004,     0.000760,  0.002191, -0.012277,     0.3752,  0.9270,     0.9329, -0.0319,  0.0061, -0.3586,     0.0121,  0.0596, -0.0212, -0.0339,     0.0028,  0.0059, -0.7331,    -0.0003, -0.0023,  0.0126,    
 032.690, 554476233, 007443209,  0.744, _,    0981.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.5,    1000.0, 1000.0, 1000.0, 1000.0,    -029, 0081, -011,    -00545, 000093, 008217,    -00001, 000000, -00004,    001066598405, 000011434460, 000035141443, -00117998641,      -26.17,    81.11,    -9.44,     -554.36,   108.77,  8223.92,        0.30,    -1.34,    -2.23,     0.2819,  0.1893,  0.9237,     0.0132, -0.0670,  1.0053,     0.0004, -0.0001,  0.0006,     0.000806,  0.002160, -0.012257,     0.3736,  0.9276,     0.9328, -0.0323,  0.0066, -0.3588,     0.0073, -0.0406,  0.0554, -0.0245,     0.0041,  0.0059, -0.7336,    -0.0004, -0.0022,  0.0129,    
 032.700, 564503358, 007379667,  0.738, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -025, 0081, -006,    -00545, 000135, 008183,    -00002, -00004, 000002,    001066598984, 000011419391, 000035132055, -00117997661,      -26.30,    80.81,    -9.12,     -552.55,   113.72,  8215.88,       -0.28,    -1.91,    -1.25,     0.2826,  0.1910,  0.9254,     0.0139, -0.0668,  1.0043,     0.0005,  0.0001,  0.0003,     0.000765,  0.002194, -0.012234,     0.3757,  0.9268,     0.9328, -0.0320,  0.0060, -0.3590,     0.0108,  0.0313, -0.0606, -0.0265,     0.0029,  0.0066, -0.7341,    -0.0003, -0.0021,  0.0126,    
 032.710, 574465275, 007380833,  0.738, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -029, 0077, -006,    -00521, 000107, 008207,    000002, 000000, 000002,    001066599846, 000011430670, 000035123905, -00117991196,      -26.56,    80.28,    -8.09,     -546.19,   113.70,  8212.53,        0.19,    -1.66,    -0.58,     0.2841,  0.1940,  0.9313,     0.0138, -0.0660,  1.0039,     0.0004, -0.0000,  0.0002,     0.000734,  0.002165, -0.012198,     0.3753,  0.9269,     0.9326, -0.0315,  0.0062, -0.3594,     0.0128,  0.0474,  0.0186, -0.0484,     0.0040,  0.0057, -0.7345,    -0.0003, -0.0022,  0.0124,    
 032.720, 584466817, 007407791,  0.741, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -033, 0082, -010,    -00568, 000107, 008222,    000003, 000002, 000004,    001066603316, 000011444405, 000035120054, -00117959639,      -28.23,    80.34,    -8.72,     -549.75,   110.91,  8215.73,        0.88,    -0.78,     0.44,     0.2935,  0.1936,  0.9277,     0.0135, -0.0664,  1.0043,     0.0002, -0.0002, -0.0001,     0.000734,  0.002225, -0.012201,     0.3822,  0.9241,     0.9327, -0.0318,  0.0055, -0.3593,     0.0043, -0.0274, -0.0712,  0.0122,     0.0047,  0.0064, -0.7353,    -0.0005, -0.0025,  0.0121,    
