 Mtime,       Mdur,    Mperc, M,        Mrx1, Mry1, Mrz1,         Max1, May1, Maz1,     
 0000.761108, 001374,  0.027, _,    0109, 0154, -034,    0022.14, 0031.28, -006.91,    
 0000.961121, 001176,  0.024, _,    0103, 0161, -034,    0043.06, 0063.98, -013.81,    
 0001.011108, 001167,  0.023, _,    0107, 0159, -044,    0056.28, 0084.25, -020.09,    
 0001.061111, 001171,  0.023, _,    0103, 0149, -039,    0069.16, 0101.94, -025.36,    
 0001.111115, 001168,  0.023, _,    0098, 0154, -034,    0075.59, 0113.58, -027.23,    
 0001.161118, 001167,  0.023, _,    0107, 0152, -039,    0084.45, 0125.27, -030.52,    
 0001.211105, 001167,  0.023, _,    0105, 0154, -034,    0089.70, 0132.25, -031.64,    
 0001.261108, 001168,  0.023, _,    0104, 0153, -035,    0094.42, 0139.44, -032.81,    
 0001.311111, 001169,  0.023, _,    0101, 0155, -033,    0097.09, 0144.30, -033.36,    
 0001.361115, 001175,  0.024, _,    0100, 0154, -039,    0099.44, 0149.33, -034.97,    
 0001.411118, 001171,  0.023, _,    0108, 0157, -035,    0102.12, 0152.19, -035.62,    
 0001.461105, 001169,  0.023, _,    0106, 0157, -033,    0104.41, 0155.28, -035.28,    
 0001.511108, 001167,  0.023, _,    0100, 0159, -041,    0103.36, 0155.94, -036.52,    
 0001.561111, 001165,  0.023, _,    0107, 0154, -036,    0103.98, 0155.73, -036.58,    
 0001.611115, 001166,  0.023, _,    0100, 0154, -036,    0103.42, 0155.09, -036.27,    
 0001.661118, 001167,  0.023, _,    0109, 0156, -036,    0104.20, 0155.48, -036.23,    
 0001.711105, 001167,  0.023, _,    0101, 0155, -030,    0104.09, 0155.34, -034.92,    
 0001.761108, 001172,  0.023, _,    0112, 0154, -039,    0105.14, 0155.14, -035.55,    
 0001.811111, 001167,  0.023, _,    0108, 0162, -040,    0106.47, 0156.47, -036.77,    
 0001.861115, 001169,  0.023, _,    0108, 0155, -040,    0106.36, 0156.55, -037.36,    
 0001.911118, 001166,  0.023, _,    0106, 0155, -035,    0106.77, 0155.94, -037.11,    
 0001.961105, 001166,  0.023, _,    0109, 0154, -032,    0106.92, 0155.75, -035.84,    
 0002.011108, 001165,  0.023, _,    0108, 0155, -030,    0107.55, 0155.34, -034.64,    
 0002.061111, 001168,  0.023, _,    0107, 0156, -039,    0107.17, 0155.62, -035.33,    
 0002.111115, 001170,  0.023, _,    0107, 0149, -036,    0107.42, 0154.14, -035.73,    
 0002.161118, 001169,  0.023, _,    0109, 0159, -029,    0107.59, 0154.94, -034.09,    
 0002.211105, 001167,  0.023, _,    0108, 0160, -033,    0107.97, 0156.33, -033.83,    
 0002.261108, 001168,  0.023, _,    0108, 0153, -038,    0107.83, 0155.59, -034.66,    
 0002.311111, 001166,  0.023, _,    0105, 0154, -034,    0107.41, 0155.17, -034.72,    
 0002.361115, 001166,  0.023, _,    0106, 0153, -038,    0106.91, 0154.73, -035.16,    
 0002.411118, 001168,  0.023, _,    0111, 0155, -033,    0107.81, 0154.66, -034.89,    
 0002.461105, 001170,  0.023, _,    0105, 0156, -034,    0107.33, 0154.98, -034.41,    
 0002.511108, 001169,  0.023, _,    0109, 0154, -039,    0107.48, 0154.77, -035.55,    
 0002.561111, 001181,  0.024, _,    0101, 0157, -038,    0106.38, 0155.19, -036.08,    
 0002.611115, 001170,  0.023, _,    0106, 0155, -033,    0105.86, 0155.31, -035.58,    
 0002.661118, 001169,  0.023, _,    0106, 0150, -038,    0106.20, 0154.11, -035.89,    
 0002.711105, 001169,  0.023, _,    0104, 0155, -030,    0105.47, 0154.19, -034.94,    
 0002.761108, 001166,  0.023, _,    0107, 0159, -036,    0105.86, 0155.27, -034.80,    
 0002.811111, 001165,  0.023, _,    0100, 0159, -032,    0104.61, 0156.05, -034.62,    
 0002.861115, 001167,  0.023, _,    0111, 0153, -035,    0105.69, 0155.55, -034.23,    
 0002.911118, 001167,  0.023, _,    0107, 0156, -029,    0106.34, 0155.47, -033.53,    
 0002.961105, 001173,  0.023, _,    0107, 0156, -039,    0106.20, 0155.78, -034.12,    
 0003.011108, 001171,  0.023, _,    0112, 0154, -039,    0107.56, 0155.33, -035.70,    
 0003.061111, 001170,  0.023, _,    0103, 0156, -034,    0106.70, 0155.45, -035.08,    
 0003.111115, 001167,  0.023, _,    0108, 0157, -038,    0106.77, 0155.78, -035.80,    
 0003.161118, 001168,  0.023, _,    0107, 0159, -036,    0107.06, 0156.52, -035.78,    
 0003.211105, 001171,  0.023, _,    0100, 0154, -034,    0105.50, 0156.11, -035.50,    
 0003.261108, 001169,  0.023, _,    0104, 0150, -035,    0105.03, 0154.75, -035.28,    
 0003.311111, 001166,  0.023, _,    0103, 0156, -040,    0104.72, 0154.89, -036.33,    
 0003.361115, 001166,  0.023, _,    0104, 0160, -038,    0104.41, 0156.03, -036.84,    
 0003.411118, 001170,  0.023, _,    0100, 0154, -036,    0103.62, 0155.67, -036.69,    
 0003.461105, 001168,  0.023, _,    0105, 0159, -034,    0103.59, 0156.20, -036.17,    
 0003.511108, 001165,  0.023, _,    0106, 0160, -035,    0104.25, 0157.25, -035.88,    
 0003.561111, 001168,  0.023, _,    0098, 0156, -034,    0102.88, 0156.97, -035.55,    
 0003.611115, 001169,  0.023, _,    0105, 0156, -034,    0103.02, 0156.80, -035.05,    
 0003.661118, 001168,  0.023, _,    0107, 0161, -032,    0104.02, 0157.59, -034.47,    
 0003.711105, 001170,  0.023, _,    0107, 0159, -036,    0104.59, 0158.09, -034.61,    
 0003.761108, 001167,  0.023, _,    0107, 0159, -034,    0105.17, 0158.20, -034.66,    
 0003.811111, 001171,  0.023, _,    0105, 0156, -036,    0105.17, 0157.91, -034.75,    
 0003.861115, 001171,  0.023, _,    0106, 0157, -038,    0105.38, 0157.62, -035.58,    
 0003.911118, 001168,  0.023, _,    0107, 0154, -036,    0105.78, 0157.05, -035.59,    
