 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,    Aax1,   Aay1,   Aaz1,
 0000.366028, 001212,  0.121, _,    -00177, 000007, 008375,    -00035.95, 000001.42, 001701.17,    
 0000.566040, 001008,  0.101, _,    -00165, 000007, 008389,    -00069.47, 000002.84, 003405.19,    
 0000.576050, 000989,  0.099, _,    -00193, -00019, 008363,    -00094.84, -00001.56, 004449.62,    
 0000.586060, 000989,  0.099, _,    -00188, 000002, 008390,    -00120.14, -00001.70, 005498.45,    
 0000.596039, 000988,  0.099, _,    -00201, -00003, 008389,    -00137.59, -00001.16, 006156.53,    
 0000.606049, 000986,  0.099, _,    -00157, -00001, 008423,    -00147.06, -00001.84, 006818.75,    
 0000.616058, 000987,  0.099, _,    -00187, 000008, 008356,    -00154.77, 000000.69, 007206.94,    
 0000.626038, 000992,  0.099, _,    -00159, 000021, 008340,    -00160.83, 000004.72, 007587.52,    
 0000.636047, 001003,  0.100, _,    -00211, 000038, 008426,    -00170.86, 000012.44, 007860.80,    
 0000.646057, 000990,  0.099, _,    -00176, 000005, 008323,    -00178.38, 000011.69, 008111.75,    
 0000.656036, 000988,  0.099, _,    -00200, -00013, 008363,    -00181.69, 000005.98, 008236.83,    
 0000.666046, 000985,  0.099, _,    -00210, -00004, 008361,    -00192.72, 000003.69, 008368.59,    
 0000.676056, 000985,  0.099, _,    -00161, 000003, 008387,    -00185.14, 000003.52, 008370.14,    
 0000.686035, 000987,  0.099, _,    -00200, -00038, 008362,    -00188.17, -00004.91, 008370.92,    
 0000.696045, 000985,  0.099, _,    -00177, 000014, 008402,    -00186.50, -00002.66, 008374.70,    
 0000.706055, 000987,  0.099, _,    -00202, -00052, 008324,    -00188.69, -00010.56, 008367.20,    
 0000.716034, 000987,  0.099, _,    -00210, -00029, 008360,    -00194.36, -00017.95, 008361.14,    
 0000.726044, 000986,  0.099, _,    -00181, -00015, 008333,    -00191.72, -00015.42, 008358.25,    
 0000.736053, 000987,  0.099, _,    -00208, -00029, 008383,    -00194.89, -00020.31, 008359.09,    
 0000.746033, 000986,  0.099, _,    -00172, -00026, 008297,    -00191.45, -00021.14, 008350.91,    
 0000.756042, 000985,  0.099, _,    -00209, -00034, 008311,    -00193.34, -00025.30, 008336.34,    
 0000.766052, 000985,  0.099, _,    -00165, -00020, 008345,    -00189.47, -00024.42, 008341.14,    
 0000.776062, 000986,  0.099, _,    -00171, -00007, 008344,    -00183.16, -00020.98, 008339.52,    
 0000.786041, 000986,  0.099, _,    -00215, -00035, 008328,    -00190.66, -00023.38, 008338.50,    
 0000.796051, 000984,  0.098, _,    -00176, 000041, 008376,    -00188.19, -00011.81, 008343.50,    
 0000.806061, 000987,  0.099, _,    -00155, 000000, 008254,    -00180.66, -00005.69, 008328.09,    
 0000.816040, 000990,  0.099, _,    -00195, -00017, 008303,    -00182.67, -00010.27, 008316.53,    
 0000.826050, 000989,  0.099, _,    -00168, -00015, 008279,    -00180.78, -00009.59, 008312.30,    
 0000.836060, 000989,  0.099, _,    -00194, -00002, 008349,    -00181.56, -00008.94, 008314.67,    
 0000.846039, 000985,  0.099, _,    -00193, 000002, 008373,    -00185.56, -00005.31, 008331.25,    
 0000.856049, 000985,  0.099, _,    -00216, 000009, 008358,    -00190.45, -00002.72, 008334.53,    
 0000.866058, 000986,  0.099, _,    -00175, -00030, 008376,    -00189.58, -00007.00, 008345.59,    
 0000.876038, 000985,  0.099, _,    -00188, -00030, 008337,    -00187.02, -00013.17, 008344.14,    
