 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,    Gax1,   Gay1,   Gaz1
 0000.353455, 001132,  0.113, _,    -00034, 000079, -00033,    -00006.91, 000016.05, -00006.70,    
 0000.553467, 001049,  0.105, _,    -00037, 000073, -00030,    -00014.42, 000030.88, -00012.80,    
 0000.563446, 000998,  0.100, _,    -00033, 000084, -00030,    -00018.47, 000041.77, -00016.31,    
 0000.573456, 000994,  0.099, _,    -00035, 000068, -00037,    -00022.69, 000049.88, -00021.48,    
 0000.583466, 000990,  0.099, _,    -00039, 000074, -00037,    -00026.44, 000054.64, -00025.11,    
 0000.593445, 000987,  0.099, _,    -00036, 000077, -00032,    -00029.28, 000061.55, -00027.31,    
 0000.603455, 000986,  0.099, _,    -00041, 000077, -00037,    -00031.95, 000065.00, -00029.50,    
 0000.613464, 000987,  0.099, _,    -00041, 000084, -00039,    -00034.67, 000070.58, -00032.25,    
 0000.623444, 000996,  0.100, _,    -00040, 000071, -00035,    -00036.20, 000071.66, -00033.28,    
 0000.633453, 001020,  0.102, _,    -00043, 000080, -00034,    -00038.38, 000074.47, -00034.02,    
 0000.643463, 000992,  0.099, _,    -00037, 000082, -00035,    -00038.58, 000077.11, -00034.52,    
 0000.653442, 000989,  0.099, _,    -00041, 000074, -00029,    -00039.38, 000077.34, -00033.88,    
 0000.663452, 000987,  0.099, _,    -00040, 000083, -00033,    -00039.80, 000078.36, -00033.48,    
 0000.673462, 000986,  0.099, _,    -00042, 000073, -00034,    -00040.14, 000077.62, -00033.77,    
 0000.683441, 000988,  0.099, _,    -00035, 000077, -00031,    -00039.38, 000077.05, -00033.12,    
 0000.693451, 000987,  0.099, _,    -00036, 000077, -00032,    -00038.39, 000077.44, -00032.86,    
 0000.703461, 000986,  0.099, _,    -00039, 000081, -00030,    -00038.67, 000077.95, -00032.19,    
 0000.713440, 000986,  0.099, _,    -00027, 000077, -00038,    -00036.22, 000078.08, -00033.27,    
 0000.723450, 000987,  0.099, _,    -00035, 000080, -00038,    -00035.55, 000078.20, -00034.48,    
 0000.733459, 000986,  0.099, _,    -00033, 000079, -00041,    -00035.19, 000078.62, -00035.69,    
 0000.743439, 000986,  0.099, _,    -00042, 000076, -00027,    -00036.23, 000077.92, -00034.22,    
 0000.753448, 000985,  0.099, _,    -00027, 000077, -00031,    -00034.78, 000077.83, -00033.02,    
 0000.763458, 000986,  0.099, _,    -00039, 000065, -00030,    -00034.81, 000075.03, -00032.73,    
 0000.773438, 000986,  0.099, _,    -00034, 000081, -00032,    -00035.36, 000075.86, -00032.22,    
 0000.783447, 000984,  0.098, _,    -00043, 000073, -00034,    -00036.20, 000075.78, -00032.86,    
 0000.793457, 000985,  0.099, _,    -00034, 000084, -00036,    -00036.52, 000076.89, -00033.31,    
 0000.803436, 000986,  0.099, _,    -00042, 000078, -00030,    -00036.84, 000077.89, -00032.95,    
 0000.813446, 000986,  0.099, _,    -00040, 000076, -00034,    -00038.38, 000076.92, -00032.84,    
 0000.823456, 000994,  0.099, _,    -00036, 000077, -00040,    -00037.36, 000077.31, -00034.61,    
 0000.833435, 000989,  0.099, _,    -00041, 000078, -00035,    -00038.55, 000077.11, -00034.66,    
