 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,     
 0000.417969, 001352,  0.068, _,    0107, 0147, -032,    
 0000.617188, 002032,  0.102, _,    0106, 0148, -040,    
 0000.636719, 002025,  0.101, _,    0103, 0147, -036,    
 0000.658203, 002024,  0.101, _,    0100, 0154, -039,    
 0000.677734, 002025,  0.101, _,    0108, 0146, -035,    
 0000.697266, 002026,  0.101, _,    0106, 0146, -040,    
 0000.716797, 002025,  0.101, _,    0104, 0153, -038,    
 0000.738281, 002028,  0.101, _,    0109, 0154, -034,    
 0000.757812, 002025,  0.101, _,    0111, 0148, -042,    
 0000.777344, 002026,  0.101, _,    0100, 0145, -036,    
 0000.796875, 002028,  0.101, _,    0103, 0149, -032,    
 0000.816406, 002025,  0.101, _,    0103, 0147, -041,    
 0000.837891, 002024,  0.101, _,    0108, 0153, -035,    
 0000.857422, 002051,  0.103, _,    0106, 0148, -033,    
 0000.876953, 002024,  0.101, _,    0106, 0146, -035,    
 0000.896484, 002026,  0.101, _,    0109, 0149, -039,    
 0000.917969, 002023,  0.101, _,    0109, 0147, -032,    
 0000.937500, 002022,  0.101, _,    0106, 0148, -038,    
 0000.957031, 002024,  0.101, _,    0108, 0146, -038,    
 0000.976562, 002026,  0.101, _,    0109, 0142, -039,    
 0000.998047, 002023,  0.101, _,    0103, 0154, -039,    
 0001.017578, 002024,  0.101, _,    0107, 0147, -041,    
 0001.037109, 002022,  0.101, _,    0107, 0154, -034,    
 0001.056641, 002024,  0.101, _,    0108, 0146, -040,    
 0001.078125, 002025,  0.101, _,    0105, 0149, -044,    
 0001.097656, 002089,  0.104, _,    0105, 0142, -034,    
 0001.117188, 002029,  0.101, _,    0106, 0146, -038,    
 0001.136719, 002023,  0.101, _,    0103, 0147, -034,    
 0001.158203, 002029,  0.101, _,    0109, 0147, -034,    
 0001.177734, 002023,  0.101, _,    0105, 0145, -034,    
 0001.197266, 002025,  0.101, _,    0103, 0149, -034,    
 0001.216797, 002023,  0.101, _,    0112, 0145, -039,    
 0001.238281, 002026,  0.101, _,    0104, 0148, -038,    
 0001.257812, 002024,  0.101, _,    0099, 0153, -033,    
 0001.277344, 002025,  0.101, _,    0105, 0152, -029,    
 0001.296875, 002025,  0.101, _,    0106, 0141, -038,    
 0001.316406, 002026,  0.101, _,    0101, 0153, -035,    
