 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,   
 0000.861786, 001202,  0.120, _,    -00195, -00026, 008349,    -00039.61, -00005.28, 001695.89,    
 0001.061798, 001009,  0.101, _,    -00196, 000001, 008354,    -00079.42, -00005.08, 003392.80,    
 0001.071808, 000994,  0.099, _,    -00181, 000010, 008330,    -00100.95, -00001.02, 004432.56,    
 0001.081787, 000999,  0.100, _,    -00219, -00023, 008323,    -00130.12, -00005.77, 005470.52,    
 0001.091797, 000991,  0.099, _,    -00207, 000007, 008323,    -00148.89, -00003.91, 006118.98,    
 0001.101807, 000990,  0.099, _,    -00164, -00014, 008369,    -00155.91, -00005.00, 006777.11,    
 0001.111786, 000990,  0.099, _,    -00200, 000030, 008362,    -00165.78, 000000.89, 007174.03,    
 0001.121796, 000990,  0.099, _,    -00154, 000024, 008378,    -00167.86, 000007.91, 007570.78,    
 0001.131805, 000991,  0.099, _,    -00197, -00004, 008367,    -00173.84, 000004.52, 007836.14,    
 0001.141785, 000992,  0.099, _,    -00192, -00037, 008305,    -00183.22, -00003.52, 008085.64,    
 0001.151794, 000990,  0.099, _,    -00185, -00043, 008418,    -00183.69, -00013.31, 008229.20,    
 0001.161804, 000991,  0.099, _,    -00194, -00009, 008333,    -00189.27, -00012.59, 008358.19,    
 0001.171783, 000989,  0.099, _,    -00213, -00018, 008371,    -00193.48, -00013.50, 008356.72,    
 0001.181793, 000991,  0.099, _,    -00207, 000027, 008388,    -00197.52, -00005.77, 008367.06,    
 0001.191803, 000991,  0.099, _,    -00182, -00067, 008344,    -00193.83, -00016.56, 008361.03,    
 0001.201782, 000990,  0.099, _,    -00181, -00007, 008361,    -00190.94, -00018.31, 008362.19,    
 0001.211792, 000990,  0.099, _,    -00210, -00050, 008340,    -00194.17, -00021.56, 008357.48,    
 0001.221802, 000995,  0.100, _,    -00218, -00013, 008375,    -00200.58, -00024.22, 008360.42,    
 0001.231812, 000993,  0.099, _,    -00190, -00020, 008337,    -00198.48, -00020.41, 008356.67,    
 0001.241791, 000994,  0.099, _,    -00183, -00032, 008322,    -00195.23, -00026.06, 008347.86,    
 0001.251801, 000993,  0.099, _,    -00190, -00005, 008432,    -00194.16, -00020.06, 008364.53,    
 0001.261810, 000991,  0.099, _,    -00219, -00027, 008300,    -00199.20, -00021.92, 008355.42,    
 0001.271790, 000991,  0.099, _,    -00186, -00023, 008352,    -00197.61, -00021.70, 008349.05,    
