 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,      Gax1,      Gay1,      Gaz1   
 0000.849152, 001125,  0.113, _,    -00030, 000079, -00023,    -00006.09, 000016.05, -00004.67,    
 0001.049164, 001061,  0.106, _,    -00033, 000076, -00029,    -00012.80, 000031.48, -00010.56,    
 0001.059143, 001001,  0.100, _,    -00034, 000073, -00032,    -00017.36, 000040.14, -00015.27,    
 0001.069153, 001001,  0.100, _,    -00039, 000076, -00030,    -00022.70, 000049.64, -00019.09,    
 0001.079132, 000995,  0.100, _,    -00044, 000067, -00033,    -00027.58, 000053.84, -00022.22,    
 0001.089142, 000990,  0.099, _,    -00037, 000076, -00030,    -00030.50, 000059.78, -00024.61,    
 0001.099152, 000993,  0.099, _,    -00038, 000068, -00032,    -00032.25, 000062.47, -00026.31,    
 0001.109131, 000994,  0.099, _,    -00039, 000073, -00043,    -00034.42, 000065.42, -00030.39,    
 0001.119141, 000991,  0.099, _,    -00038, 000077, -00032,    -00035.58, 000069.09, -00031.48,    
 0001.129150, 000991,  0.099, _,    -00032, 000080, -00033,    -00035.56, 000072.52, -00032.03,    
 0001.139160, 000992,  0.099, _,    -00036, 000078, -00038,    -00035.75, 000074.69, -00033.86,    
 0001.149139, 000993,  0.099, _,    -00040, 000084, -00031,    -00037.27, 000077.33, -00033.70,    
 0001.159149, 000989,  0.099, _,    -00035, 000075, -00041,    -00036.91, 000077.31, -00035.19,    
 0001.169159, 000989,  0.099, _,    -00029, 000074, -00029,    -00035.25, 000076.19, -00034.38,    
 0001.179138, 000991,  0.099, _,    -00043, 000070, -00038,    -00036.56, 000075.23, -00034.59,    
 0001.189148, 000995,  0.100, _,    -00039, 000073, -00034,    -00037.55, 000074.33, -00035.14,    
 0001.199158, 000989,  0.099, _,    -00040, 000080, -00039,    -00037.67, 000075.84, -00035.47,    
 0001.209137, 000991,  0.099, _,    -00037, 000077, -00037,    -00037.84, 000076.11, -00036.34,    
 0001.219147, 000999,  0.100, _,    -00030, 000071, -00032,    -00035.95, 000075.17, -00035.14,    
 0001.229156, 000992,  0.099, _,    -00036, 000081, -00041,    -00035.91, 000076.17, -00036.41,    
 0001.239136, 000993,  0.099, _,    -00033, 000072, -00030,    -00035.34, 000075.72, -00035.25,    
 0001.249146, 000991,  0.099, _,    -00035, 000073, -00036,    -00035.11, 000074.61, -00035.11,    
 0001.259155, 000990,  0.099, _,    -00036, 000079, -00042,    -00035.41, 000075.72, -00036.75,    
 0001.269135, 000992,  0.099, _,    -00037, 000083, -00032,    -00035.66, 000077.06, -00035.89,    
 0001.279144, 000991,  0.099, _,    -00036, 000079, -00031,    -00035.83, 000077.83, -00034.66,    
 0001.289154, 000991,  0.099, _,    -00036, 000077, -00033,    -00035.84, 000077.53, -00034.33,    
 0001.299133, 000992,  0.099, _,    -00038, 000069, -00028,    -00036.27, 000075.97, -00032.98,    
 0001.309143, 000990,  0.099, _,    -00038, 000071, -00038,    -00036.59, 000074.59, -00033.75,    
 0001.319153, 000992,  0.099, _,    -00029, 000075, -00039,    -00035.09, 000074.78, -00035.14,    
 0001.329132, 000991,  0.099, _,    -00039, 000073, -00035,    -00035.52, 000074.25, -00034.95,    
 0001.339142, 000994,  0.099, _,    -00038, 000074, -00030,    -00036.52, 000074.25, -00034.09,    
 0001.349152, 000991,  0.099, _,    -00035, 000080, -00036,    -00035.98, 000075.36, -00034.16,    
 0001.359131, 000992,  0.099, _,    -00037, 000074, -00037,    -00036.34, 000075.34, -00035.02,    
 0001.369141, 001436,  0.144, _,    -00040, 000069, -00031,    -00037.03, 000073.83, -00034.09,    
 0001.379150, 000992,  0.099, _,    -00030, 000078, -00031,    -00035.83, 000074.53, -00033.30,    
 0001.389130, 000991,  0.099, _,    -00034, 000079, -00026,    -00035.02, 000075.55, -00031.77,    
 0001.399139, 000994,  0.099, _,    -00034, 000068, -00030,    -00035.05, 000074.00, -00031.23,    
 0001.409149, 000992,  0.099, _,    -00037, 000069, -00037,    -00035.17, 000072.66, -00032.48,    
 0001.419159, 000997,  0.100, _,    -00041, 000076, -00037,    -00036.64, 000073.41, -00033.53,    
 0001.429138, 000996,  0.100, _,    -00029, 000074, -00032,    -00035.05, 000073.69, -00033.25,    
 0001.439148, 000993,  0.099, _,    -00042, 000080, -00034,    -00036.22, 000074.89, -00033.23,    
 0001.449158, 001006,  0.101, _,    -00041, 000078, -00034,    -00037.70, 000075.78, -00033.50,    
 0001.459137, 001021,  0.102, _,    -00037, 000071, -00031,    -00037.31, 000074.73, -00032.94,    
 0001.469147, 000997,  0.100, _,    -00033, 000080, -00032,    -00036.59, 000075.70, -00032.67,    
