 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,    Max1, May1, Maz1,
 0000.874329, 001383,  0.028, _,    0101, 0150, -030,    0020.52, 0030.47, -006.09,    
 0001.074341, 001174,  0.023, _,    0104, 0157, -035,    0041.64, 0062.36, -013.20,    
 0001.124359, 001170,  0.023, _,    0103, 0159, -032,    0054.67, 0082.94, -017.36,    
 0001.174347, 001169,  0.023, _,    0105, 0159, -034,    0067.88, 0102.97, -021.53,    
 0001.224335, 001174,  0.023, _,    0115, 0155, -038,    0078.45, 0115.00, -025.34,    
 0001.274353, 001169,  0.023, _,    0104, 0155, -033,    0086.50, 0126.70, -027.75,    
 0001.324341, 001169,  0.023, _,    0109, 0159, -039,    0091.67, 0134.75, -030.27,    
 0001.374359, 001168,  0.023, _,    0101, 0155, -040,    0095.89, 0141.77, -033.12,    
 0001.424347, 001171,  0.023, _,    0098, 0161, -036,    0097.09, 0147.47, -034.14,    
 0001.474335, 001181,  0.024, _,    0106, 0160, -038,    0100.95, 0153.17, -035.58,    
 0001.524353, 001172,  0.023, _,    0107, 0154, -034,    0103.14, 0154.75, -035.69,    
 0001.574341, 001170,  0.023, _,    0106, 0160, -033,    0105.14, 0157.70, -035.44,    
 0001.624359, 001172,  0.023, _,    0103, 0149, -032,    0104.72, 0156.17, -034.81,    
 0001.674347, 001166,  0.023, _,    0107, 0149, -044,    0105.16, 0154.23, -036.55,    
 0001.724335, 001170,  0.023, _,    0101, 0160, -038,    0104.44, 0155.45, -037.34,    
 0001.774353, 001172,  0.023, _,    0103, 0154, -041,    0103.88, 0155.27, -037.83,    
 0001.824341, 001172,  0.023, _,    0106, 0153, -035,    0104.31, 0154.62, -037.64,    
 0001.874359, 001178,  0.024, _,    0108, 0153, -030,    0105.02, 0154.34, -035.70,    
 0001.924347, 001169,  0.023, _,    0108, 0155, -033,    0105.81, 0154.31, -035.19,    
 0001.974335, 001170,  0.023, _,    0099, 0153, -038,    0104.42, 0154.14, -035.53,    
 0002.024353, 001175,  0.024, _,    0106, 0153, -045,    0104.58, 0153.69, -037.67,    
 0002.074341, 001173,  0.023, _,    0108, 0157, -030,    0105.52, 0154.31, -036.31,    
 0002.124359, 001170,  0.023, _,    0111, 0153, -035,    0106.55, 0154.16, -035.64,    
 0002.174347, 001171,  0.023, _,    0104, 0157, -038,    0106.28, 0154.59, -036.45,    
 0002.224335, 001171,  0.023, _,    0108, 0148, -042,    0106.36, 0153.47, -037.47,    
 0002.274353, 001177,  0.024, _,    0105, 0156, -034,    0106.44, 0153.62, -037.02,    
 0002.324341, 001170,  0.023, _,    0100, 0154, -039,    0104.88, 0154.08, -036.95,    
 0002.374359, 001170,  0.023, _,    0106, 0155, -033,    0105.11, 0153.92, -036.58,    
 0002.424347, 001172,  0.023, _,    0104, 0160, -030,    0104.89, 0155.47, -034.80,    
 0002.474335, 001171,  0.023, _,    0109, 0156, -029,    0105.66, 0155.59, -033.80,    
 0002.524353, 001171,  0.023, _,    0098, 0152, -039,    0104.30, 0154.92, -034.47,    
 0002.574341, 001170,  0.023, _,    0105, 0159, -036,    0104.00, 0155.59, -035.25,    
 0002.624359, 001169,  0.023, _,    0105, 0154, -041,    0104.59, 0155.59, -036.00,    
 0002.674347, 001185,  0.024, _,    0099, 0157, -042,    0103.12, 0155.56, -037.73,    
 0002.724335, 001172,  0.023, _,    0105, 0154, -039,    0103.42, 0155.58, -037.88,    
 0002.774353, 001172,  0.023, _,    0105, 0154, -039,    0103.77, 0154.95, -038.28,    
 0002.824341, 001170,  0.023, _,    0104, 0155, -033,    0103.83, 0155.22, -037.06,    
 0002.874359, 001171,  0.023, _,    0106, 0153, -035,    0104.23, 0154.64, -036.53,    
 0002.924347, 001171,  0.023, _,    0114, 0156, -036,    0106.34, 0154.91, -036.47,    
 0002.974335, 001169,  0.023, _,    0105, 0159, -034,    0106.38, 0155.78, -035.97,    
 0003.024353, 001172,  0.023, _,    0111, 0153, -038,    0107.06, 0155.31, -036.39,    
 0003.074341, 001176,  0.024, _,    0105, 0152, -032,    0107.05, 0154.41, -035.70,    
 0003.124359, 001174,  0.023, _,    0107, 0154, -034,    0106.70, 0154.39, -035.06,    
 0003.174347, 001170,  0.023, _,    0106, 0153, -035,    0106.97, 0154.02, -035.16,    
 0003.224335, 001171,  0.023, _,    0103, 0156, -036,    0105.86, 0154.39, -035.14,    
 0003.274353, 001168,  0.023, _,    0105, 0159, -041,    0105.86, 0155.39, -036.36,    
 0003.324341, 001177,  0.024, _,    0104, 0155, -030,    0105.41, 0155.42, -035.17,    
 0003.374359, 001174,  0.023, _,    0105, 0156, -034,    0105.34, 0155.48, -034.55,    
 0003.424347, 001171,  0.023, _,    0109, 0156, -034,    0106.05, 0155.69, -034.69,    
 0003.474335, 001172,  0.023, _,    0106, 0153, -035,    0106.20, 0155.09, -034.55,    
 0003.524353, 001177,  0.024, _,    0105, 0160, -042,    0105.73, 0156.03, -036.20,    
 0003.574341, 001170,  0.023, _,    0108, 0155, -035,    0106.25, 0156.03, -036.12,    
 0003.624359, 001170,  0.023, _,    0109, 0159, -036,    0106.81, 0156.44, -035.94,    
 0003.674347, 001170,  0.023, _,    0105, 0154, -032,    0106.52, 0156.31, -035.31,    
 0003.724335, 001170,  0.023, _,    0105, 0163, -036,    0106.09, 0157.36, -035.22,    
 0003.774353, 001171,  0.023, _,    0105, 0159, -032,    0105.91, 0158.27, -034.77,    
 0003.824341, 001170,  0.023, _,    0107, 0161, -036,    0106.11, 0158.48, -034.70,    
 0003.874359, 001168,  0.023, _,    0104, 0153, -030,    0105.80, 0157.77, -033.98,    
 0003.924347, 001178,  0.024, _,    0100, 0154, -039,    0104.45, 0156.50, -034.62,    
