 time,    start,     dur,        perc,  X,    R1,     R2,     R3,     R4,     R5,     R6,        M1,     M2,     M3,     M4,        rMx1, rMy1, rMz1,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      rQo1,         rQx1,         rQy1,         rQz1,            aMx1,    aMy1,    aMz1,       aAx1,      aAy1,      aAz1,        aGx1,      aGy1,      aGz1,        nMx1,    nMy1,    nMz1,       nAx1,    nAy1,    nAz1,       nGx1,    nGy1,    nGz1,       bx1,       by1,       bz1,          fx1,     fz1,        Qo1,     Qx1,     Qy1,     Qz1,        dQo1,    dQx1,    dQy1,    dQz1,       Ex1,     Ey1,     Ez1,        dEx1,    dEy1,    dEz1,     
 037.140, 324560877, 007672333,  0.767, _,    0980.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -031, 0091, -009,    -00544, 000107, 008244,    000001, 000000, 000006,    001062128917, 000012439191, 000034538516, -00153153601,    -029.52, 0085.05, -010.06,    -00544.86, 000107.91, 008226.09,    -00000.42, -00001.06, 000001.83,     0.3006,  0.1673,  0.9201,     0.0131, -0.0658,  1.0055,     0.0003,  0.0001, -0.0005,     0.000726,  0.002351, -0.016976,     0.3749,  0.9271,     0.9462, -0.0324,  0.0058, -0.3218,     0.0013, -0.0385,  0.0636, -0.0035,     0.0041,  0.0067, -0.6552,    -0.0004, -0.0022,  0.0165,    
 037.150, 334706335, 007497625,  0.750, _,    0981.0, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -029, 0091, -009,    -00558, 000087, 008174,    -00001, -00009, 000000,    001062131494, 000012434608, 000034525422, -00153139054,    -029.47, 0086.55, -009.83,    -00545.92, 000104.05, 008218.06,    -00000.56, -00002.55, 000001.56,     0.3004,  0.1590,  0.9214,     0.0127, -0.0660,  1.0046,     0.0007,  0.0001, -0.0004,     0.000782,  0.002369, -0.016990,     0.3710,  0.9286,     0.9463, -0.0331,  0.0059, -0.3215,    -0.0033, -0.0727,  0.0007,  0.0288,     0.0030,  0.0077, -0.6553,    -0.0001, -0.0022,  0.0166,    
 037.160, 344577460, 007405542,  0.741, _,    0981.0, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -029, 0088, -009,    -00542, 000102, 008244,    -00001, -00003, 000007,    001062134300, 000012431093, 000034518738, -00153121384,    -029.28, 0086.78, -009.61,    -00547.12, 000102.53, 008219.00,    -00000.67, -00003.08, 000002.59,     0.2993,  0.1576,  0.9227,     0.0125, -0.0661,  1.0047,     0.0008,  0.0002, -0.0007,     0.000820,  0.002412, -0.017006,     0.3696,  0.9292,     0.9464, -0.0337,  0.0055, -0.3213,    -0.0040, -0.0620, -0.0363,  0.0323,     0.0016,  0.0072, -0.6548,     0.0000, -0.0022,  0.0163,    
 037.170, 354578002, 007426666,  0.743, _,    0980.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -029, 0081, -011,    -00536, 000124, 008207,    000002, -00001, 000001,    001062135827, 000012437052, 000034521370, -00153109713,    -029.23, 0085.75, -009.84,    -00543.39, 000108.12, 008220.81,    -00000.16, -00002.39, 000002.64,     0.2991,  0.1634,  0.9213,     0.0132, -0.0657,  1.0049,     0.0006,  0.0000, -0.0007,     0.000765,  0.002435, -0.016995,     0.3728,  0.9279,     0.9464, -0.0332,  0.0050, -0.3213,     0.0057,  0.0546, -0.0504, -0.0070,     0.0006,  0.0062, -0.6541,    -0.0001, -0.0024,  0.0163,    
 037.180, 364583168, 007435584,  0.744, _,    0980.8, 2020.8, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -034, 0091, -006,    -00539, 000108, 008213,    -00002, 000003, 000001,    001062134671, 000012435555, 000034536418, -00153114455,    -030.12, 0086.52, -009.12,    -00543.33, 000108.36, 008215.22,    -00000.44, -00001.55, 000002.03,     0.3041,  0.1591,  0.9254,     0.0132, -0.0656,  1.0042,     0.0004,  0.0001, -0.0005,     0.000810,  0.002469, -0.017015,     0.3713,  0.9285,     0.9465, -0.0339,  0.0048, -0.3210,    -0.0047, -0.0662, -0.0220,  0.0378,     0.0020,  0.0056, -0.6542,    -0.0004, -0.0024,  0.0165,    
 037.190, 374582710, 007403625,  0.740, _,    0980.8, 2020.8, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -027, 0086, -011,    -00574, 000126, 008236,    000002, 000003, 000001,    001062135047, 000012450861, 000034559678, -00153105355,    -029.75, 0086.97, -009.23,    -00548.95, 000111.75, 008221.88,    -00000.11, -00000.30, 000002.06,     0.3020,  0.1566,  0.9248,     0.0136, -0.0663,  1.0050,     0.0001,  0.0000, -0.0005,     0.000863,  0.002477, -0.017038,     0.3687,  0.9296,     0.9466, -0.0345,  0.0049, -0.3206,    -0.0074, -0.0664,  0.0118,  0.0417,     0.0008,  0.0047, -0.6535,    -0.0008, -0.0024,  0.0165,    
 037.200, 384588627, 007446583,  0.745, _,    0981.0, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -033, 0087, -017,    -00576, 000101, 008222,    -00001, -00002, -00001,    001062133377, 000012451294, 000034564553, -00153115808,    -030.05, 0086.62, -011.02,    -00556.22, 000110.52, 008220.73,    -00000.06, -00000.73, 000001.22,     0.3036,  0.1585,  0.9147,     0.0135, -0.0672,  1.0049,     0.0002,  0.0000, -0.0003,     0.000831,  0.002528, -0.017039,     0.3748,  0.9271,     0.9466, -0.0344,  0.0041, -0.3205,     0.0037,  0.0172, -0.0741,  0.0122,    -0.0005,  0.0046, -0.6527,    -0.0006, -0.0025,  0.0167,    
 037.210, 394592293, 007396334,  0.740, _,    0981.0, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -033, 0082, -012,    -00565, 000108, 008188,    000000, 000003, 000002,    001062133059, 000012453932, 000034578231, -00153114712,    -031.03, 0085.98, -011.33,    -00557.72, 000109.11, 008214.88,    -00000.27, 000000.06, 000001.44,     0.3092,  0.1621,  0.9129,     0.0133, -0.0674,  1.0042,    -0.0000,  0.0001, -0.0004,     0.000804,  0.002582, -0.017045,     0.3798,  0.9251,     0.9467, -0.0343,  0.0034, -0.3203,     0.0037,  0.0091, -0.0750,  0.0184,     0.0003,  0.0033, -0.6525,    -0.0008, -0.0025,  0.0167,    
 037.220, 404576293, 007397292,  0.740, _,    0981.0, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -031, 0085, -010,    -00538, 000105, 008209,    -00002, -00003, -00006,    001062129786, 000012440185, 000034575022, -00153139257,    -030.89, 0085.41, -011.02,    -00554.56, 000108.86, 008211.30,    -00000.36, -00000.36, -00000.08,     0.3084,  0.1653,  0.9147,     0.0133, -0.0670,  1.0038,     0.0001,  0.0001,  0.0000,     0.000789,  0.002524, -0.017041,     0.3791,  0.9253,     0.9467, -0.0339,  0.0040, -0.3203,     0.0037,  0.0402,  0.0623, -0.0001,     0.0009,  0.0019, -0.6520,    -0.0007, -0.0024,  0.0171,    
 037.230, 414577168, 007474459,  0.747, _,    0980.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -027, 0088, -009,    -00577, 000100, 008238,    -00001, -00003, -00001,    001062127339, 000012435281, 000034566532, -00153158540,    -030.27, 0086.31, -010.59,    -00557.81, 000106.38, 008218.00,    -00000.72, -00001.11, -00000.56,     0.3049,  0.1603,  0.9171,     0.0130, -0.0674,  1.0046,     0.0003,  0.0002,  0.0001,     0.000832,  0.002482, -0.017050,     0.3740,  0.9274,     0.9467, -0.0342,  0.0047, -0.3202,    -0.0014, -0.0336,  0.0663,  0.0188,     0.0013,  0.0034, -0.6521,    -0.0005, -0.0023,  0.0172,    
 037.240, 424577793, 007392500,  0.739, _,    0980.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -030, 0086, -004,    -00550, 000092, 008264,    000001, -00007, -00004,    001062124981, 000012435035, 000034552960, -00153177976,    -029.95, 0086.06, -009.23,    -00558.58, 000103.66, 008227.02,    -00000.23, -00002.30, -00001.08,     0.3031,  0.1617,  0.9248,     0.0126, -0.0675,  1.0057,     0.0006,  0.0001,  0.0003,     0.000814,  0.002424, -0.017042,     0.3724,  0.9281,     0.9467, -0.0338,  0.0053, -0.3202,     0.0027,  0.0432,  0.0596, -0.0045,     0.0002,  0.0044, -0.6517,    -0.0002, -0.0024,  0.0173,    
 037.250, 434579210, 007382708,  0.738, _,    0980.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -028, 0089, -005,    -00538, 000100, 008226,    -00001, -00003, 000000,    001062123740, 000012439709, 000034540179, -00153189079,    -029.80, 0086.80, -008.17,    -00552.59, 000102.02, 008229.11,    -00000.42, -00002.69, -00001.17,     0.3022,  0.1576,  0.9308,     0.0124, -0.0668,  1.0059,     0.0007,  0.0001,  0.0003,     0.000866,  0.002399, -0.017058,     0.3684,  0.9297,     0.9468, -0.0343,  0.0058, -0.3199,    -0.0056, -0.0506,  0.0507,  0.0300,     0.0007,  0.0058, -0.6519,    -0.0001, -0.0023,  0.0174,    
 037.260, 444585043, 007438459,  0.744, _,    0980.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -031, 0088, -012,    -00566, 000136, 008235,    -00001, 000001, -00003,    001062123271, 000012430389, 000034549141, -00153191065,    -029.80, 0087.03, -008.92,    -00555.98, 000109.42, 008228.53,    -00000.55, -00001.73, -00001.38,     0.3022,  0.1562,  0.9266,     0.0133, -0.0672,  1.0058,     0.0005,  0.0001,  0.0004,     0.000852,  0.002457, -0.017064,     0.3702,  0.9289,     0.9469, -0.0344,  0.0050, -0.3198,     0.0004, -0.0074, -0.0750,  0.0203,    -0.0006,  0.0065, -0.6513,    -0.0004, -0.0023,  0.0174,    
