 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,       
 0000.515625, 001112,  0.111, _,    -00037, 000082, -00034,    
 0000.716797, 001033,  0.103, _,    -00031, 000078, -00038,    
 0000.726562, 000994,  0.099, _,    -00035, 000076, -00036,    
 0000.736328, 000989,  0.099, _,    -00029, 000072, -00038,    
 0000.746094, 000985,  0.099, _,    -00039, 000081, -00032,    
 0000.755859, 000984,  0.098, _,    -00036, 000073, -00036,    
 0000.765625, 000982,  0.098, _,    -00038, 000076, -00029,    
 0000.775391, 000979,  0.098, _,    -00040, 000075, -00027,    
 0000.785156, 000982,  0.098, _,    -00037, 000078, -00037,    
 0000.796875, 000981,  0.098, _,    -00041, 000074, -00036,    
 0000.806641, 000982,  0.098, _,    -00040, 000079, -00036,    
 0000.816406, 000982,  0.098, _,    -00037, 000071, -00031,    
 0000.826172, 000981,  0.098, _,    -00039, 000077, -00041,    
 0000.835938, 000983,  0.098, _,    -00035, 000076, -00041,    
 0000.845703, 000983,  0.098, _,    -00036, 000082, -00030,    
 0000.855469, 000982,  0.098, _,    -00033, 000072, -00038,    
 0000.865234, 000982,  0.098, _,    -00039, 000066, -00031,    
 0000.875000, 000981,  0.098, _,    -00038, 000073, -00042,    
 0000.886719, 000981,  0.098, _,    -00032, 000078, -00032,    
 0000.896484, 000982,  0.098, _,    -00029, 000084, -00034,    
 0000.906250, 000980,  0.098, _,    -00031, 000080, -00032,    
 0000.916016, 000981,  0.098, _,    -00031, 000073, -00030,    
 0000.925781, 000982,  0.098, _,    -00034, 000079, -00026,    
 0000.935547, 000981,  0.098, _,    -00038, 000083, -00035,    
 0000.945312, 000982,  0.098, _,    -00035, 000069, -00023,    
 0000.955078, 000980,  0.098, _,    -00030, 000072, -00031,    
 0000.966797, 000981,  0.098, _,    -00029, 000070, -00029,    
 0000.976562, 000980,  0.098, _,    -00037, 000074, -00036,    
 0000.986328, 000981,  0.098, _,    -00037, 000069, -00029,    
 0000.996094, 000981,  0.098, _,    -00035, 000076, -00036,    
 0001.005859, 000981,  0.098, _,    -00034, 000076, -00027,    
 0001.015625, 000980,  0.098, _,    -00040, 000075, -00035,    
 0001.025391, 000982,  0.098, _,    -00037, 000083, -00036,    
 0001.035156, 000980,  0.098, _,    -00033, 000070, -00042,    
 0001.046875, 000983,  0.098, _,    -00038, 000082, -00035,    
 0001.056641, 000983,  0.098, _,    -00035, 000068, -00036,    
 0001.066406, 000981,  0.098, _,    -00039, 000072, -00036,    
 0001.076172, 000981,  0.098, _,    -00037, 000077, -00027,    
 0001.085938, 000980,  0.098, _,    -00037, 000085, -00038,    
 0001.095703, 000983,  0.098, _,    -00035, 000074, -00033,    
 0001.105469, 000982,  0.098, _,    -00034, 000085, -00040,    
 0001.115234, 000982,  0.098, _,    -00033, 000077, -00036,    
 0001.125000, 000980,  0.098, _,    -00033, 000073, -00042,    
 0001.136719, 000983,  0.098, _,    -00034, 000078, -00029,    
 0001.146484, 000979,  0.098, _,    -00034, 000073, -00035,    
 0001.156250, 000983,  0.098, _,    -00031, 000079, -00042,    
 0001.166016, 000981,  0.098, _,    -00042, 000072, -00033,    
 0001.175781, 000982,  0.098, _,    -00036, 000080, -00026,    
 0001.185547, 000979,  0.098, _,    -00029, 000078, -00041,    
 0001.195312, 000981,  0.098, _,    -00036, 000077, -00034,    
 0001.205078, 000982,  0.098, _,    -00034, 000075, -00031,    
 0001.216797, 000982,  0.098, _,    -00034, 000081, -00034,    
 0001.226562, 000979,  0.098, _,    -00034, 000083, -00039,    
 0001.236328, 000981,  0.098, _,    -00030, 000085, -00039,    
 0001.246094, 000981,  0.098, _,    -00031, 000074, -00029,    
 0001.255859, 000982,  0.098, _,    -00036, 000074, -00030,    
 0001.265625, 000983,  0.098, _,    -00033, 000072, -00033,    
 0001.275391, 000981,  0.098, _,    -00028, 000072, -00040,    
 0001.285156, 000980,  0.098, _,    -00035, 000084, -00039,    
 0001.296875, 000982,  0.098, _,    -00033, 000072, -00033,    
 0001.306641, 000980,  0.098, _,    -00034, 000069, -00036,    
 0001.316406, 000983,  0.098, _,    -00030, 000071, -00035,    
 0001.326172, 000980,  0.098, _,    -00040, 000080, -00036,    
 0001.335938, 000981,  0.098, _,    -00040, 000080, -00043,    
 0001.345703, 000988,  0.099, _,    -00032, 000080, -00036,    
 0001.355469, 001011,  0.101, _,    -00032, 000076, -00030,    
 0001.365234, 000986,  0.099, _,    -00044, 000073, -00033,    
 0001.375000, 000981,  0.098, _,    -00034, 000075, -00035,    
 0001.386719, 000980,  0.098, _,    -00037, 000084, -00032,    
 0001.396484, 000983,  0.098, _,    -00038, 000082, -00034,    
 0001.406250, 000983,  0.098, _,    -00035, 000076, -00034,    
 0001.416016, 000981,  0.098, _,    -00038, 000072, -00026,    
 0001.425781, 000981,  0.098, _,    -00037, 000073, -00027,    
 0001.435547, 000980,  0.098, _,    -00038, 000076, -00032,    
 0001.445312, 000981,  0.098, _,    -00039, 000076, -00037,    
 0001.455078, 000982,  0.098, _,    -00035, 000071, -00031,    
 0001.466797, 000982,  0.098, _,    -00036, 000076, -00032,    
 0001.476562, 000981,  0.098, _,    -00040, 000075, -00031,    
 0001.486328, 000981,  0.098, _,    -00037, 000068, -00035,    
 0001.496094, 000982,  0.098, _,    -00034, 000072, -00034,    
 0001.505859, 000980,  0.098, _,    -00033, 000078, -00040,    
 0001.515625, 000979,  0.098, _,    -00036, 000068, -00042,    
 0001.525391, 000981,  0.098, _,    -00035, 000082, -00037,    
 0001.535156, 000980,  0.098, _,    -00043, 000074, -00032,    
 0001.546875, 000982,  0.098, _,    -00040, 000070, -00027,    
 0001.556641, 000981,  0.098, _,    -00032, 000072, -00037,    
 0001.566406, 000980,  0.098, _,    -00031, 000075, -00033,    
 0001.576172, 000980,  0.098, _,    -00026, 000070, -00030,    
 0001.585938, 000983,  0.098, _,    -00033, 000082, -00027,    
 0001.595703, 000981,  0.098, _,    -00032, 000077, -00036,    
 0001.605469, 000982,  0.098, _,    -00031, 000071, -00032,    
 0001.615234, 000982,  0.098, _,    -00033, 000080, -00038,    
 0001.625000, 000979,  0.098, _,    -00039, 000075, -00034,    
 0001.636719, 000981,  0.098, _,    -00036, 000076, -00034,    
 0001.646484, 000979,  0.098, _,    -00033, 000075, -00035,    
 0001.656250, 000982,  0.098, _,    -00033, 000080, -00024,    
 0001.666016, 000981,  0.098, _,    -00036, 000071, -00037,    
 0001.675781, 000982,  0.098, _,    -00026, 000081, -00031,    
 0001.685547, 000981,  0.098, _,    -00034, 000079, -00036,    
 0001.695312, 000980,  0.098, _,    -00034, 000069, -00037,    
 0001.705078, 000982,  0.098, _,    -00034, 000073, -00038,    
 0001.716797, 000980,  0.098, _,    -00031, 000075, -00032,    
 0001.726562, 000983,  0.098, _,    -00030, 000072, -00032,    
 0001.736328, 000981,  0.098, _,    -00037, 000079, -00027,    
 0001.746094, 000980,  0.098, _,    -00047, 000076, -00034,    
 0001.755859, 000981,  0.098, _,    -00041, 000075, -00036,    
 0001.765625, 000982,  0.098, _,    -00031, 000074, -00028,    
 0001.775391, 000980,  0.098, _,    -00028, 000074, -00028,    
 0001.785156, 000981,  0.098, _,    -00035, 000081, -00035,    
 0001.796875, 000981,  0.098, _,    -00033, 000073, -00032,    
 0001.806641, 000983,  0.098, _,    -00037, 000074, -00027,    
 0001.816406, 000982,  0.098, _,    -00039, 000069, -00035,    
 0001.826172, 000980,  0.098, _,    -00039, 000073, -00037,    
 0001.835938, 000980,  0.098, _,    -00034, 000068, -00030,    
 0001.845703, 000982,  0.098, _,    -00034, 000070, -00032,    
 0001.855469, 000980,  0.098, _,    -00031, 000075, -00029,    
 0001.865234, 000980,  0.098, _,    -00033, 000063, -00027,    
 0001.875000, 000980,  0.098, _,    -00033, 000068, -00045,    
 0001.886719, 000981,  0.098, _,    -00027, 000070, -00036,    
 0001.896484, 000979,  0.098, _,    -00033, 000073, -00032,    
 0001.906250, 000980,  0.098, _,    -00039, 000074, -00033,    
 0001.916016, 000982,  0.098, _,    -00042, 000070, -00032,    
 0001.925781, 000982,  0.098, _,    -00030, 000080, -00034,    
 0001.935547, 000981,  0.098, _,    -00030, 000079, -00030,    
 0001.945312, 000982,  0.098, _,    -00032, 000084, -00035,    
 0001.955078, 000981,  0.098, _,    -00036, 000079, -00029,    
 0001.966797, 000980,  0.098, _,    -00040, 000076, -00028,    
