 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,   
 0001.137390, 001376,  0.028, _,    0098, 0156, -036,    0019.91, 0031.69, -007.31,    
 0001.337402, 001179,  0.024, _,    0103, 0154, -034,    0040.83, 0062.97, -014.22,    
 0001.387390, 001174,  0.023, _,    0103, 0156, -032,    0054.09, 0082.47, -017.91,    
 0001.437378, 001172,  0.023, _,    0107, 0159, -032,    0067.78, 0102.73, -021.75,    
 0001.487366, 001170,  0.023, _,    0103, 0163, -039,    0076.06, 0116.34, -025.48,    
 0001.537415, 001184,  0.024, _,    0098, 0156, -039,    0082.78, 0128.39, -029.31,    
 0001.587402, 001171,  0.023, _,    0103, 0161, -036,    0087.77, 0136.17, -030.95,    
 0001.637390, 001177,  0.024, _,    0105, 0159, -036,    0093.20, 0144.02, -032.66,    
 0001.687378, 001173,  0.023, _,    0105, 0154, -029,    0096.91, 0147.77, -032.34,    
 0001.737366, 001180,  0.024, _,    0109, 0159, -036,    0101.30, 0152.95, -033.48,    
 0001.787415, 001169,  0.023, _,    0108, 0155, -028,    0103.84, 0154.89, -032.94,    
 0001.837402, 001175,  0.024, _,    0105, 0154, -032,    0105.39, 0156.53, -032.69,    
 0001.887390, 001171,  0.023, _,    0103, 0154, -044,    0104.98, 0156.03, -035.28,    
 0001.937378, 001172,  0.023, _,    0100, 0154, -032,    0103.89, 0155.53, -034.83,    
 0001.987366, 001169,  0.023, _,    0108, 0153, -038,    0104.61, 0155.00, -035.22,    
 0002.037415, 001173,  0.023, _,    0100, 0159, -044,    0103.94, 0155.67, -037.36,    
 0002.087402, 001172,  0.023, _,    0109, 0156, -034,    0104.58, 0155.88, -036.73,    
 0002.137390, 001178,  0.024, _,    0104, 0153, -035,    0105.05, 0155.09, -036.17,    
 0002.187378, 001172,  0.023, _,    0104, 0153, -038,    0104.44, 0154.66, -036.62,    
 0002.237366, 001170,  0.023, _,    0104, 0162, -033,    0104.64, 0155.97, -035.91,    
 0002.287415, 001174,  0.023, _,    0107, 0161, -036,    0104.83, 0157.39, -035.89,    
 0002.337402, 001169,  0.023, _,    0101, 0155, -033,    0104.31, 0156.78, -035.44,    
 0002.387390, 001173,  0.023, _,    0100, 0156, -034,    0103.00, 0156.62, -034.97,    
 0002.437378, 001172,  0.023, _,    0108, 0157, -038,    0104.16, 0156.73, -035.78,    
 0002.487366, 001169,  0.023, _,    0104, 0153, -038,    0104.20, 0156.06, -036.16,    
 0002.537415, 001178,  0.024, _,    0105, 0152, -041,    0104.36, 0155.06, -037.20,    
 0002.587402, 001171,  0.023, _,    0104, 0153, -035,    0104.31, 0154.62, -036.91,    
 0002.637390, 001174,  0.023, _,    0105, 0154, -034,    0104.41, 0154.42, -036.05,    
 0002.687378, 001172,  0.023, _,    0099, 0157, -035,    0103.39, 0154.97, -035.89,    
 0002.737366, 001172,  0.023, _,    0108, 0155, -033,    0104.00, 0155.05, -035.25,    
 0002.787415, 001170,  0.023, _,    0104, 0155, -033,    0104.41, 0154.97, -034.70,    
 0002.837402, 001173,  0.023, _,    0100, 0154, -036,    0103.19, 0154.77, -034.94,    
 0002.887390, 001170,  0.023, _,    0107, 0159, -036,    0104.05, 0155.47, -035.25,    
 0002.937378, 001182,  0.024, _,    0105, 0159, -039,    0104.31, 0156.41, -036.00,    
 0002.987366, 001170,  0.023, _,    0098, 0156, -036,    0103.08, 0156.28, -036.19,    
 0003.037415, 001173,  0.023, _,    0101, 0155, -035,    0102.36, 0156.05, -035.77,    
 0003.087402, 001170,  0.023, _,    0107, 0154, -034,    0103.38, 0155.61, -035.45,    
 0003.137390, 001170,  0.023, _,    0108, 0157, -038,    0104.41, 0155.92, -035.80,    
 0003.187378, 001169,  0.023, _,    0106, 0153, -040,    0104.84, 0155.42, -036.84,    
 0003.237366, 001171,  0.023, _,    0104, 0153, -040,    0104.62, 0154.77, -037.53,    
 0003.287415, 001172,  0.023, _,    0106, 0153, -030,    0104.95, 0154.44, -036.16,    
 0003.337402, 001177,  0.024, _,    0106, 0162, -040,    0105.25, 0155.88, -036.59,    
 0003.387390, 001176,  0.024, _,    0106, 0160, -035,    0105.36, 0157.09, -036.78,    
 0003.437378, 001174,  0.023, _,    0106, 0153, -038,    0105.58, 0156.12, -036.59,    
 0003.487366, 001173,  0.023, _,    0108, 0153, -035,    0106.08, 0155.42, -036.66,    
 0003.537415, 001171,  0.023, _,    0098, 0154, -032,    0104.58, 0155.02, -035.31,    
 0003.587402, 001174,  0.023, _,    0105, 0154, -036,    0104.33, 0154.83, -035.59,    
 0003.637390, 001172,  0.023, _,    0103, 0156, -034,    0104.42, 0154.98, -035.20,    
 0003.687378, 001169,  0.023, _,    0103, 0156, -035,    0103.78, 0155.28, -035.14,    
 0003.737366, 001169,  0.023, _,    0103, 0156, -036,    0103.78, 0155.41, -035.27,    
 0003.787415, 001173,  0.023, _,    0109, 0159, -032,    0104.61, 0156.23, -034.61,    
 0003.837402, 001174,  0.023, _,    0104, 0150, -035,    0104.86, 0155.08, -034.47,    
 0003.887390, 001170,  0.023, _,    0112, 0154, -034,    0105.98, 0154.53, -034.55,    
 0003.937378, 001169,  0.023, _,    0105, 0154, -034,    0106.30, 0154.58, -034.25,    
 0003.987366, 001171,  0.023, _,    0105, 0156, -036,    0105.56, 0154.61, -034.66,    
 0004.037415, 001173,  0.023, _,    0104, 0160, -040,    0105.59, 0155.94, -035.73,    
 0004.087402, 001170,  0.023, _,    0106, 0150, -035,    0105.33, 0154.80, -035.78,    
 0004.137390, 001170,  0.023, _,    0099, 0155, -038,    0104.39, 0154.59, -036.09,    
 0004.187378, 001177,  0.024, _,    0104, 0148, -035,    0103.86, 0153.48, -036.11,    
 0004.237366, 001173,  0.023, _,    0107, 0154, -039,    0104.86, 0153.12, -036.48,    
 0004.287415, 001169,  0.023, _,    0106, 0148, -038,    0104.95, 0152.39, -037.12,    
 0004.337402, 001168,  0.023, _,    0107, 0152, -036,    0105.56, 0151.78, -036.72,    
 0004.387390, 001172,  0.023, _,    0104, 0153, -035,    0105.12, 0152.34, -036.53,    
 0004.437378, 001177,  0.024, _,    0107, 0156, -034,    0105.50, 0152.84, -035.91,    
 0004.487366, 001170,  0.023, _,    0106, 0153, -040,    0105.64, 0153.22, -036.78,    
 0004.537415, 001169,  0.023, _,    0108, 0157, -038,    0106.05, 0153.66, -037.19,    
 0004.587402, 001179,  0.024, _,    0107, 0154, -039,    0106.39, 0154.09, -037.50,    
 0004.637390, 001173,  0.023, _,    0106, 0153, -033,    0106.28, 0153.52, -036.69,    
 0004.687378, 001171,  0.023, _,    0100, 0154, -032,    0105.08, 0153.84, -035.48,    
 0004.737366, 001169,  0.023, _,    0106, 0153, -035,    0105.03, 0153.53, -035.41,    
 0004.787415, 001169,  0.023, _,    0109, 0154, -032,    0106.12, 0153.77, -034.64,    
 0004.837402, 001173,  0.023, _,    0101, 0155, -040,    0105.00, 0154.00, -035.59,    
 0004.887390, 001172,  0.023, _,    0100, 0154, -032,    0103.83, 0154.12, -035.11,    
 0004.937378, 001167,  0.023, _,    0107, 0154, -039,    0104.36, 0154.08, -035.55,    
 0004.987366, 001188,  0.024, _,    0103, 0159, -034,    0104.28, 0155.12, -035.67,    
 0005.037415, 001175,  0.024, _,    0105, 0154, -041,    0104.19, 0155.05, -036.34,    
 0005.087402, 001169,  0.023, _,    0106, 0155, -033,    0104.69, 0154.88, -036.16,    
 0005.137390, 001171,  0.023, _,    0111, 0148, -040,    0105.86, 0153.61, -036.34,    
 0005.187378, 001169,  0.023, _,    0108, 0155, -033,    0106.62, 0153.50, -036.27,    
 0005.237366, 001173,  0.023, _,    0098, 0154, -034,    0104.70, 0153.98, -035.22,    
 0005.287415, 001169,  0.023, _,    0105, 0156, -041,    0104.58, 0154.11, -036.86,    
 0005.337402, 001168,  0.023, _,    0104, 0150, -028,    0104.66, 0153.58, -034.95,    
 0005.387390, 001178,  0.024, _,    0106, 0155, -035,    0104.73, 0153.47, -034.75,    
 0005.437378, 001175,  0.024, _,    0104, 0155, -035,    0104.78, 0154.16, -034.95,    
 0005.487366, 001173,  0.023, _,    0105, 0159, -036,    0104.70, 0154.88, -035.03,    
 0005.537415, 001172,  0.023, _,    0105, 0161, -036,    0104.92, 0156.50, -035.36,    
 0005.587402, 001168,  0.023, _,    0108, 0155, -038,    0105.45, 0156.09, -035.78,    
 0005.637390, 001174,  0.023, _,    0108, 0157, -030,    0106.16, 0156.33, -034.75,    
 0005.687378, 001303,  0.026, _,    0101, 0148, -033,    0105.02, 0154.70, -034.03,    
