 time,    start,     dur,        perc,  X,    R1,     R2,     R3,     R4,     R5,     R6,        M1,     M2,     M3,     M4,        rMx1, rMy1, rMz1,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      rQo1,         rQx1,         rQy1,         rQz1,            aMx1,    aMy1,    aMz1,       aAx1,      aAy1,      aAz1,         aGx1,      aGy1,      aGz1,          nMx1,    nMy1,    nMz1,       nAx1,    nAy1,    nAz1,       nGx1,    nGy1,    nGz1,       bx1,       by1,       bz1,          fx1,     fz1,        Qo1,     Qx1,     Qy1,     Qz1,        dQo1,    dQx1,    dQy1,    dQz1,       Ex1,     Ey1,     Ez1,        dEx1,    dEy1,    dEz1,     
 016.300, 500639387, 007661709,  0.766, _,    0981.8, 2018.8, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -030, 0089, -012,    -00555, 000076, 008248,    -00004, -00007, 000005,    001059447902, 000002905334, 000081089501, -00154621149,    -030.45, 0084.14, -010.59,    -00551.62, 000101.80, 008238.86,    -00002.62, -00001.92, -00000.33,     0.3059,  0.1724,  0.9171,     0.0124, -0.0667,  1.0071,     0.0005,  0.0007,  0.0001,    -0.006068,  0.002588, -0.000581,     0.3827,  0.9239,     0.9443, -0.0328,  0.0059, -0.3274,    -0.0043, -0.0597,  0.0387,  0.0115,     0.0035,  0.0068, -0.6673,     0.0066, -0.0019,  0.0007,    
 016.310, 510741637, 007499250,  0.750, _,    0981.8, 2018.7, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -028, 0085, -008,    -00529, 000100, 008205,    -00002, 000001, -00001,    001059460308, 000002919848, 000080921088, -00154624104,    -030.22, 0084.52, -010.12,    -00547.61, 000100.11, 008234.36,    -00002.59, -00001.94, -00000.23,     0.3046,  0.1703,  0.9197,     0.0122, -0.0662,  1.0065,     0.0005,  0.0007,  0.0001,    -0.006016,  0.002614, -0.000595,     0.3808,  0.9247,     0.9443, -0.0335,  0.0058, -0.3272,    -0.0075, -0.0687, -0.0111,  0.0218,     0.0021,  0.0071, -0.6671,     0.0065, -0.0019,  0.0007,    
 016.320, 520658096, 007448166,  0.745, _,    0981.8, 2018.7, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -033, 0082, -010,    -00554, 000097, 008260,    000000, -00002, 000000,    001059474227, 000002954507, 000080740395, -00154622533,    -030.47, 0083.84, -009.97,    -00547.31, 000100.28, 008236.61,    -00001.95, -00001.28, -00000.45,     0.3060,  0.1741,  0.9206,     0.0122, -0.0661,  1.0068,     0.0003,  0.0005,  0.0001,    -0.006070,  0.002640, -0.000584,     0.3838,  0.9234,     0.9443, -0.0330,  0.0053, -0.3273,     0.0037,  0.0551, -0.0546, -0.0132,     0.0009,  0.0065, -0.6667,     0.0064, -0.0021,  0.0007,    
 016.330, 530661929, 007464417,  0.746, _,    0981.9, 2018.7, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -033, 0085, -005,    -00588, 000090, 008222,    000000, 000000, 000004,    001059489486, 000002978476, 000080565301, -00154608845,    -031.30, 0084.08, -009.06,    -00556.48, 000097.12, 008237.36,    -00001.56, -00001.59, 000000.62,     0.3107,  0.1727,  0.9258,     0.0118, -0.0673,  1.0069,     0.0004,  0.0004, -0.0002,    -0.006015,  0.002657, -0.000600,     0.3832,  0.9237,     0.9444, -0.0337,  0.0053, -0.3271,    -0.0041, -0.0691,  0.0006,  0.0233,     0.0023,  0.0058, -0.6669,     0.0064, -0.0022,  0.0004,    
 016.340, 540664012, 007397417,  0.740, _,    0981.8, 2018.7, 1502.7, 0980.0, 1260.9, 1846.5,    1000.0, 1000.0, 1000.0, 1000.0,    -025, 0084, -014,    -00546, 000109, 008244,    000000, 000000, 000002,    001059504333, 000003016974, 000080410430, -00154586981,    -029.89, 0084.06, -009.73,    -00555.36, 000099.88, 008235.33,    -00001.20, -00000.84, 000000.94,     0.3028,  0.1728,  0.9220,     0.0122, -0.0671,  1.0067,     0.0002,  0.0003, -0.0002,    -0.006025,  0.002599, -0.000588,     0.3796,  0.9251,     0.9443, -0.0333,  0.0059, -0.3273,     0.0012,  0.0377,  0.0621, -0.0188,     0.0010,  0.0054, -0.6665,     0.0062, -0.0023,  0.0003,    
 016.350, 550662596, 007385708,  0.739, _,    0981.8, 2018.7, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -031, 0086, -014,    -00527, 000093, 008249,    -00003, -00001, -00004,    001059516082, 000003034911, 000080244886, -00154592126,    -029.95, 0084.45, -011.02,    -00548.95, 000098.34, 008240.69,    -00001.56, -00001.20, 000000.00,     0.3031,  0.1707,  0.9147,     0.0120, -0.0663,  1.0073,     0.0003,  0.0004, -0.0000,    -0.006066,  0.002643, -0.000583,     0.3818,  0.9242,     0.9443, -0.0330,  0.0052, -0.3273,     0.0021,  0.0333, -0.0710, -0.0047,     0.0013,  0.0068, -0.6669,     0.0064, -0.0022,  0.0006,    
 016.360, 560655304, 007418333,  0.742, _,    0981.8, 2018.8, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -030, 0085, -008,    -00542, 000085, 008202,    000002, -00003, -00002,    001059526016, 000003070686, 000080063651, -00154617304,    -030.03, 0084.69, -010.17,    -00547.06, 000095.19, 008230.97,    -00000.94, -00001.30, -00000.58,     0.3035,  0.1693,  0.9195,     0.0116, -0.0661,  1.0061,     0.0003,  0.0002,  0.0002,    -0.006022,  0.002602, -0.000592,     0.3784,  0.9256,     0.9443, -0.0333,  0.0058, -0.3272,    -0.0048, -0.0319,  0.0640,  0.0113,     0.0024,  0.0056, -0.6669,     0.0064, -0.0024,  0.0007,    
 016.370, 570887762, 010884959,  1.088, X,    0981.9, 2018.7, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -031, 0086, -011,    -00543, 000115, 008224,    -00003, -00003, -00005,    001059546508, 000003114764, 000079730411, -00154648189,    -030.16, 0084.95, -010.34,    -00546.25, 000098.77, 008229.64,    -00001.06, -00001.91, -00001.31,     0.3042,  0.1679,  0.9185,     0.0120, -0.0660,  1.0060,     0.0005,  0.0003,  0.0003,    -0.006028,  0.002661, -0.000602,     0.3797,  0.9251,     0.9444, -0.0334,  0.0051, -0.3271,    -0.0029, -0.0144, -0.0735,  0.0183,     0.0013,  0.0066, -0.6667,     0.0065, -0.0024,  0.0010,    
 016.380, 583298929, 007455333,  0.746, _,    0981.9, 2018.7, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -025, 0086, -006,    -00542, 000126, 008195,    000000, -00005, -00007,    001059555148, 000003135038, 000079542147, -00154685526,    -029.19, 0085.30, -009.52,    -00544.95, 000105.09, 008222.09,    -00001.08, -00002.34, -00002.64,     0.2988,  0.1659,  0.9232,     0.0128, -0.0658,  1.0051,     0.0006,  0.0003,  0.0007,    -0.005999,  0.002608, -0.000604,     0.3722,  0.9282,     0.9444, -0.0335,  0.0058, -0.3271,    -0.0040, -0.0096,  0.0723,  0.0020,     0.0015,  0.0052, -0.6664,     0.0066, -0.0023,  0.0013,    
 016.390, 592376971, 007404416,  0.740, _,    0981.8, 2018.7, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -028, 0080, -012,    -00572, 000090, 008212,    000000, -00005, 000001,    001059568970, 000003170537, 000079353758, -00154686883,    -028.62, 0084.23, -009.84,    -00549.97, 000102.14, 008218.94,    -00000.59, -00003.16, -00001.95,     0.2956,  0.1719,  0.9213,     0.0124, -0.0665,  1.0047,     0.0008,  0.0002,  0.0005,    -0.006056,  0.002607, -0.000586,     0.3753,  0.9269,     0.9443, -0.0328,  0.0056, -0.3273,     0.0058,  0.0699, -0.0249, -0.0253,     0.0009,  0.0065, -0.6664,     0.0069, -0.0024,  0.0011,    
 016.400, 601274179, 007447125,  0.745, _,    0981.8, 2018.7, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -031, 0084, -011,    -00546, 000141, 008200,    -00004, -00005, -00002,    001059581804, 000003177596, 000079170809, -00154692576,    -029.31, 0084.03, -010.31,    -00550.22, 000109.34, 008215.05,    -00001.39, -00003.47, -00001.86,     0.2995,  0.1730,  0.9187,     0.0133, -0.0665,  1.0042,     0.0009,  0.0004,  0.0005,    -0.006105,  0.002634, -0.000567,     0.3786,  0.9256,     0.9443, -0.0323,  0.0050, -0.3275,     0.0068,  0.0501, -0.0552, -0.0248,     0.0024,  0.0064, -0.6668,     0.0070, -0.0023,  0.0011,    
 016.410, 610668596, 007428375,  0.743, _,    0981.8, 2018.7, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -025, 0077, -011,    -00548, 000098, 008227,    -00003, 000001, -00004,    001059592488, 000003206119, 000079010107, -00154700965,    -028.36, 0082.72, -010.30,    -00549.16, 000109.23, 008216.14,    -00001.73, -00002.73, -00002.42,     0.2942,  0.1803,  0.9188,     0.0133, -0.0664,  1.0043,     0.0007,  0.0005,  0.0006,    -0.006144,  0.002597, -0.000543,     0.3779,  0.9259,     0.9442, -0.0317,  0.0053, -0.3278,     0.0070,  0.0629,  0.0255, -0.0355,     0.0037,  0.0057, -0.6673,     0.0069, -0.0021,  0.0012,    
 016.420, 620665929, 007459709,  0.746, _,    0981.8, 2018.7, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -022, 0091, -011,    -00527, 000084, 008178,    -00003, 000002, -00001,    001059604198, 000003223379, 000078857730, -00154698148,    -026.92, 0083.97, -010.58,    -00545.34, 000102.31, 008209.47,    -00002.03, -00001.47, -00002.19,     0.2861,  0.1734,  0.9172,     0.0125, -0.0659,  1.0035,     0.0004,  0.0005,  0.0006,    -0.006141,  0.002539, -0.000528,     0.3689,  0.9295,     0.9441, -0.0315,  0.0059, -0.3280,     0.0024,  0.0225,  0.0672, -0.0224,     0.0047,  0.0066, -0.6679,     0.0065, -0.0020,  0.0011,    
 016.430, 630664429, 007390834,  0.739, _,    0981.8, 2018.7, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -035, 0087, -010,    -00566, 000110, 008194,    -00005, -00002, -00003,    001059616641, 000003236756, 000078689449, -00154698329,    -028.36, 0085.19, -010.42,    -00548.03, 000104.77, 008203.64,    -00002.64, -00001.62, -00002.36,     0.2942,  0.1666,  0.9181,     0.0128, -0.0662,  1.0028,     0.0004,  0.0007,  0.0006,    -0.006123,  0.002596, -0.000528,     0.3712,  0.9286,     0.9441, -0.0319,  0.0053, -0.3279,     0.0018, -0.0415, -0.0631,  0.0023,     0.0047,  0.0080, -0.6684,     0.0066, -0.0019,  0.0012,    
 016.440, 640683304, 007384500,  0.738, _,    0981.9, 2018.7, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -034, 0086, -011,    -00557, 000122, 008261,    -00003, 000001, 000004,    001059631302, 000003253926, 000078525403, -00154680904,    -029.94, 0085.00, -010.59,    -00551.81, 000107.89, 008216.25,    -00002.86, -00001.11, -00001.16,     0.3030,  0.1676,  0.9171,     0.0131, -0.0667,  1.0044,     0.0003,  0.0008,  0.0003,    -0.006113,  0.002656, -0.000534,     0.3774,  0.9261,     0.9442, -0.0322,  0.0046, -0.3278,     0.0007, -0.0340, -0.0671,  0.0111,     0.0043,  0.0065, -0.6683,     0.0064, -0.0019,  0.0008,    
