 time, start,  dur,     perc,  X,    
 4334, 288156, 002199,  0.880, _,    
 4334, 488189, 002266,  0.906, _,    
 4334, 490664, 002111,  0.844, _,    
 4334, 493158, 002092,  0.837, _,    
 4334, 495658, 002089,  0.836, _,    
 4334, 498156, 002091,  0.836, _,    
 4334, 500656, 002103,  0.841, _,    
 4334, 503157, 002090,  0.836, _,    
 4334, 505657, 002089,  0.836, _,    
 4334, 508157, 002090,  0.836, _,    
 4334, 510657, 002097,  0.839, _,    
 4334, 513160, 002091,  0.836, _,    
 4334, 515657, 002089,  0.836, _,    
 4334, 518160, 002091,  0.836, _,    
 4334, 520657, 002098,  0.839, _,    
 4334, 523158, 002087,  0.835, _,    
 4334, 525656, 002089,  0.836, _,    
 4334, 528157, 002100,  0.840, _,    
 4334, 530658, 002100,  0.840, _,    
 4334, 533157, 002089,  0.836, _,    
 4334, 535656, 002090,  0.836, _,    
 4334, 538156, 002091,  0.836, _,    
 4334, 540656, 002097,  0.839, _,    
 4334, 543157, 002089,  0.836, _,    
 4334, 545656, 002088,  0.835, _,    
 4334, 548157, 002088,  0.835, _,    
 4334, 550656, 002097,  0.839, _,    
 4334, 553157, 002088,  0.835, _,    
 4334, 555656, 002088,  0.835, _,    
 4334, 558156, 002089,  0.836, _,    
 4334, 560657, 002096,  0.838, _,    
 4334, 563158, 002089,  0.836, _,    
 4334, 565656, 002089,  0.836, _,    
 4334, 568167, 002087,  0.835, _,    
 4334, 570657, 002097,  0.839, _,    
 4334, 573157, 002088,  0.835, _,    
 4334, 575657, 002087,  0.835, _,    
 4334, 578156, 002088,  0.835, _,    
 4334, 580657, 002095,  0.838, _,    
 4334, 583157, 002088,  0.835, _,    
 4334, 585656, 002088,  0.835, _,    
 4334, 588156, 002088,  0.835, _,    
 4334, 590656, 002096,  0.838, _,    
 4334, 593157, 002087,  0.835, _,    
 4334, 595656, 002089,  0.836, _,    
 4334, 598157, 002087,  0.835, _,    
 4334, 600656, 002098,  0.839, _,    
 4334, 603157, 002088,  0.835, _,    
 4334, 605656, 002089,  0.836, _,    
 4334, 608156, 002088,  0.835, _,    
 4334, 610656, 002096,  0.838, _,    
 4334, 613157, 002087,  0.835, _,    
 4334, 615656, 002089,  0.836, _,    
 4334, 618161, 002087,  0.835, _,    
 4334, 620657, 002094,  0.838, _,    
 4334, 623157, 002089,  0.836, _,    
 4334, 625656, 002090,  0.836, _,    
 4334, 628156, 002087,  0.835, _,    
 4334, 630656, 002095,  0.838, _,    
 4334, 633157, 002088,  0.835, _,    
 4334, 635656, 002089,  0.836, _,    
 4334, 638156, 002144,  0.858, _,    
 4334, 640679, 002174,  0.870, _,    
 4334, 643162, 002113,  0.845, _,    
 4334, 645658, 002099,  0.840, _,    
 4334, 648158, 002109,  0.844, _,    
 4334, 650658, 002111,  0.844, _,    
 4334, 653158, 002097,  0.839, _,    
 4334, 655658, 002113,  0.845, _,    
 4334, 658157, 002101,  0.840, _,    
 4334, 660657, 002110,  0.844, _,    
 4334, 663158, 002100,  0.840, _,    
 4334, 665658, 002093,  0.837, _,    
 4334, 668158, 002096,  0.838, _,    
 4334, 670657, 002099,  0.840, _,    
 4334, 673157, 002089,  0.836, _,    
 4334, 675656, 002089,  0.836, _,    
 4334, 678156, 002088,  0.835, _,    
 4334, 680657, 002096,  0.838, _,    
 4334, 683157, 002087,  0.835, _,    
 4334, 685656, 002088,  0.835, _,    
 4334, 688156, 002088,  0.835, _,    
 4334, 690656, 002096,  0.838, _,    
 4334, 693157, 002086,  0.834, _,    
 4334, 695656, 002087,  0.835, _,    
 4334, 698157, 002088,  0.835, _,    
 4334, 700656, 002100,  0.840, _,    
 4334, 703157, 002086,  0.834, _,    
 4334, 705656, 002088,  0.835, _,    
 4334, 708157, 002088,  0.835, _,    
 4334, 710656, 002097,  0.839, _,    
 4334, 713157, 002089,  0.836, _,    
 4334, 715657, 002089,  0.836, _,    
 4334, 718163, 002086,  0.834, _,    
 4334, 720657, 002097,  0.839, _,    
 4334, 723157, 002088,  0.835, _,    
 4334, 725656, 002089,  0.836, _,    
 4334, 728156, 002088,  0.835, _,    
 4334, 730656, 002096,  0.838, _,    
 4334, 733157, 002087,  0.835, _,    
 4334, 735656, 002088,  0.835, _,    
 4334, 738157, 002088,  0.835, _,    
 4334, 740657, 002097,  0.839, _,    
 4334, 743157, 002087,  0.835, _,    
 4334, 745657, 002087,  0.835, _,    
 4334, 748157, 002087,  0.835, _,    
 4334, 750656, 002096,  0.838, _,    
 4334, 753164, 002115,  0.846, _,    
 4334, 755658, 002094,  0.838, _,    
 4334, 758157, 002101,  0.840, _,    
 4334, 760657, 002102,  0.841, _,    
 4334, 763158, 002090,  0.836, _,    
 4334, 765657, 002088,  0.835, _,    
 4334, 768168, 002088,  0.835, _,    
 4334, 770657, 002097,  0.839, _,    
 4334, 773157, 002088,  0.835, _,    
 4334, 775656, 002089,  0.836, _,    
 4334, 778156, 002089,  0.836, _,    
 4334, 780656, 002096,  0.838, _,    
 4334, 783157, 002088,  0.835, _,    
 4334, 785656, 002088,  0.835, _,    
 4334, 788157, 002087,  0.835, _,    
 4334, 790656, 002096,  0.838, _,    
 4334, 793157, 002088,  0.835, _,    
 4334, 795656, 002088,  0.835, _,    
 4334, 798156, 002090,  0.836, _,    
 4334, 800656, 002095,  0.838, _,    
 4334, 803157, 002089,  0.836, _,    
 4334, 805656, 002087,  0.835, _,    
 4334, 808157, 002088,  0.835, _,    
 4334, 810656, 002097,  0.839, _,    
 4334, 813157, 002091,  0.836, _,    
 4334, 815656, 002089,  0.836, _,    
 4334, 818163, 002086,  0.834, _,    
 4334, 820656, 002097,  0.839, _,    
 4334, 823157, 002088,  0.835, _,    
 4334, 825656, 002088,  0.835, _,    
 4334, 828156, 002088,  0.835, _,    
 4334, 830656, 002096,  0.838, _,    
 4334, 833157, 002088,  0.835, _,    
 4334, 835656, 002088,  0.835, _,    
 4334, 838156, 002088,  0.835, _,    
 4334, 840656, 002096,  0.838, _,    
 4334, 843157, 002087,  0.835, _,    
 4334, 845656, 002087,  0.835, _,    
 4334, 848157, 002087,  0.835, _,    
 4334, 850656, 002096,  0.838, _,    
 4334, 853157, 002088,  0.835, _,    
 4334, 855656, 002088,  0.835, _,    
 4334, 858156, 002088,  0.835, _,    
 4334, 860657, 002095,  0.838, _,    
 4334, 863157, 002087,  0.835, _,    
 4334, 865656, 002089,  0.836, _,    
 4334, 868163, 002088,  0.835, _,    
 4334, 870657, 002096,  0.838, _,    
 4334, 873157, 002088,  0.835, _,    
 4334, 875656, 002088,  0.835, _,    
 4334, 878156, 002089,  0.836, _,    
 4334, 880657, 002096,  0.838, _,    
 4334, 883157, 002087,  0.835, _,    
 4334, 885656, 002089,  0.836, _,    
 4334, 888156, 002088,  0.835, _,    
 4334, 890657, 002096,  0.838, _,    
 4334, 893157, 002087,  0.835, _,    
 4334, 895656, 002088,  0.835, _,    
 4334, 898157, 002087,  0.835, _,    
 4334, 900657, 002095,  0.838, _,    
 4334, 903157, 002087,  0.835, _,    
 4334, 905656, 002088,  0.835, _,    
 4334, 908157, 002088,  0.835, _,    
 4334, 910656, 002096,  0.838, _,    
 4334, 913158, 002088,  0.835, _,    
 4334, 915656, 002089,  0.836, _,    
 4334, 918162, 002087,  0.835, _,    
 4334, 920657, 002096,  0.838, _,    
 4334, 923157, 002087,  0.835, _,    
 4334, 925656, 002088,  0.835, _,    
 4334, 928157, 002088,  0.835, _,    
 4334, 930656, 002096,  0.838, _,    
 4334, 933157, 002088,  0.835, _,    
 4334, 935656, 002088,  0.835, _,    
 4334, 938156, 002088,  0.835, _,    
 4334, 940657, 002095,  0.838, _,    
 4334, 943157, 002087,  0.835, _,    
 4334, 945657, 002088,  0.835, _,    
 4334, 948156, 002090,  0.836, _,    
 4334, 950657, 002095,  0.838, _,    
 4334, 953157, 002087,  0.835, _,    
 4334, 955656, 002088,  0.835, _,    
 4334, 958156, 002088,  0.835, _,    
 4334, 960656, 002097,  0.839, _,    
 4334, 963158, 002087,  0.835, _,    
 4334, 965657, 002088,  0.835, _,    
 4334, 968161, 002088,  0.835, _,    
 4334, 970658, 002095,  0.838, _,    
 4334, 973157, 002088,  0.835, _,    
 4334, 975656, 002089,  0.836, _,    
 4334, 978157, 002087,  0.835, _,    
 4334, 980657, 002097,  0.839, _,    
 4334, 983157, 002088,  0.835, _,    
 4334, 985656, 002088,  0.835, _,    
 4334, 988156, 002087,  0.835, _,    
 4334, 990656, 002097,  0.839, _,    
 4334, 993157, 002087,  0.835, _,    
 4334, 995656, 002088,  0.835, _,    
 4334, 998156, 002090,  0.836, _,    
 4335, 000656, 002096,  0.838, _,    
 4335, 003157, 002088,  0.835, _,    
 4335, 005656, 002088,  0.835, _,    
 4335, 008156, 002089,  0.836, _,    
 4335, 010657, 002097,  0.839, _,    
 4335, 013157, 002088,  0.835, _,    
 4335, 015656, 002088,  0.835, _,    
 4335, 018160, 002085,  0.834, _,    
 4335, 020657, 002097,  0.839, _,    
 4335, 023162, 002100,  0.840, _,    
 4335, 025656, 002091,  0.836, _,    
 4335, 028156, 002090,  0.836, _,    
 4335, 030657, 002097,  0.839, _,    
 4335, 033157, 002088,  0.835, _,    
 4335, 035656, 002087,  0.835, _,    
 4335, 038157, 002088,  0.835, _,    
 4335, 040656, 002097,  0.839, _,    
 4335, 043157, 002087,  0.835, _,    
 4335, 045656, 002089,  0.836, _,    
 4335, 048156, 002087,  0.835, _,    
 4335, 050656, 002096,  0.838, _,    
 4335, 053157, 002087,  0.835, _,    
 4335, 055657, 002087,  0.835, _,    
 4335, 058156, 002088,  0.835, _,    
 4335, 060657, 002095,  0.838, _,    
 4335, 063158, 002087,  0.835, _,    
 4335, 065656, 002088,  0.835, _,    
 4335, 068163, 002085,  0.834, _,    
 4335, 070657, 002097,  0.839, _,    
 4335, 073157, 002088,  0.835, _,    
 4335, 075656, 002090,  0.836, _,    
 4335, 078156, 002087,  0.835, _,    
 4335, 080656, 002096,  0.838, _,    
 4335, 083157, 002087,  0.835, _,    
 4335, 085656, 002089,  0.836, _,    
 4335, 088156, 002088,  0.835, _,    
 4335, 090656, 002096,  0.838, _,    
 4335, 093158, 002087,  0.835, _,    
 4335, 095658, 002089,  0.836, _,    
 4335, 098157, 002088,  0.835, _,    
 4335, 100657, 002096,  0.838, _,    
 4335, 103157, 002089,  0.836, _,    
 4335, 105656, 002087,  0.835, _,    
 4335, 108156, 002088,  0.835, _,    
 4335, 110656, 002095,  0.838, _,    
 4335, 113158, 002086,  0.834, _,    
 4335, 115656, 002090,  0.836, _,    
 4335, 118160, 002086,  0.834, _,    
 4335, 120656, 002096,  0.838, _,    
 4335, 123157, 002088,  0.835, _,    
 4335, 125656, 002088,  0.835, _,    
 4335, 128157, 002086,  0.834, _,    
 4335, 130657, 002094,  0.838, _,    
 4335, 133158, 002087,  0.835, _,    
 4335, 135656, 002088,  0.835, _,    
 4335, 138156, 002089,  0.836, _,    
 4335, 140657, 002097,  0.839, _,    
 4335, 143157, 002088,  0.835, _,    
 4335, 145656, 002087,  0.835, _,    
 4335, 148157, 002087,  0.835, _,    
 4335, 150657, 002097,  0.839, _,    
 4335, 153157, 002088,  0.835, _,    
 4335, 155656, 002087,  0.835, _,    
 4335, 158156, 002088,  0.835, _,    
 4335, 160657, 002096,  0.838, _,    
 4335, 163157, 002088,  0.835, _,    
 4335, 165656, 002088,  0.835, _,    
 4335, 168161, 002086,  0.834, _,    
 4335, 170656, 002095,  0.838, _,    
 4335, 173157, 002089,  0.836, _,    
 4335, 175656, 002089,  0.836, _,    
 4335, 178157, 002087,  0.835, _,    
 4335, 180656, 002096,  0.838, _,    
 4335, 183157, 002088,  0.835, _,    
 4335, 185656, 002089,  0.836, _,    
 4335, 188156, 002087,  0.835, _,    
 4335, 190657, 002095,  0.838, _,    
 4335, 193157, 002088,  0.835, _,    
 4335, 195656, 002088,  0.835, _,    
 4335, 198157, 002088,  0.835, _,    
 4335, 200657, 002096,  0.838, _,    
 4335, 203157, 002087,  0.835, _,    
 4335, 205656, 002089,  0.836, _,    
 4335, 208158, 002088,  0.835, _,    
 4335, 210656, 002095,  0.838, _,    
 4335, 213158, 002087,  0.835, _,    
 4335, 215657, 002088,  0.835, _,    
 4335, 218161, 002086,  0.834, _,    
 4335, 220656, 002095,  0.838, _,    
 4335, 223157, 002087,  0.835, _,    
 4335, 225656, 002088,  0.835, _,    
 4335, 228156, 002087,  0.835, _,    
 4335, 230656, 002096,  0.838, _,    
 4335, 233157, 002089,  0.836, _,    
 4335, 235656, 002088,  0.835, _,    
 4335, 238156, 002089,  0.836, _,    
 4335, 240657, 002095,  0.838, _,    
 4335, 243157, 002087,  0.835, _,    
 4335, 245656, 002088,  0.835, _,    
 4335, 248156, 002088,  0.835, _,    
 4335, 250656, 002096,  0.838, _,    
 4335, 253157, 002088,  0.835, _,    
