 Gtime        Gdur      Grx     Gry     Grz        Gax        Gay        Gaz           Gcx      Gcy      Gcz     
 3844.885742  000784    -00035  000067  -00034     -00035.00  000067.00  -00034.00     00.0178  -0.0093  00.0091     
 3845.085938  000817    -00036  000067  -00034     -00036.00  000067.00  -00034.00     00.0178  -0.0096  00.0091     
 3845.186035  000781    -00036  000068  -00035     -00036.00  000068.00  -00035.00     00.0181  -0.0096  00.0093     
 3845.285889  000766    -00035  000067  -00033     -00035.00  000067.00  -00033.00     00.0178  -0.0093  00.0088     
 3845.385986  001213    -00035  000067  -00034     -00035.00  000067.00  -00034.00     00.0178  -0.0093  00.0091     
 3845.485840  000808    -00035  000067  -00034     -00035.00  000067.00  -00034.00     00.0178  -0.0093  00.0091     
 3845.585938  000787    -00036  000066  -00034     -00036.00  000066.00  -00034.00     00.0176  -0.0096  00.0091     
 3845.685791  000810    -00035  000067  -00034     -00035.00  000067.00  -00034.00     00.0178  -0.0093  00.0091     
 3845.785889  000771    -00036  000067  -00034     -00036.00  000067.00  -00034.00     00.0178  -0.0096  00.0091     
 3845.885986  001183    -00035  000067  -00034     -00035.00  000067.00  -00034.00     00.0178  -0.0093  00.0091     
