 timeG,       durG,    percG, G,    rGx1,   rGy1,   rGz1,       
 0000.492188, 001105,  1.105, X,    -00034, 000070, -00039,    
 0000.691406, 001036,  1.036, X,    -00029, 000074, -00036,    
 0000.693359, 000989,  0.989, _,    -00029, 000076, -00040,    
 0000.693359, 000982,  0.982, _,    -00027, 000075, -00039,    
 0000.695312, 000978,  0.978, _,    -00030, 000079, -00035,    
 0000.695312, 000978,  0.978, _,    -00035, 000081, -00032,    
 0000.697266, 000977,  0.977, _,    -00035, 000077, -00030,    
 0000.697266, 000979,  0.979, _,    -00036, 000075, -00031,    
 0000.699219, 000977,  0.977, _,    -00037, 000077, -00033,    
 0000.699219, 000982,  0.982, _,    -00039, 000081, -00036,    
 0000.701172, 000979,  0.979, _,    -00042, 000076, -00037,    
 0000.701172, 000977,  0.977, _,    -00042, 000068, -00033,    
 0000.703125, 000976,  0.976, _,    -00039, 000067, -00036,    
 0000.703125, 000978,  0.978, _,    -00037, 000074, -00039,    
 0000.705078, 000978,  0.978, _,    -00039, 000076, -00038,    
 0000.705078, 000980,  0.980, _,    -00040, 000072, -00036,    
 0000.707031, 000977,  0.977, _,    -00041, 000068, -00034,    
 0000.707031, 000977,  0.977, _,    -00041, 000069, -00033,    
 0000.708984, 000977,  0.977, _,    -00037, 000076, -00031,    
 0000.708984, 000980,  0.980, _,    -00033, 000077, -00029,    
 0000.710938, 000978,  0.978, _,    -00030, 000076, -00033,    
 0000.710938, 000978,  0.978, _,    -00031, 000077, -00033,    
 0000.712891, 000977,  0.977, _,    -00032, 000074, -00033,    
 0000.712891, 000977,  0.977, _,    -00033, 000072, -00033,    
 0000.714844, 000977,  0.977, _,    -00034, 000074, -00032,    
 0000.714844, 000977,  0.977, _,    -00032, 000077, -00035,    
 0000.716797, 000979,  0.979, _,    -00030, 000077, -00039,    
 0000.716797, 000978,  0.978, _,    -00026, 000081, -00041,    
 0000.718750, 000977,  0.977, _,    -00028, 000084, -00042,    
 0000.718750, 000980,  0.980, _,    -00030, 000085, -00040,    
 0000.720703, 000980,  0.980, _,    -00032, 000084, -00039,    
 0000.720703, 000977,  0.977, _,    -00035, 000084, -00036,    
 0000.722656, 000976,  0.976, _,    -00035, 000080, -00034,    
 0000.722656, 000978,  0.978, _,    -00036, 000075, -00029,    
 0000.724609, 000977,  0.977, _,    -00037, 000073, -00027,    
 0000.724609, 000978,  0.978, _,    -00036, 000074, -00033,    
 0000.726562, 000977,  0.977, _,    -00036, 000074, -00035,    
 0000.728516, 000977,  0.977, _,    -00036, 000070, -00036,    
 0000.728516, 000978,  0.978, _,    -00036, 000072, -00035,    
 0000.730469, 000979,  0.979, _,    -00033, 000074, -00034,    
 0000.730469, 000979,  0.979, _,    -00032, 000077, -00036,    
 0000.732422, 000978,  0.978, _,    -00037, 000079, -00034,    
 0000.732422, 000978,  0.978, _,    -00038, 000075, -00033,    
 0000.734375, 000977,  0.977, _,    -00037, 000070, -00033,    
 0000.734375, 000977,  0.977, _,    -00040, 000069, -00036,    
 0000.736328, 000978,  0.978, _,    -00039, 000072, -00044,    
 0000.736328, 000978,  0.978, _,    -00034, 000076, -00047,    
 0000.738281, 000978,  0.978, _,    -00032, 000080, -00044,    
 0000.738281, 000977,  0.977, _,    -00033, 000077, -00038,    
 0000.740234, 000980,  0.980, _,    -00038, 000074, -00030,    
 0000.740234, 000978,  0.978, _,    -00042, 000077, -00023,    
 0000.742188, 000977,  0.977, _,    -00038, 000078, -00023,    
 0000.742188, 000979,  0.979, _,    -00031, 000080, -00032,    
 0000.744141, 000977,  0.977, _,    -00033, 000082, -00040,    
 0000.744141, 000977,  0.977, _,    -00037, 000084, -00038,    
 0000.746094, 000978,  0.978, _,    -00036, 000084, -00034,    
 0000.746094, 000977,  0.977, _,    -00034, 000081, -00031,    
 0000.748047, 000977,  0.977, _,    -00029, 000075, -00034,    
 0000.748047, 000976,  0.976, _,    -00028, 000067, -00034,    
 0000.750000, 000977,  0.977, _,    -00028, 000065, -00035,    
 0000.750000, 000977,  0.977, _,    -00034, 000072, -00037,    
 0000.751953, 000978,  0.978, _,    -00041, 000080, -00035,    
 0000.751953, 000976,  0.976, _,    -00038, 000087, -00029,    
 0000.753906, 000977,  0.977, _,    -00035, 000084, -00029,    
 0000.753906, 001014,  1.014, X,    -00036, 000080, -00034,    
 0000.755859, 000984,  0.984, _,    -00041, 000077, -00040,    
 0000.755859, 000979,  0.979, _,    -00039, 000077, -00037,    
 0000.757812, 000977,  0.977, _,    -00036, 000081, -00031,    
 0000.757812, 000977,  0.977, _,    -00036, 000085, -00029,    
 0000.759766, 000980,  0.980, _,    -00040, 000086, -00030,    
 0000.761719, 000977,  0.977, _,    -00038, 000081, -00032,    
 0000.761719, 000978,  0.978, _,    -00035, 000077, -00034,    
 0000.763672, 000976,  0.976, _,    -00038, 000074, -00032,    
 0000.763672, 000977,  0.977, _,    -00039, 000073, -00028,    
 0000.765625, 000977,  0.977, _,    -00036, 000071, -00031,    
 0000.765625, 000976,  0.976, _,    -00036, 000068, -00032,    
 0000.767578, 000978,  0.978, _,    -00043, 000070, -00028,    
 0000.767578, 000977,  0.977, _,    -00046, 000073, -00026,    
 0000.769531, 000977,  0.977, _,    -00045, 000075, -00028,    
 0000.769531, 000978,  0.978, _,    -00038, 000075, -00035,    
 0000.771484, 000976,  0.976, _,    -00031, 000073, -00041,    
 0000.771484, 000978,  0.978, _,    -00031, 000076, -00038,    
 0000.773438, 000976,  0.976, _,    -00036, 000080, -00030,    
 0000.773438, 000977,  0.977, _,    -00039, 000083, -00026,    
 0000.775391, 000978,  0.978, _,    -00036, 000084, -00027,    
 0000.775391, 000978,  0.978, _,    -00033, 000078, -00030,    
 0000.777344, 000978,  0.978, _,    -00032, 000073, -00036,    
 0000.777344, 000977,  0.977, _,    -00033, 000074, -00040,    
 0000.779297, 000977,  0.977, _,    -00034, 000078, -00035,    
 0000.779297, 000978,  0.978, _,    -00033, 000077, -00029,    
 0000.781250, 000977,  0.977, _,    -00031, 000073, -00030,    
 0000.781250, 000977,  0.977, _,    -00028, 000072, -00033,    
 0000.783203, 000977,  0.977, _,    -00028, 000073, -00033,    
 0000.783203, 000977,  0.977, _,    -00036, 000074, -00033,    
 0000.785156, 000977,  0.977, _,    -00041, 000079, -00029,    
 0000.785156, 000977,  0.977, _,    -00043, 000080, -00028,    
 0000.787109, 000977,  0.977, _,    -00041, 000082, -00030,    
 0000.787109, 000976,  0.976, _,    -00038, 000079, -00035,    
 0000.789062, 000976,  0.976, _,    -00032, 000073, -00038,    
 0000.789062, 000980,  0.980, _,    -00027, 000070, -00039,    
 0000.791016, 000979,  0.979, _,    -00025, 000069, -00038,    
 0000.791016, 000976,  0.976, _,    -00026, 000069, -00033,    
 0000.792969, 000976,  0.976, _,    -00029, 000069, -00030,    
 0000.792969, 000977,  0.977, _,    -00031, 000071, -00030,    
 0000.794922, 000978,  0.978, _,    -00032, 000073, -00031,    
 0000.794922, 000977,  0.977, _,    -00035, 000074, -00029,    
 0000.796875, 000975,  0.975, _,    -00036, 000074, -00025,    
 0000.796875, 000977,  0.977, _,    -00034, 000074, -00025,    
 0000.798828, 000978,  0.978, _,    -00031, 000077, -00030,    
 0000.798828, 000980,  0.980, _,    -00027, 000078, -00029,    
 0000.800781, 000978,  0.978, _,    -00028, 000080, -00029,    
 0000.802734, 000976,  0.976, _,    -00034, 000082, -00032,    
 0000.802734, 000976,  0.976, _,    -00041, 000084, -00035,    
 0000.804688, 000978,  0.978, _,    -00041, 000080, -00035,    
 0000.804688, 000978,  0.978, _,    -00036, 000076, -00032,    
 0000.806641, 000977,  0.977, _,    -00033, 000078, -00028,    
 0000.806641, 000978,  0.978, _,    -00031, 000080, -00029,    
 0000.808594, 000976,  0.976, _,    -00034, 000076, -00033,    
 0000.808594, 000977,  0.977, _,    -00038, 000072, -00033,    
 0000.810547, 000978,  0.978, _,    -00038, 000075, -00032,    
 0000.810547, 000977,  0.977, _,    -00039, 000076, -00034,    
 0000.812500, 000977,  0.977, _,    -00042, 000073, -00037,    
 0000.812500, 000977,  0.977, _,    -00043, 000074, -00038,    
 0000.814453, 000976,  0.976, _,    -00042, 000078, -00036,    
 0000.814453, 000978,  0.978, _,    -00038, 000084, -00030,    
 0000.816406, 000977,  0.977, _,    -00034, 000087, -00029,    
 0000.816406, 000977,  0.977, _,    -00030, 000087, -00033,    
 0000.818359, 000977,  0.977, _,    -00032, 000085, -00036,    
 0000.818359, 000998,  0.998, _,    -00036, 000084, -00037,    
 0000.820312, 000983,  0.983, _,    -00036, 000085, -00035,    
 0000.820312, 000982,  0.982, _,    -00034, 000081, -00033,    
 0000.822266, 000978,  0.978, _,    -00032, 000078, -00035,    
 0000.822266, 000978,  0.978, _,    -00032, 000077, -00033,    
 0000.824219, 000977,  0.977, _,    -00030, 000076, -00031,    
 0000.824219, 000978,  0.978, _,    -00030, 000080, -00033,    
 0000.826172, 000977,  0.977, _,    -00031, 000084, -00034,    
 0000.826172, 000978,  0.978, _,    -00031, 000083, -00034,    
 0000.828125, 000977,  0.977, _,    -00030, 000080, -00038,    
 0000.828125, 000977,  0.977, _,    -00032, 000078, -00039,    
 0000.830078, 000980,  0.980, _,    -00035, 000076, -00040,    
 0000.830078, 000978,  0.978, _,    -00043, 000078, -00038,    
 0000.832031, 000978,  0.978, _,    -00043, 000081, -00037,    
 0000.832031, 000979,  0.979, _,    -00036, 000082, -00037,    
 0000.833984, 000977,  0.977, _,    -00034, 000083, -00035,    
 0000.833984, 000977,  0.977, _,    -00038, 000081, -00032,    
 0000.835938, 000978,  0.978, _,    -00039, 000080, -00032,    
 0000.835938, 000977,  0.977, _,    -00038, 000076, -00031,    
 0000.837891, 000976,  0.976, _,    -00038, 000073, -00031,    
 0000.839844, 000976,  0.976, _,    -00037, 000074, -00031,    
 0000.839844, 000979,  0.979, _,    -00034, 000076, -00032,    
 0000.841797, 000977,  0.977, _,    -00031, 000077, -00033,    
 0000.841797, 000977,  0.977, _,    -00033, 000078, -00030,    
 0000.843750, 000978,  0.978, _,    -00036, 000077, -00025,    
 0000.843750, 000979,  0.979, _,    -00034, 000074, -00025,    
 0000.845703, 000976,  0.976, _,    -00036, 000075, -00029,    
 0000.845703, 000977,  0.977, _,    -00039, 000079, -00030,    
 0000.847656, 000978,  0.978, _,    -00041, 000083, -00026,    
 0000.847656, 000978,  0.978, _,    -00042, 000081, -00026,    
 0000.849609, 000978,  0.978, _,    -00040, 000077, -00032,    
 0000.849609, 000978,  0.978, _,    -00040, 000074, -00036,    
 0000.851562, 000977,  0.977, _,    -00040, 000078, -00035,    
 0000.851562, 000978,  0.978, _,    -00037, 000082, -00033,    
 0000.853516, 000978,  0.978, _,    -00036, 000083, -00032,    
 0000.853516, 000977,  0.977, _,    -00034, 000080, -00030,    
 0000.855469, 000977,  0.977, _,    -00031, 000076, -00030,    
 0000.855469, 000977,  0.977, _,    -00033, 000076, -00028,    
 0000.857422, 000979,  0.979, _,    -00036, 000078, -00025,    
 0000.857422, 000977,  0.977, _,    -00039, 000077, -00027,    
 0000.859375, 000977,  0.977, _,    -00037, 000079, -00031,    
 0000.859375, 000977,  0.977, _,    -00034, 000081, -00031,    
 0000.861328, 000978,  0.978, _,    -00032, 000083, -00030,    
 0000.861328, 000976,  0.976, _,    -00030, 000081, -00029,    
 0000.863281, 000977,  0.977, _,    -00030, 000074, -00028,    
 0000.863281, 000977,  0.977, _,    -00034, 000069, -00031,    
 0000.865234, 000976,  0.976, _,    -00036, 000075, -00033,    
 0000.865234, 000975,  0.975, _,    -00037, 000080, -00033,    
 0000.867188, 000976,  0.976, _,    -00037, 000083, -00033,    
 0000.867188, 000976,  0.976, _,    -00036, 000082, -00029,    
 0000.869141, 000976,  0.976, _,    -00035, 000081, -00029,    
 0000.869141, 000978,  0.978, _,    -00035, 000079, -00029,    
 0000.871094, 000976,  0.976, _,    -00036, 000076, -00032,    
 0000.871094, 000979,  0.979, _,    -00038, 000077, -00032,    
 0000.873047, 000977,  0.977, _,    -00033, 000084, -00029,    
 0000.873047, 000978,  0.978, _,    -00032, 000086, -00028,    
 0000.875000, 000978,  0.978, _,    -00032, 000081, -00029,    
 0000.875000, 000977,  0.977, _,    -00032, 000078, -00030,    
 0000.876953, 000978,  0.978, _,    -00033, 000074, -00033,    
 0000.876953, 000976,  0.976, _,    -00037, 000070, -00033,    
 0000.878906, 000977,  0.977, _,    -00041, 000070, -00035,    
 0000.880859, 000979,  0.979, _,    -00035, 000071, -00030,    
 0000.880859, 000979,  0.979, _,    -00030, 000071, -00025,    
 0000.882812, 000976,  0.976, _,    -00030, 000076, -00027,    
 0000.882812, 000989,  0.989, _,    -00033, 000080, -00027,    
 0000.884766, 000980,  0.980, _,    -00036, 000079, -00025,    
 0000.884766, 000980,  0.980, _,    -00037, 000077, -00027,    
 0000.886719, 000978,  0.978, _,    -00034, 000077, -00031,    
 0000.886719, 000978,  0.978, _,    -00027, 000080, -00033,    
