 time, start,  dur,     perc,  X,    rMx1, rMy1, rMz1,    
 7178, 815190, 001315,  1.315, X,    0093, 0154, -024,    
 7179, 015197, 001201,  1.201, X,    0091, 0156, -022,    
 7179, 016428, 001172,  1.172, X,    0091, 0156, -022,    
 7179, 017624, 001164,  1.164, X,    0091, 0156, -022,    
 7179, 018809, 001162,  1.162, X,    0091, 0156, -022,    
 7179, 019991, 001399,  1.399, X,    0091, 0156, -022,    
 7179, 021435, 001188,  1.188, X,    0091, 0156, -022,    
 7179, 022650, 001168,  1.168, X,    0091, 0156, -022,    
 7179, 023841, 001161,  1.161, X,    0091, 0156, -022,    
 7179, 025024, 001158,  1.158, X,    0092, 0157, -026,    
 7179, 026205, 001162,  1.162, X,    0092, 0157, -026,    
 7179, 027388, 001160,  1.160, X,    0092, 0157, -026,    
 7179, 028569, 001162,  1.162, X,    0092, 0157, -026,    
 7179, 029752, 001191,  1.191, X,    0092, 0157, -026,    
 7179, 030967, 001160,  1.160, X,    0092, 0157, -026,    
 7179, 032148, 001165,  1.165, X,    0092, 0157, -026,    
 7179, 033334, 001156,  1.156, X,    0092, 0157, -026,    
 7179, 034511, 001158,  1.158, X,    0091, 0156, -029,    
 7179, 035690, 001156,  1.156, X,    0091, 0156, -029,    
 7179, 036867, 001159,  1.159, X,    0091, 0156, -029,    
 7179, 038046, 001224,  1.224, X,    0091, 0156, -029,    
 7179, 039303, 001229,  1.229, X,    0091, 0156, -029,    
 7179, 040563, 001172,  1.172, X,    0091, 0156, -029,    
 7179, 041759, 001162,  1.162, X,    0091, 0156, -029,    
 7179, 042942, 001160,  1.160, X,    0091, 0156, -029,    
 7179, 044123, 001159,  1.159, X,    0091, 0156, -029,    
 7179, 045305, 001158,  1.158, X,    0092, 0157, -028,    
 7179, 046483, 001158,  1.158, X,    0092, 0157, -028,    
 7179, 047662, 001157,  1.157, X,    0092, 0157, -028,    
 7179, 048840, 001157,  1.157, X,    0092, 0157, -028,    
 7179, 050040, 001164,  1.164, X,    0092, 0157, -028,    
 7179, 051227, 001157,  1.157, X,    0092, 0157, -028,    
 7179, 052405, 001158,  1.158, X,    0092, 0157, -028,    
 7179, 053584, 001157,  1.157, X,    0092, 0157, -028,    
 7179, 054761, 001157,  1.157, X,    0094, 0157, -021,    
 7179, 055939, 001158,  1.158, X,    0094, 0157, -021,    
 7179, 057118, 001157,  1.157, X,    0094, 0157, -021,    
 7179, 058297, 001160,  1.160, X,    0094, 0157, -021,    
 7179, 059477, 001161,  1.161, X,    0094, 0157, -021,    
 7179, 060659, 001160,  1.160, X,    0094, 0157, -021,    
 7179, 061840, 001159,  1.159, X,    0094, 0157, -021,    
 7179, 063020, 001159,  1.159, X,    0094, 0157, -021,    
 7179, 064201, 001157,  1.157, X,    0094, 0157, -021,    
 7179, 065379, 001158,  1.158, X,    0088, 0155, -026,    
 7179, 066558, 001157,  1.157, X,    0088, 0155, -026,    
 7179, 067735, 001157,  1.157, X,    0088, 0155, -026,    
 7179, 068912, 001165,  1.165, X,    0088, 0155, -026,    
 7179, 070099, 001159,  1.159, X,    0088, 0155, -026,    
 7179, 071279, 001157,  1.157, X,    0088, 0155, -026,    
 7179, 072457, 001159,  1.159, X,    0088, 0155, -026,    
 7179, 073637, 001159,  1.159, X,    0088, 0155, -026,    
 7179, 074816, 001157,  1.157, X,    0091, 0154, -027,    
 7179, 075994, 001156,  1.156, X,    0091, 0154, -027,    
 7179, 077171, 001165,  1.165, X,    0091, 0154, -027,    
 7179, 078357, 001155,  1.155, X,    0091, 0154, -027,    
 7179, 079532, 001158,  1.158, X,    0091, 0154, -027,    
 7179, 080712, 001160,  1.160, X,    0091, 0154, -027,    
 7179, 081892, 001158,  1.158, X,    0091, 0154, -027,    
 7179, 083070, 001157,  1.157, X,    0091, 0154, -027,    
 7179, 084249, 001156,  1.156, X,    0091, 0154, -027,    
 7179, 085426, 001157,  1.157, X,    0090, 0150, -021,    
 7179, 086604, 001158,  1.158, X,    0090, 0150, -021,    
 7179, 087783, 001160,  1.160, X,    0090, 0150, -021,    
 7179, 088963, 001159,  1.159, X,    0090, 0150, -021,    
 7179, 090143, 001164,  1.164, X,    0090, 0150, -021,    
 7179, 091328, 001158,  1.158, X,    0090, 0150, -021,    
 7179, 092506, 001158,  1.158, X,    0090, 0150, -021,    
 7179, 093685, 001157,  1.157, X,    0090, 0150, -021,    
 7179, 094863, 001157,  1.157, X,    0094, 0160, -026,    
 7179, 096192, 001193,  1.193, X,    0094, 0160, -026,    
 7179, 097412, 001165,  1.165, X,    0094, 0160, -026,    
 7179, 098599, 001159,  1.159, X,    0094, 0160, -026,    
 7179, 099778, 001162,  1.162, X,    0094, 0160, -026,    
 7179, 100962, 001160,  1.160, X,    0094, 0160, -026,    
 7179, 102143, 001167,  1.167, X,    0094, 0160, -026,    
 7179, 103331, 001159,  1.159, X,    0094, 0160, -026,    
 7179, 104512, 001158,  1.158, X,    0093, 0154, -027,    
 7179, 105691, 001158,  1.158, X,    0093, 0154, -027,    
 7179, 106870, 001159,  1.159, X,    0093, 0154, -027,    
 7179, 108050, 001156,  1.156, X,    0093, 0154, -027,    
 7179, 109226, 001161,  1.161, X,    0093, 0154, -027,    
 7179, 110407, 001160,  1.160, X,    0093, 0154, -027,    
 7179, 111588, 001160,  1.160, X,    0093, 0154, -027,    
 7179, 112769, 001157,  1.157, X,    0093, 0154, -027,    
 7179, 113947, 001157,  1.157, X,    0093, 0154, -027,    
 7179, 115124, 001157,  1.157, X,    0096, 0161, -027,    
 7179, 116302, 001157,  1.157, X,    0096, 0161, -027,    
 7179, 117480, 001159,  1.159, X,    0096, 0161, -027,    
 7179, 118660, 001156,  1.156, X,    0096, 0161, -027,    
 7179, 119836, 001159,  1.159, X,    0096, 0161, -027,    
 7179, 121016, 001159,  1.159, X,    0096, 0161, -027,    
 7179, 122196, 001158,  1.158, X,    0096, 0161, -027,    
 7179, 123375, 001157,  1.157, X,    0096, 0161, -027,    
 7179, 124552, 001158,  1.158, X,    0091, 0156, -022,    
 7179, 125730, 001156,  1.156, X,    0091, 0156, -022,    
 7179, 126907, 001157,  1.157, X,    0091, 0156, -022,    
 7179, 128085, 001156,  1.156, X,    0091, 0156, -022,    
 7179, 129261, 001160,  1.160, X,    0091, 0156, -022,    
 7179, 130442, 001160,  1.160, X,    0091, 0156, -022,    
 7179, 131622, 001158,  1.158, X,    0091, 0156, -022,    
 7179, 132801, 001157,  1.157, X,    0091, 0156, -022,    
 7179, 133979, 001156,  1.156, X,    0091, 0156, -022,    
 7179, 135156, 001164,  1.164, X,    0093, 0159, -029,    
 7179, 136341, 001157,  1.157, X,    0093, 0159, -029,    
 7179, 137519, 001157,  1.157, X,    0093, 0159, -029,    
 7179, 138697, 001158,  1.158, X,    0093, 0159, -029,    
 7179, 139874, 001174,  1.174, X,    0093, 0159, -029,    
 7179, 141071, 001162,  1.162, X,    0093, 0159, -029,    
 7179, 142254, 001159,  1.159, X,    0093, 0159, -029,    
 7179, 143434, 001157,  1.157, X,    0093, 0159, -029,    
 7179, 144611, 001157,  1.157, X,    0091, 0154, -020,    
 7179, 145788, 001158,  1.158, X,    0091, 0154, -020,    
 7179, 146966, 001158,  1.158, X,    0091, 0154, -020,    
 7179, 148145, 001164,  1.164, X,    0091, 0154, -020,    
 7179, 149329, 001159,  1.159, X,    0091, 0154, -020,    
 7179, 150509, 001158,  1.158, X,    0091, 0154, -020,    
 7179, 151687, 001159,  1.159, X,    0091, 0154, -020,    
 7179, 152866, 001157,  1.157, X,    0091, 0154, -020,    
 7179, 154044, 001156,  1.156, X,    0091, 0154, -020,    
 7179, 155221, 001157,  1.157, X,    0083, 0150, -023,    
 7179, 156398, 001157,  1.157, X,    0083, 0150, -023,    
 7179, 157576, 001157,  1.157, X,    0083, 0150, -023,    
 7179, 158754, 001157,  1.157, X,    0083, 0150, -023,    
 7179, 159931, 001162,  1.162, X,    0083, 0150, -023,    
 7179, 161113, 001160,  1.160, X,    0083, 0150, -023,    
 7179, 162294, 001156,  1.156, X,    0083, 0150, -023,    
 7179, 163471, 001157,  1.157, X,    0083, 0150, -023,    
 7179, 164648, 001158,  1.158, X,    0092, 0157, -018,    
 7179, 165827, 001156,  1.156, X,    0092, 0157, -018,    
 7179, 167004, 001156,  1.156, X,    0092, 0157, -018,    
 7179, 168181, 001158,  1.158, X,    0092, 0157, -018,    
 7179, 169359, 001160,  1.160, X,    0092, 0157, -018,    
 7179, 170540, 001158,  1.158, X,    0092, 0157, -018,    
 7179, 171719, 001159,  1.159, X,    0092, 0157, -018,    
 7179, 172898, 001157,  1.157, X,    0092, 0157, -018,    
 7179, 174076, 001156,  1.156, X,    0092, 0157, -018,    
 7179, 175253, 001158,  1.158, X,    0091, 0154, -024,    
 7179, 176432, 001158,  1.158, X,    0091, 0154, -024,    
 7179, 177685, 001177,  1.177, X,    0091, 0154, -024,    
 7179, 178887, 001182,  1.182, X,    0091, 0154, -024,    
 7179, 180091, 001163,  1.163, X,    0091, 0154, -024,    
 7179, 181276, 001159,  1.159, X,    0091, 0154, -024,    
 7179, 182456, 001159,  1.159, X,    0091, 0154, -024,    
 7179, 183636, 001158,  1.158, X,    0091, 0154, -024,    
 7179, 184815, 001159,  1.159, X,    0088, 0162, -023,    
 7179, 185995, 001157,  1.157, X,    0088, 0162, -023,    
 7179, 187173, 001163,  1.163, X,    0088, 0162, -023,    
 7179, 188357, 001159,  1.159, X,    0088, 0162, -023,    
 7179, 189535, 001160,  1.160, X,    0088, 0162, -023,    
 7179, 190716, 001160,  1.160, X,    0088, 0162, -023,    
 7179, 191897, 001158,  1.158, X,    0088, 0162, -023,    
 7179, 193076, 001157,  1.157, X,    0088, 0162, -023,    
 7179, 194254, 001157,  1.157, X,    0092, 0153, -023,    
 7179, 195432, 001157,  1.157, X,    0092, 0153, -023,    
 7179, 196609, 001158,  1.158, X,    0092, 0153, -023,    
 7179, 197787, 001158,  1.158, X,    0092, 0153, -023,    
 7179, 198965, 001159,  1.159, X,    0092, 0153, -023,    
 7179, 200145, 001166,  1.166, X,    0092, 0153, -023,    
 7179, 201332, 001159,  1.159, X,    0092, 0153, -023,    
 7179, 202511, 001158,  1.158, X,    0092, 0153, -023,    
 7179, 203690, 001157,  1.157, X,    0092, 0153, -023,    
 7179, 204867, 001157,  1.157, X,    0093, 0152, -022,    
 7179, 206045, 001158,  1.158, X,    0093, 0152, -022,    
 7179, 207224, 001157,  1.157, X,    0093, 0152, -022,    
 7179, 208403, 001156,  1.156, X,    0093, 0152, -022,    
 7179, 209578, 001159,  1.159, X,    0093, 0152, -022,    
 7179, 210759, 001158,  1.158, X,    0093, 0152, -022,    
 7179, 211938, 001157,  1.157, X,    0093, 0152, -022,    
 7179, 213115, 001157,  1.157, X,    0093, 0152, -022,    
 7179, 214293, 001157,  1.157, X,    0091, 0154, -027,    
 7179, 215470, 001158,  1.158, X,    0091, 0154, -027,    
 7179, 216648, 001157,  1.157, X,    0091, 0154, -027,    
 7179, 217825, 001158,  1.158, X,    0091, 0154, -027,    
 7179, 219003, 001160,  1.160, X,    0091, 0154, -027,    
 7179, 220185, 001158,  1.158, X,    0091, 0154, -027,    
 7179, 221364, 001157,  1.157, X,    0091, 0154, -027,    
 7179, 222541, 001158,  1.158, X,    0091, 0154, -027,    
 7179, 223719, 001157,  1.157, X,    0091, 0154, -027,    
 7179, 224896, 001157,  1.157, X,    0090, 0160, -021,    
 7179, 226073, 001157,  1.157, X,    0090, 0160, -021,    
 7179, 227251, 001156,  1.156, X,    0090, 0160, -021,    
 7179, 228428, 001157,  1.157, X,    0090, 0160, -021,    
 7179, 229604, 001158,  1.158, X,    0090, 0160, -021,    
 7179, 230783, 001157,  1.157, X,    0090, 0160, -021,    
 7179, 231960, 001158,  1.158, X,    0090, 0160, -021,    
 7179, 233138, 001157,  1.157, X,    0090, 0160, -021,    
 7179, 234316, 001158,  1.158, X,    0090, 0153, -033,    
 7179, 235495, 001159,  1.159, X,    0090, 0153, -033,    
 7179, 236675, 001158,  1.158, X,    0090, 0153, -033,    
 7179, 237854, 001157,  1.157, X,    0090, 0153, -033,    
 7179, 239032, 001159,  1.159, X,    0090, 0153, -033,    
 7179, 240213, 001159,  1.159, X,    0090, 0153, -033,    
 7179, 241393, 001157,  1.157, X,    0090, 0153, -033,    
 7179, 242571, 001157,  1.157, X,    0090, 0153, -033,    
 7179, 243749, 001157,  1.157, X,    0090, 0153, -033,    
 7179, 244927, 001162,  1.162, X,    0098, 0154, -029,    
 7179, 246109, 001157,  1.157, X,    0098, 0154, -029,    
 7179, 247286, 001158,  1.158, X,    0098, 0154, -029,    
