 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,         Acx1,    Acy1,    Acz1,   
 0000.511719, 000684,  3.420, X,    -00075, -00066, 008344,    -00075.00, -00066.00, 008344.00,    -0.0080, -0.0085, 01.0197,    
 0000.711670, 000560,  2.800, X,    -00083, -00078, 008365,    -00083.00, -00078.00, 008365.00,    -0.0095, -0.0095, 01.0222,    
 0000.712402, 000533,  2.665, X,    -00083, -00078, 008365,    -00083.00, -00078.00, 008365.00,    -0.0095, -0.0095, 01.0222,    
 0000.712891, 000531,  2.655, X,    -00083, -00078, 008365,    -00083.00, -00078.00, 008365.00,    -0.0095, -0.0095, 01.0222,    
 0000.713623, 000531,  2.655, X,    -00083, -00078, 008365,    -00083.00, -00078.00, 008365.00,    -0.0095, -0.0095, 01.0222,    
 0000.714111, 000529,  2.645, X,    -00080, -00059, 008317,    -00080.00, -00059.00, 008317.00,    -0.0072, -0.0091, 01.0165,    
 0000.714600, 000531,  2.655, X,    -00080, -00059, 008317,    -00080.00, -00059.00, 008317.00,    -0.0072, -0.0091, 01.0165,    
 0000.715332, 000523,  2.615, X,    -00080, -00059, 008317,    -00080.00, -00059.00, 008317.00,    -0.0072, -0.0091, 01.0165,    
 0000.715820, 000530,  2.650, X,    -00080, -00059, 008317,    -00080.00, -00059.00, 008317.00,    -0.0072, -0.0091, 01.0165,    
 0000.716553, 000530,  2.650, X,    -00080, -00059, 008317,    -00080.00, -00059.00, 008317.00,    -0.0072, -0.0091, 01.0165,    
 0000.717041, 000529,  2.645, X,    -00080, -00059, 008317,    -00080.00, -00059.00, 008317.00,    -0.0072, -0.0091, 01.0165,    
 0000.717773, 000529,  2.645, X,    -00080, -00059, 008317,    -00080.00, -00059.00, 008317.00,    -0.0072, -0.0091, 01.0165,    
 0000.718262, 000529,  2.645, X,    -00080, -00059, 008317,    -00080.00, -00059.00, 008317.00,    -0.0072, -0.0091, 01.0165,    
 0000.718994, 000530,  2.650, X,    -00100, -00033, 008296,    -00100.00, -00033.00, 008296.00,    -0.0040, -0.0116, 01.0139,    
 0000.719482, 000538,  2.690, X,    -00100, -00033, 008296,    -00100.00, -00033.00, 008296.00,    -0.0040, -0.0116, 01.0139,    
 0000.720215, 000530,  2.650, X,    -00100, -00033, 008296,    -00100.00, -00033.00, 008296.00,    -0.0040, -0.0116, 01.0139,    
 0000.720703, 000530,  2.650, X,    -00100, -00033, 008296,    -00100.00, -00033.00, 008296.00,    -0.0040, -0.0116, 01.0139,    
 0000.721191, 000530,  2.650, X,    -00100, -00033, 008296,    -00100.00, -00033.00, 008296.00,    -0.0040, -0.0116, 01.0139,    
 0000.721924, 000529,  2.645, X,    -00100, -00033, 008296,    -00100.00, -00033.00, 008296.00,    -0.0040, -0.0116, 01.0139,    
 0000.722412, 000529,  2.645, X,    -00100, -00033, 008296,    -00100.00, -00033.00, 008296.00,    -0.0040, -0.0116, 01.0139,    
 0000.723145, 000529,  2.645, X,    -00100, -00033, 008296,    -00100.00, -00033.00, 008296.00,    -0.0040, -0.0116, 01.0139,    
 0000.723633, 000530,  2.650, X,    -00110, -00031, 008294,    -00110.00, -00031.00, 008294.00,    -0.0038, -0.0128, 01.0137,    
 0000.724365, 000529,  2.645, X,    -00110, -00031, 008294,    -00110.00, -00031.00, 008294.00,    -0.0038, -0.0128, 01.0137,    
 0000.724854, 000530,  2.650, X,    -00110, -00031, 008294,    -00110.00, -00031.00, 008294.00,    -0.0038, -0.0128, 01.0137,    
 0000.725586, 000539,  2.695, X,    -00110, -00031, 008294,    -00110.00, -00031.00, 008294.00,    -0.0038, -0.0128, 01.0137,    
 0000.726074, 000538,  2.690, X,    -00110, -00031, 008294,    -00110.00, -00031.00, 008294.00,    -0.0038, -0.0128, 01.0137,    
 0000.726807, 000539,  2.695, X,    -00110, -00031, 008294,    -00110.00, -00031.00, 008294.00,    -0.0038, -0.0128, 01.0137,    
 0000.727295, 000538,  2.690, X,    -00110, -00031, 008294,    -00110.00, -00031.00, 008294.00,    -0.0038, -0.0128, 01.0137,    
 0000.728027, 000544,  2.720, X,    -00110, -00031, 008294,    -00110.00, -00031.00, 008294.00,    -0.0038, -0.0128, 01.0137,    
 0000.728516, 000539,  2.695, X,    -00110, -00031, 008294,    -00110.00, -00031.00, 008294.00,    -0.0038, -0.0128, 01.0137,    
 0000.729248, 000537,  2.685, X,    -00101, -00058, 008346,    -00101.00, -00058.00, 008346.00,    -0.0071, -0.0117, 01.0200,    
 0000.729980, 000552,  2.760, X,    -00101, -00058, 008346,    -00101.00, -00058.00, 008346.00,    -0.0071, -0.0117, 01.0200,    
 0000.730713, 000540,  2.700, X,    -00101, -00058, 008346,    -00101.00, -00058.00, 008346.00,    -0.0071, -0.0117, 01.0200,    
 0000.731201, 000538,  2.690, X,    -00101, -00058, 008346,    -00101.00, -00058.00, 008346.00,    -0.0071, -0.0117, 01.0200,    
 0000.731934, 000539,  2.695, X,    -00101, -00058, 008346,    -00101.00, -00058.00, 008346.00,    -0.0071, -0.0117, 01.0200,    
 0000.732422, 000538,  2.690, X,    -00101, -00058, 008346,    -00101.00, -00058.00, 008346.00,    -0.0071, -0.0117, 01.0200,    
 0000.733154, 000538,  2.690, X,    -00101, -00058, 008346,    -00101.00, -00058.00, 008346.00,    -0.0071, -0.0117, 01.0200,    
 0000.733643, 000537,  2.685, X,    -00104, -00042, 008311,    -00104.00, -00042.00, 008311.00,    -0.0051, -0.0121, 01.0157,    
 0000.734375, 000538,  2.690, X,    -00104, -00042, 008311,    -00104.00, -00042.00, 008311.00,    -0.0051, -0.0121, 01.0157,    
 0000.734863, 000538,  2.690, X,    -00104, -00042, 008311,    -00104.00, -00042.00, 008311.00,    -0.0051, -0.0121, 01.0157,    
 0000.735596, 000541,  2.705, X,    -00104, -00042, 008311,    -00104.00, -00042.00, 008311.00,    -0.0051, -0.0121, 01.0157,    
 0000.736084, 000543,  2.715, X,    -00104, -00042, 008311,    -00104.00, -00042.00, 008311.00,    -0.0051, -0.0121, 01.0157,    
 0000.736816, 000539,  2.695, X,    -00104, -00042, 008311,    -00104.00, -00042.00, 008311.00,    -0.0051, -0.0121, 01.0157,    
 0000.737305, 000537,  2.685, X,    -00104, -00042, 008311,    -00104.00, -00042.00, 008311.00,    -0.0051, -0.0121, 01.0157,    
 0000.738037, 000548,  2.740, X,    -00104, -00042, 008311,    -00104.00, -00042.00, 008311.00,    -0.0051, -0.0121, 01.0157,    
 0000.738525, 000538,  2.690, X,    -00104, -00024, 008268,    -00104.00, -00024.00, 008268.00,    -0.0029, -0.0121, 01.0106,    
 0000.739258, 000538,  2.690, X,    -00104, -00024, 008268,    -00104.00, -00024.00, 008268.00,    -0.0029, -0.0121, 01.0106,    
 0000.739746, 000541,  2.705, X,    -00104, -00024, 008268,    -00104.00, -00024.00, 008268.00,    -0.0029, -0.0121, 01.0106,    
 0000.740479, 000538,  2.690, X,    -00104, -00024, 008268,    -00104.00, -00024.00, 008268.00,    -0.0029, -0.0121, 01.0106,    
 0000.740967, 000538,  2.690, X,    -00104, -00024, 008268,    -00104.00, -00024.00, 008268.00,    -0.0029, -0.0121, 01.0106,    
 0000.741699, 000538,  2.690, X,    -00104, -00024, 008268,    -00104.00, -00024.00, 008268.00,    -0.0029, -0.0121, 01.0106,    
 0000.742188, 000537,  2.685, X,    -00104, -00024, 008268,    -00104.00, -00024.00, 008268.00,    -0.0029, -0.0121, 01.0106,    
 0000.742920, 000538,  2.690, X,    -00104, -00024, 008268,    -00104.00, -00024.00, 008268.00,    -0.0029, -0.0121, 01.0106,    
 0000.743408, 000538,  2.690, X,    -00104, -00024, 008268,    -00104.00, -00024.00, 008268.00,    -0.0029, -0.0121, 01.0106,    
 0000.744141, 000537,  2.685, X,    -00086, -00048, 008296,    -00086.00, -00048.00, 008296.00,    -0.0058, -0.0099, 01.0139,    
 0000.744629, 000537,  2.685, X,    -00086, -00048, 008296,    -00086.00, -00048.00, 008296.00,    -0.0058, -0.0099, 01.0139,    
 0000.745361, 000540,  2.700, X,    -00086, -00048, 008296,    -00086.00, -00048.00, 008296.00,    -0.0058, -0.0099, 01.0139,    
 0000.745850, 000537,  2.685, X,    -00086, -00048, 008296,    -00086.00, -00048.00, 008296.00,    -0.0058, -0.0099, 01.0139,    
 0000.746582, 000538,  2.690, X,    -00086, -00048, 008296,    -00086.00, -00048.00, 008296.00,    -0.0058, -0.0099, 01.0139,    
 0000.747070, 000538,  2.690, X,    -00086, -00048, 008296,    -00086.00, -00048.00, 008296.00,    -0.0058, -0.0099, 01.0139,    
 0000.747803, 000538,  2.690, X,    -00086, -00048, 008296,    -00086.00, -00048.00, 008296.00,    -0.0058, -0.0099, 01.0139,    
 0000.748291, 000626,  3.130, X,    -00086, -00048, 008296,    -00086.00, -00048.00, 008296.00,    -0.0058, -0.0099, 01.0139,    
 0000.749023, 000619,  3.095, X,    -00112, -00066, 008295,    -00112.00, -00066.00, 008295.00,    -0.0080, -0.0130, 01.0138,    
 0000.749756, 000543,  2.715, X,    -00112, -00066, 008295,    -00112.00, -00066.00, 008295.00,    -0.0080, -0.0130, 01.0138,    
 0000.750488, 000540,  2.700, X,    -00112, -00066, 008295,    -00112.00, -00066.00, 008295.00,    -0.0080, -0.0130, 01.0138,    
 0000.750977, 000538,  2.690, X,    -00112, -00066, 008295,    -00112.00, -00066.00, 008295.00,    -0.0080, -0.0130, 01.0138,    
 0000.751709, 000537,  2.685, X,    -00112, -00066, 008295,    -00112.00, -00066.00, 008295.00,    -0.0080, -0.0130, 01.0138,    
 0000.752197, 000538,  2.690, X,    -00112, -00066, 008295,    -00112.00, -00066.00, 008295.00,    -0.0080, -0.0130, 01.0138,    
 0000.752930, 000537,  2.685, X,    -00112, -00066, 008295,    -00112.00, -00066.00, 008295.00,    -0.0080, -0.0130, 01.0138,    
 0000.753418, 000538,  2.690, X,    -00112, -00066, 008295,    -00112.00, -00066.00, 008295.00,    -0.0080, -0.0130, 01.0138,    
 0000.754150, 000540,  2.700, X,    -00091, -00024, 008331,    -00091.00, -00024.00, 008331.00,    -0.0029, -0.0105, 01.0181,    
 0000.754639, 000542,  2.710, X,    -00091, -00024, 008331,    -00091.00, -00024.00, 008331.00,    -0.0029, -0.0105, 01.0181,    
 0000.755371, 000542,  2.710, X,    -00091, -00024, 008331,    -00091.00, -00024.00, 008331.00,    -0.0029, -0.0105, 01.0181,    
 0000.755859, 000538,  2.690, X,    -00091, -00024, 008331,    -00091.00, -00024.00, 008331.00,    -0.0029, -0.0105, 01.0181,    
 0000.756592, 000538,  2.690, X,    -00091, -00024, 008331,    -00091.00, -00024.00, 008331.00,    -0.0029, -0.0105, 01.0181,    
 0000.757080, 000538,  2.690, X,    -00091, -00024, 008331,    -00091.00, -00024.00, 008331.00,    -0.0029, -0.0105, 01.0181,    
 0000.757812, 000537,  2.685, X,    -00091, -00024, 008331,    -00091.00, -00024.00, 008331.00,    -0.0029, -0.0105, 01.0181,    
 0000.758301, 000538,  2.690, X,    -00091, -00024, 008331,    -00091.00, -00024.00, 008331.00,    -0.0029, -0.0105, 01.0181,    
 0000.759033, 000538,  2.690, X,    -00093, -00026, 008275,    -00093.00, -00026.00, 008275.00,    -0.0032, -0.0107, 01.0114,    
 0000.759521, 000539,  2.695, X,    -00093, -00026, 008275,    -00093.00, -00026.00, 008275.00,    -0.0032, -0.0107, 01.0114,    
 0000.760254, 000538,  2.690, X,    -00093, -00026, 008275,    -00093.00, -00026.00, 008275.00,    -0.0032, -0.0107, 01.0114,    
 0000.760742, 000538,  2.690, X,    -00093, -00026, 008275,    -00093.00, -00026.00, 008275.00,    -0.0032, -0.0107, 01.0114,    
 0000.761475, 000538,  2.690, X,    -00093, -00026, 008275,    -00093.00, -00026.00, 008275.00,    -0.0032, -0.0107, 01.0114,    
 0000.761963, 000538,  2.690, X,    -00093, -00026, 008275,    -00093.00, -00026.00, 008275.00,    -0.0032, -0.0107, 01.0114,    
 0000.762695, 000538,  2.690, X,    -00093, -00026, 008275,    -00093.00, -00026.00, 008275.00,    -0.0032, -0.0107, 01.0114,    
 0000.763184, 000538,  2.690, X,    -00093, -00026, 008275,    -00093.00, -00026.00, 008275.00,    -0.0032, -0.0107, 01.0114,    
 0000.763916, 000538,  2.690, X,    -00093, -00011, 008255,    -00093.00, -00011.00, 008255.00,    -0.0013, -0.0107, 01.0090,    
 0000.764404, 000538,  2.690, X,    -00093, -00011, 008255,    -00093.00, -00011.00, 008255.00,    -0.0013, -0.0107, 01.0090,    
 0000.765137, 000537,  2.685, X,    -00093, -00011, 008255,    -00093.00, -00011.00, 008255.00,    -0.0013, -0.0107, 01.0090,    
 0000.765625, 000537,  2.685, X,    -00093, -00011, 008255,    -00093.00, -00011.00, 008255.00,    -0.0013, -0.0107, 01.0090,    
 0000.766357, 000538,  2.690, X,    -00093, -00011, 008255,    -00093.00, -00011.00, 008255.00,    -0.0013, -0.0107, 01.0090,    
 0000.766846, 000539,  2.695, X,    -00093, -00011, 008255,    -00093.00, -00011.00, 008255.00,    -0.0013, -0.0107, 01.0090,    
 0000.767578, 000538,  2.690, X,    -00093, -00011, 008255,    -00093.00, -00011.00, 008255.00,    -0.0013, -0.0107, 01.0090,    
 0000.768066, 000538,  2.690, X,    -00093, -00011, 008255,    -00093.00, -00011.00, 008255.00,    -0.0013, -0.0107, 01.0090,    
 0000.768799, 000546,  2.730, X,    -00099, -00022, 008297,    -00099.00, -00022.00, 008297.00,    -0.0027, -0.0115, 01.0141,    
 0000.769531, 000539,  2.695, X,    -00099, -00022, 008297,    -00099.00, -00022.00, 008297.00,    -0.0027, -0.0115, 01.0141,    
 0000.770020, 000540,  2.700, X,    -00099, -00022, 008297,    -00099.00, -00022.00, 008297.00,    -0.0027, -0.0115, 01.0141,    
 0000.770752, 000538,  2.690, X,    -00099, -00022, 008297,    -00099.00, -00022.00, 008297.00,    -0.0027, -0.0115, 01.0141,    
 0000.771240, 000532,  2.660, X,    -00099, -00022, 008297,    -00099.00, -00022.00, 008297.00,    -0.0027, -0.0115, 01.0141,    
 0000.771973, 000539,  2.695, X,    -00099, -00022, 008297,    -00099.00, -00022.00, 008297.00,    -0.0027, -0.0115, 01.0141,    
 0000.772461, 000538,  2.690, X,    -00099, -00022, 008297,    -00099.00, -00022.00, 008297.00,    -0.0027, -0.0115, 01.0141,    
 0000.773193, 000538,  2.690, X,    -00099, -00022, 008297,    -00099.00, -00022.00, 008297.00,    -0.0027, -0.0115, 01.0141,    
 0000.773682, 000538,  2.690, X,    -00126, -00016, 008309,    -00126.00, -00016.00, 008309.00,    -0.0019, -0.0148, 01.0155,    
 0000.774414, 000537,  2.685, X,    -00126, -00016, 008309,    -00126.00, -00016.00, 008309.00,    -0.0019, -0.0148, 01.0155,    
 0000.774902, 000538,  2.690, X,    -00126, -00016, 008309,    -00126.00, -00016.00, 008309.00,    -0.0019, -0.0148, 01.0155,    
 0000.775391, 000537,  2.685, X,    -00126, -00016, 008309,    -00126.00, -00016.00, 008309.00,    -0.0019, -0.0148, 01.0155,    
 0000.776123, 000543,  2.715, X,    -00126, -00016, 008309,    -00126.00, -00016.00, 008309.00,    -0.0019, -0.0148, 01.0155,    
 0000.776611, 000543,  2.715, X,    -00126, -00016, 008309,    -00126.00, -00016.00, 008309.00,    -0.0019, -0.0148, 01.0155,    
 0000.777344, 000538,  2.690, X,    -00126, -00016, 008309,    -00126.00, -00016.00, 008309.00,    -0.0019, -0.0148, 01.0155,    
 0000.777832, 000537,  2.685, X,    -00126, -00016, 008309,    -00126.00, -00016.00, 008309.00,    -0.0019, -0.0148, 01.0155,    
 0000.778564, 000537,  2.685, X,    -00058, -00039, 008351,    -00058.00, -00039.00, 008351.00,    -0.0048, -0.0065, 01.0206,    
 0000.779053, 000538,  2.690, X,    -00058, -00039, 008351,    -00058.00, -00039.00, 008351.00,    -0.0048, -0.0065, 01.0206,    
 0000.779785, 000539,  2.695, X,    -00058, -00039, 008351,    -00058.00, -00039.00, 008351.00,    -0.0048, -0.0065, 01.0206,    
 0000.780273, 000537,  2.685, X,    -00058, -00039, 008351,    -00058.00, -00039.00, 008351.00,    -0.0048, -0.0065, 01.0206,    
 0000.781006, 000537,  2.685, X,    -00058, -00039, 008351,    -00058.00, -00039.00, 008351.00,    -0.0048, -0.0065, 01.0206,    
 0000.781494, 000542,  2.710, X,    -00058, -00039, 008351,    -00058.00, -00039.00, 008351.00,    -0.0048, -0.0065, 01.0206,    
 0000.782227, 000537,  2.685, X,    -00058, -00039, 008351,    -00058.00, -00039.00, 008351.00,    -0.0048, -0.0065, 01.0206,    
 0000.782715, 000538,  2.690, X,    -00058, -00039, 008351,    -00058.00, -00039.00, 008351.00,    -0.0048, -0.0065, 01.0206,    
