 time, start,  dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 8625, 248753, 002074,  2.074, X,    -00036, 000082, -00027,    
 8625, 448759, 001924,  1.924, X,    -00035, 000079, -00034,    
 8625, 450711, 001892,  1.892, X,    -00047, 000086, -00036,    
 8625, 452626, 001882,  1.882, X,    -00035, 000084, -00034,    
 8625, 454531, 001875,  1.875, X,    -00034, 000078, -00031,    
 8625, 456428, 001876,  1.876, X,    -00040, 000079, -00040,    
 8625, 458325, 001883,  1.883, X,    -00036, 000083, -00027,    
 8625, 460235, 001880,  1.880, X,    -00036, 000082, -00028,    
 8625, 462138, 001877,  1.877, X,    -00030, 000075, -00038,    
 8625, 464038, 001876,  1.876, X,    -00036, 000071, -00031,    
 8625, 465936, 001877,  1.877, X,    -00039, 000068, -00031,    
 8625, 467834, 001876,  1.876, X,    -00039, 000069, -00029,    
 8625, 469731, 001899,  1.899, X,    -00043, 000074, -00030,    
 8625, 471652, 001878,  1.878, X,    -00041, 000067, -00032,    
 8625, 473552, 001875,  1.875, X,    -00034, 000069, -00030,    
 8625, 475448, 001876,  1.876, X,    -00037, 000075, -00029,    
 8625, 477345, 001874,  1.874, X,    -00035, 000079, -00030,    
 8625, 479241, 001878,  1.878, X,    -00032, 000074, -00028,    
 8625, 481142, 001876,  1.876, X,    -00039, 000070, -00026,    
 8625, 483040, 001875,  1.875, X,    -00038, 000080, -00028,    
 8625, 484937, 001877,  1.877, X,    -00031, 000081, -00036,    
 8625, 486836, 001876,  1.876, X,    -00034, 000079, -00035,    
 8625, 488733, 001885,  1.885, X,    -00038, 000081, -00033,    
 8625, 490639, 001877,  1.877, X,    -00040, 000078, -00027,    
 8625, 492539, 001876,  1.876, X,    -00042, 000073, -00028,    
 8625, 494437, 001876,  1.876, X,    -00044, 000080, -00034,    
 8625, 496334, 001876,  1.876, X,    -00039, 000080, -00030,    
 8625, 498231, 001881,  1.881, X,    -00034, 000074, -00032,    
 8625, 500134, 001876,  1.876, X,    -00039, 000081, -00035,    
 8625, 502032, 001877,  1.877, X,    -00037, 000074, -00031,    
 8625, 503930, 001876,  1.876, X,    -00034, 000075, -00036,    
 8625, 505827, 001877,  1.877, X,    -00037, 000080, -00031,    
 8625, 507725, 001881,  1.881, X,    -00036, 000079, -00031,    
 8625, 509627, 001881,  1.881, X,    -00041, 000078, -00023,    
 8625, 511531, 001879,  1.879, X,    -00041, 000070, -00033,    
 8625, 513433, 001876,  1.876, X,    -00043, 000078, -00039,    
 8625, 515331, 001876,  1.876, X,    -00037, 000079, -00037,    
 8625, 517229, 001876,  1.876, X,    -00038, 000073, -00029,    
 8625, 519126, 001877,  1.877, X,    -00031, 000078, -00027,    
 8625, 521025, 001876,  1.876, X,    -00036, 000083, -00023,    
 8625, 522923, 001874,  1.874, X,    -00039, 000083, -00032,    
 8625, 524819, 001878,  1.878, X,    -00031, 000077, -00044,    
 8625, 526718, 001882,  1.882, X,    -00034, 000073, -00044,    
 8625, 528621, 001878,  1.878, X,    -00037, 000081, -00026,    
 8625, 530522, 001877,  1.877, X,    -00028, 000076, -00024,    
 8625, 532422, 001875,  1.875, X,    -00031, 000072, -00028,    
 8625, 534318, 001877,  1.877, X,    -00031, 000079, -00024,    
 8625, 536216, 001876,  1.876, X,    -00031, 000079, -00034,    
 8625, 538114, 001875,  1.875, X,    -00035, 000080, -00029,    
 8625, 540028, 001878,  1.878, X,    -00031, 000076, -00029,    
 8625, 541928, 001877,  1.877, X,    -00036, 000072, -00027,    
 8625, 543827, 001875,  1.875, X,    -00034, 000078, -00030,    
 8625, 545723, 001882,  1.882, X,    -00032, 000073, -00038,    
 8625, 547626, 001875,  1.875, X,    -00030, 000079, -00038,    
 8625, 549522, 001879,  1.879, X,    -00034, 000077, -00037,    
 8625, 551422, 001876,  1.876, X,    -00035, 000083, -00033,    
