 time, start,  dur,     perc,  X,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      
 8668, 891615, 002013,  2.013, X,    -00182, -00023, 008326,    -00037, 000080, -00037,    
 8669, 091623, 001925,  1.925, X,    -00223, -00014, 008438,    -00034, 000079, -00031,    
 8669, 093578, 001897,  1.897, X,    -00216, -00036, 008429,    -00026, 000086, -00029,    
 8669, 095503, 001878,  1.878, X,    -00194, -00058, 008410,    -00030, 000080, -00031,    
 8669, 097407, 001876,  1.876, X,    -00268, -00078, 008363,    -00039, 000080, -00041,    
 8669, 099308, 001879,  1.879, X,    -00236, -00017, 008372,    -00041, 000083, -00036,    
 8669, 101214, 001876,  1.876, X,    -00227, -00025, 008361,    -00041, 000072, -00033,    
 8669, 103116, 001876,  1.876, X,    -00218, -00019, 008403,    -00041, 000074, -00033,    
 8669, 105018, 001876,  1.876, X,    -00236, -00014, 008324,    -00035, 000071, -00037,    
 8669, 106919, 001879,  1.879, X,    -00183, -00049, 008372,    -00036, 000083, -00039,    
 8669, 108823, 001878,  1.878, X,    -00200, -00012, 008373,    -00040, 000085, -00033,    
 8669, 110727, 001878,  1.878, X,    -00216, -00004, 008409,    -00035, 000074, -00038,    
 8669, 112630, 001875,  1.875, X,    -00187, -00028, 008359,    -00040, 000077, -00035,    
 8669, 114530, 001876,  1.876, X,    -00199, -00038, 008385,    -00035, 000079, -00033,    
 8669, 116431, 001874,  1.874, X,    -00244, -00047, 008455,    -00033, 000071, -00032,    
 8669, 118330, 001878,  1.878, X,    -00239, -00059, 008398,    -00034, 000076, -00037,    
 8669, 120233, 001879,  1.879, X,    -00222, -00052, 008383,    -00039, 000072, -00039,    
 8669, 122137, 001875,  1.875, X,    -00196, -00053, 008466,    -00041, 000081, -00034,    
 8669, 124037, 001876,  1.876, X,    -00220, -00001, 008410,    -00037, 000079, -00018,    
 8669, 125938, 001873,  1.873, X,    -00212, 000012, 008361,    -00035, 000079, -00027,    
 8669, 127836, 001875,  1.875, X,    -00200, -00017, 008389,    -00037, 000079, -00043,    
 8669, 129735, 001894,  1.894, X,    -00248, -00049, 008352,    -00036, 000076, -00034,    
 8669, 131655, 001877,  1.877, X,    -00210, -00029, 008337,    -00041, 000078, -00032,    
 8669, 133557, 001875,  1.875, X,    -00156, -00039, 008343,    -00041, 000078, -00031,    
 8669, 135457, 001874,  1.874, X,    -00236, -00009, 008335,    -00038, 000074, -00030,    
 8669, 137356, 001877,  1.877, X,    -00224, 000002, 008377,    -00035, 000069, -00033,    
 8669, 139258, 001877,  1.877, X,    -00212, 000011, 008312,    -00036, 000078, -00025,    
 8669, 141160, 001877,  1.877, X,    -00228, -00030, 008374,    -00034, 000077, -00029,    
 8669, 143063, 001875,  1.875, X,    -00217, -00050, 008343,    -00039, 000079, -00035,    
 8669, 144963, 001875,  1.875, X,    -00228, -00033, 008389,    -00041, 000082, -00035,    
 8669, 146863, 001875,  1.875, X,    -00227, 000007, 008384,    -00035, 000083, -00029,    
 8669, 148762, 001876,  1.876, X,    -00212, -00001, 008357,    -00035, 000076, -00027,    
 8669, 150664, 001882,  1.882, X,    -00190, -00030, 008377,    -00041, 000076, -00029,    
 8669, 152571, 001881,  1.881, X,    -00207, -00045, 008356,    -00039, 000075, -00034,    
 8669, 154477, 001874,  1.874, X,    -00259, 000000, 008416,    -00039, 000081, -00035,    
 8669, 156376, 001874,  1.874, X,    -00213, -00036, 008378,    -00027, 000082, -00031,    
 8669, 158275, 001877,  1.877, X,    -00225, -00007, 008354,    -00032, 000080, -00026,    
 8669, 160178, 001877,  1.877, X,    -00210, -00027, 008370,    -00031, 000079, -00030,    
 8669, 162080, 001875,  1.875, X,    -00190, -00053, 008403,    -00031, 000079, -00035,    
 8669, 163980, 001874,  1.874, X,    -00214, -00016, 008424,    -00038, 000072, -00033,    
 8669, 165878, 001877,  1.877, X,    -00151, 000004, 008416,    -00041, 000078, -00031,    
 8669, 167780, 001875,  1.875, X,    -00206, -00007, 008389,    -00032, 000076, -00036,    
 8669, 169678, 001880,  1.880, X,    -00184, -00026, 008435,    -00033, 000076, -00029,    
 8669, 171583, 001881,  1.881, X,    -00169, -00032, 008440,    -00031, 000077, -00037,    
 8669, 173663, 001912,  1.912, X,    -00199, -00027, 008423,    -00032, 000081, -00036,    
 8669, 175608, 001881,  1.881, X,    -00179, -00030, 008415,    -00036, 000079, -00032,    
 8669, 177515, 001876,  1.876, X,    -00209, -00017, 008346,    -00037, 000077, -00033,    
 8669, 179416, 001881,  1.881, X,    -00202, 000029, 008381,    -00037, 000077, -00039,    
 8669, 181322, 001877,  1.877, X,    -00241, 000010, 008304,    -00037, 000070, -00045,    
 8669, 183223, 001876,  1.876, X,    -00260, -00013, 008335,    -00040, 000075, -00034,    
 8669, 185124, 001874,  1.874, X,    -00209, 000001, 008385,    -00044, 000070, -00038,    
 8669, 187023, 001877,  1.877, X,    -00192, -00030, 008340,    -00039, 000082, -00039,    
 8669, 188925, 001878,  1.878, X,    -00177, -00016, 008359,    -00038, 000083, -00032,    
 8669, 190829, 001877,  1.877, X,    -00208, 000008, 008377,    -00035, 000078, -00029,    
 8669, 192731, 001874,  1.874, X,    -00242, 000019, 008355,    -00034, 000078, -00033,    
 8669, 194630, 001874,  1.874, X,    -00218, -00007, 008384,    -00040, 000079, -00027,    
 8669, 196528, 001875,  1.875, X,    -00229, -00009, 008405,    -00045, 000075, -00038,    
 8669, 198428, 001875,  1.875, X,    -00179, -00061, 008327,    -00044, 000076, -00036,    
 8669, 200329, 001877,  1.877, X,    -00228, -00067, 008365,    -00039, 000074, -00022,    
 8669, 202231, 001875,  1.875, X,    -00247, -00044, 008334,    -00034, 000070, -00029,    
 8669, 204130, 001874,  1.874, X,    -00238, -00030, 008314,    -00027, 000082, -00034,    
 8669, 206029, 001875,  1.875, X,    -00216, -00008, 008337,    -00036, 000081, -00030,    
 8669, 207929, 001874,  1.874, X,    -00187, -00039, 008381,    -00039, 000077, -00029,    
 8669, 209826, 001877,  1.877, X,    -00203, 000003, 008399,    -00040, 000081, -00030,    
 8669, 211728, 001875,  1.875, X,    -00229, -00024, 008372,    -00038, 000080, -00027,    
 8669, 213627, 001875,  1.875, X,    -00217, -00043, 008405,    -00035, 000081, -00031,    
 8669, 215527, 001874,  1.874, X,    -00209, -00036, 008417,    -00036, 000078, -00036,    
 8669, 217426, 001875,  1.875, X,    -00219, -00018, 008380,    -00035, 000076, -00038,    
 8669, 219326, 001877,  1.877, X,    -00179, -00018, 008294,    -00038, 000079, -00028,    
 8669, 221229, 001875,  1.875, X,    -00247, -00007, 008327,    -00033, 000070, -00032,    
 8669, 223129, 001876,  1.876, X,    -00228, 000010, 008454,    -00039, 000075, -00034,    
 8669, 225030, 001876,  1.876, X,    -00203, -00011, 008396,    -00028, 000078, -00040,    
 8669, 226931, 001874,  1.874, X,    -00212, -00025, 008364,    -00038, 000082, -00039,    
 8669, 228830, 001877,  1.877, X,    -00232, -00010, 008426,    -00038, 000075, -00040,    
 8669, 230732, 001876,  1.876, X,    -00199, -00029, 008323,    -00036, 000076, -00031,    
 8669, 232633, 001874,  1.874, X,    -00224, 000017, 008380,    -00038, 000071, -00039,    
 8669, 234532, 001875,  1.875, X,    -00210, -00021, 008418,    -00037, 000076, -00026,    
 8669, 236432, 001873,  1.873, X,    -00236, -00011, 008383,    -00034, 000080, -00030,    
 8669, 238330, 001878,  1.878, X,    -00246, -00038, 008382,    -00031, 000081, -00032,    
 8669, 240233, 001878,  1.878, X,    -00229, -00007, 008373,    -00030, 000082, -00034,    
 8669, 242137, 001874,  1.874, X,    -00213, -00041, 008451,    -00034, 000073, -00024,    
 8669, 244036, 001875,  1.875, X,    -00180, -00040, 008351,    -00036, 000078, -00025,    
 8669, 245936, 001874,  1.874, X,    -00192, -00012, 008404,    -00039, 000082, -00028,    
 8669, 247835, 001875,  1.875, X,    -00250, 000024, 008363,    -00033, 000075, -00018,    
 8669, 249734, 001892,  1.892, X,    -00225, 000017, 008391,    -00034, 000077, -00040,    
 8669, 251651, 001875,  1.875, X,    -00205, -00046, 008389,    -00030, 000079, -00045,    
 8669, 253551, 001875,  1.875, X,    -00220, -00025, 008359,    -00035, 000080, -00042,    
 8669, 255451, 001876,  1.876, X,    -00212, -00026, 008321,    -00033, 000077, -00035,    
 8669, 257351, 001879,  1.879, X,    -00203, 000017, 008412,    -00038, 000076, -00033,    
 8669, 259322, 001896,  1.896, X,    -00188, -00037, 008358,    -00041, 000064, -00027,    
 8669, 261244, 001879,  1.879, X,    -00168, -00008, 008360,    -00038, 000076, -00028,    
 8669, 263149, 001877,  1.877, X,    -00229, -00018, 008420,    -00036, 000078, -00033,    
 8669, 265051, 001874,  1.874, X,    -00232, 000016, 008403,    -00037, 000078, -00034,    
 8669, 266950, 001878,  1.878, X,    -00222, 000012, 008436,    -00032, 000083, -00040,    
 8669, 268853, 001893,  1.893, X,    -00238, -00008, 008377,    -00033, 000077, -00037,    
 8669, 270771, 001877,  1.877, X,    -00199, 000002, 008365,    -00036, 000082, -00039,    
 8669, 272673, 001881,  1.881, X,    -00171, -00018, 008343,    -00035, 000077, -00035,    
 8669, 274579, 001880,  1.880, X,    -00222, 000031, 008375,    -00036, 000076, -00043,    
 8669, 276484, 001874,  1.874, X,    -00222, -00018, 008345,    -00041, 000084, -00035,    
 8669, 278383, 001877,  1.877, X,    -00220, -00019, 008360,    -00041, 000086, -00033,    
 8669, 280285, 001877,  1.877, X,    -00233, -00016, 008385,    -00036, 000086, -00032,    
 8669, 282187, 001875,  1.875, X,    -00214, 000025, 008375,    -00030, 000081, -00035,    
 8669, 284087, 001874,  1.874, X,    -00185, 000011, 008387,    -00031, 000077, -00034,    
 8669, 285986, 001874,  1.874, X,    -00207, -00018, 008403,    -00041, 000074, -00032,    
 8669, 287885, 001876,  1.876, X,    -00174, -00027, 008363,    -00041, 000081, -00040,    
 8669, 289785, 001878,  1.878, X,    -00222, -00055, 008380,    -00036, 000067, -00035,    
 8669, 291688, 001875,  1.875, X,    -00250, 000009, 008405,    -00042, 000071, -00035,    
 8669, 293588, 001883,  1.883, X,    -00193, -00027, 008382,    -00039, 000076, -00040,    
 8669, 295496, 001873,  1.873, X,    -00216, -00018, 008335,    -00041, 000075, -00036,    
 8669, 297394, 001875,  1.875, X,    -00202, -00001, 008329,    -00035, 000076, -00035,    
 8669, 299294, 001876,  1.876, X,    -00244, 000000, 008374,    -00035, 000075, -00033,    
 8669, 301196, 001875,  1.875, X,    -00210, 000001, 008422,    -00034, 000079, -00035,    
 8669, 303096, 001875,  1.875, X,    -00214, -00039, 008304,    -00035, 000079, -00030,    
 8669, 304996, 001875,  1.875, X,    -00229, 000007, 008415,    -00035, 000078, -00029,    
 8669, 306896, 001874,  1.874, X,    -00250, -00045, 008317,    -00039, 000077, -00042,    
 8669, 308795, 001877,  1.877, X,    -00249, -00015, 008325,    -00040, 000079, -00040,    
 8669, 310698, 001876,  1.876, X,    -00201, -00031, 008425,    -00032, 000075, -00029,    
 8669, 312599, 001879,  1.879, X,    -00208, -00021, 008378,    -00037, 000087, -00028,    
 8669, 314503, 001872,  1.872, X,    -00197, -00039, 008371,    -00036, 000077, -00028,    
 8669, 316400, 001874,  1.874, X,    -00218, -00011, 008311,    -00039, 000077, -00035,    
 8669, 318298, 001877,  1.877, X,    -00209, -00014, 008337,    -00038, 000071, -00030,    
 8669, 320200, 001876,  1.876, X,    -00262, -00027, 008330,    -00033, 000073, -00031,    
 8669, 322102, 001875,  1.875, X,    -00223, -00017, 008316,    -00035, 000073, -00033,    
 8669, 324002, 001875,  1.875, X,    -00221, -00039, 008332,    -00035, 000079, -00029,    
 8669, 325901, 001875,  1.875, X,    -00187, -00033, 008398,    -00033, 000076, -00034,    
 8669, 327800, 001874,  1.874, X,    -00165, -00021, 008370,    -00033, 000077, -00038,    
 8669, 329698, 001877,  1.877, X,    -00179, -00021, 008373,    -00032, 000078, -00030,    
 8669, 331600, 001881,  1.881, X,    -00187, -00022, 008319,    -00037, 000079, -00029,    
 8669, 333506, 001876,  1.876, X,    -00189, -00051, 008338,    -00027, 000080, -00024,    
 8669, 335407, 001874,  1.874, X,    -00181, -00021, 008331,    -00030, 000081, -00030,    
 8669, 337306, 001873,  1.873, X,    -00194, -00030, 008339,    -00035, 000083, -00025,    
 8669, 339205, 001876,  1.876, X,    -00204, -00042, 008355,    -00032, 000077, -00027,    
 8669, 341106, 001875,  1.875, X,    -00195, -00045, 008276,    -00036, 000079, -00024,    
 8669, 343064, 001886,  1.886, X,    -00234, -00012, 008359,    -00041, 000071, -00021,    
 8669, 344977, 001877,  1.877, X,    -00218, -00021, 008352,    -00035, 000071, -00031,    
 8669, 346879, 001876,  1.876, X,    -00197, -00033, 008364,    -00038, 000081, -00029,    
 8669, 348780, 001879,  1.879, X,    -00186, -00084, 008339,    -00036, 000085, -00026,    
 8669, 350685, 001878,  1.878, X,    -00206, -00040, 008350,    -00033, 000069, -00031,    
 8669, 352588, 001881,  1.881, X,    -00227, -00017, 008400,    -00037, 000083, -00032,    
 8669, 354494, 001875,  1.875, X,    -00211, -00026, 008365,    -00038, 000078, -00032,    
 8669, 356394, 001873,  1.873, X,    -00216, -00052, 008410,    -00039, 000078, -00033,    
 8669, 358292, 001878,  1.878, X,    -00206, -00023, 008429,    -00039, 000081, -00031,    
 8669, 360195, 001879,  1.879, X,    -00185, -00012, 008399,    -00032, 000085, -00026,    
 8669, 362099, 001877,  1.877, X,    -00211, -00019, 008404,    -00028, 000088, -00027,    
 8669, 364001, 001874,  1.874, X,    -00229, -00028, 008332,    -00035, 000088, -00027,    
 8669, 365900, 001875,  1.875, X,    -00208, -00037, 008343,    -00038, 000080, -00029,    
 8669, 367800, 001874,  1.874, X,    -00233, -00019, 008372,    -00032, 000079, -00037,    
 8669, 369698, 001879,  1.879, X,    -00241, -00045, 008376,    -00034, 000084, -00034,    
 8669, 371602, 001881,  1.881, X,    -00205, -00050, 008346,    -00039, 000086, -00036,    
 8669, 373508, 001873,  1.873, X,    -00223, -00039, 008342,    -00039, 000079, -00035,    
 8669, 375406, 001874,  1.874, X,    -00248, -00022, 008310,    -00040, 000075, -00030,    
 8669, 377305, 001875,  1.875, X,    -00216, -00014, 008315,    -00035, 000078, -00032,    
 8669, 379205, 001876,  1.876, X,    -00232, -00019, 008377,    -00042, 000079, -00035,    
 8669, 381106, 001876,  1.876, X,    -00208, -00050, 008370,    -00046, 000074, -00036,    
 8669, 383006, 001876,  1.876, X,    -00174, 000007, 008405,    -00045, 000073, -00041,    
 8669, 384907, 001874,  1.874, X,    -00183, -00017, 008367,    -00038, 000076, -00029,    
 8669, 386807, 001877,  1.877, X,    -00216, -00019, 008384,    -00035, 000073, -00030,    
 8669, 388709, 001876,  1.876, X,    -00232, 000031, 008379,    -00032, 000076, -00038,    
 8669, 390611, 001877,  1.877, X,    -00217, -00012, 008351,    -00033, 000077, -00033,    
 8669, 392512, 001875,  1.875, X,    -00201, -00009, 008324,    -00035, 000078, -00026,    
 8669, 394412, 001875,  1.875, X,    -00195, -00010, 008372,    -00032, 000082, -00037,    
 8669, 396312, 001875,  1.875, X,    -00203, -00035, 008393,    -00024, 000082, -00029,    
 8669, 398212, 001877,  1.877, X,    -00227, -00010, 008391,    -00027, 000076, -00033,    
 8669, 400114, 001876,  1.876, X,    -00230, -00042, 008413,    -00037, 000077, -00036,    
 8669, 402016, 001875,  1.875, X,    -00177, -00041, 008391,    -00033, 000077, -00038,    
 8669, 403915, 001874,  1.874, X,    -00228, -00049, 008382,    -00031, 000075, -00036,    
 8669, 405814, 001875,  1.875, X,    -00218, -00005, 008392,    -00030, 000074, -00032,    
 8669, 407714, 001873,  1.873, X,    -00218, -00018, 008327,    -00030, 000078, -00033,    
 8669, 409611, 001878,  1.878, X,    -00214, -00006, 008345,    -00034, 000074, -00036,    
 8669, 411513, 001874,  1.874, X,    -00195, -00017, 008420,    -00032, 000082, -00028,    
