 time, start,  dur,     perc,  X,    rMx1, rMy1, rMz1,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      
 8824, 274906, 003096,  3.096, X,    0097, 0157, -021,    -00242, 000004, 008296,    -00042, 000076, -00035,    
 8824, 474911, 003001,  3.001, X,    0089, 0154, -029,    -00218, 000004, 008370,    -00033, 000076, -00033,    
 8824, 477949, 002987,  2.987, X,    0089, 0154, -029,    -00180, -00054, 008366,    -00031, 000077, -00037,    
 8824, 480966, 002964,  2.964, X,    0089, 0154, -029,    -00234, -00035, 008357,    -00036, 000078, -00031,    
 8824, 483959, 002960,  2.960, X,    0096, 0152, -027,    -00219, 000030, 008281,    -00032, 000088, -00033,    
 8824, 486947, 002953,  2.953, X,    0096, 0152, -027,    -00199, -00007, 008369,    -00035, 000075, -00031,    
 8824, 489928, 002955,  2.955, X,    0096, 0152, -027,    -00230, -00013, 008362,    -00033, 000079, -00032,    
 8824, 492912, 002950,  2.950, X,    0085, 0157, -028,    -00215, -00013, 008405,    -00038, 000070, -00031,    
 8824, 495890, 002958,  2.958, X,    0085, 0157, -028,    -00192, -00006, 008379,    -00031, 000072, -00037,    
 8824, 498876, 002962,  2.962, X,    0085, 0157, -028,    -00206, -00009, 008352,    -00036, 000079, -00038,    
 8824, 501867, 002957,  2.957, X,    0085, 0157, -028,    -00201, 000005, 008364,    -00035, 000080, -00034,    
 8824, 504852, 002951,  2.951, X,    0088, 0157, -026,    -00230, 000016, 008329,    -00041, 000077, -00031,    
 8824, 507831, 002959,  2.959, X,    0088, 0157, -026,    -00193, -00053, 008394,    -00033, 000078, -00030,    
 8824, 510821, 002955,  2.955, X,    0088, 0157, -026,    -00225, 000009, 008358,    -00037, 000080, -00031,    
 8824, 513805, 002955,  2.955, X,    0091, 0159, -027,    -00171, -00005, 008338,    -00031, 000077, -00030,    
 8824, 516789, 002950,  2.950, X,    0091, 0159, -027,    -00212, -00011, 008404,    -00039, 000078, -00033,    
 8824, 519768, 002956,  2.956, X,    0091, 0159, -027,    -00198, -00021, 008339,    -00038, 000079, -00024,    
 8824, 522753, 002951,  2.951, X,    0089, 0154, -024,    -00232, 000003, 008366,    -00041, 000071, -00034,    
 8824, 525734, 002951,  2.951, X,    0089, 0154, -024,    -00231, -00027, 008393,    -00037, 000075, -00032,    
 8824, 528715, 002952,  2.952, X,    0089, 0154, -024,    -00249, -00042, 008415,    -00037, 000082, -00033,    
 8824, 531696, 002950,  2.950, X,    0089, 0154, -024,    -00189, -00026, 008333,    -00030, 000081, -00034,    
 8824, 534674, 002951,  2.951, X,    0090, 0148, -026,    -00183, -00020, 008420,    -00035, 000077, -00028,    
 8824, 537653, 002952,  2.952, X,    0090, 0148, -026,    -00199, -00010, 008314,    -00024, 000084, -00028,    
 8824, 540634, 002956,  2.956, X,    0090, 0148, -026,    -00191, -00035, 008398,    -00031, 000082, -00039,    
 8824, 543618, 002953,  2.953, X,    0093, 0156, -020,    -00209, -00025, 008468,    -00036, 000077, -00035,    
 8824, 546599, 002952,  2.952, X,    0093, 0156, -020,    -00171, -00004, 008450,    -00032, 000072, -00028,    
 8824, 549579, 002954,  2.954, X,    0093, 0156, -020,    -00190, 000000, 008422,    -00040, 000081, -00030,    
 8824, 552561, 002953,  2.953, X,    0091, 0156, -024,    -00217, -00039, 008348,    -00043, 000073, -00035,    
 8824, 555542, 002953,  2.953, X,    0091, 0156, -024,    -00207, 000012, 008377,    -00042, 000076, -00032,    
 8824, 558523, 002955,  2.955, X,    0091, 0156, -024,    -00200, -00004, 008346,    -00030, 000084, -00033,    
 8824, 561507, 002953,  2.953, X,    0091, 0156, -024,    -00249, -00022, 008351,    -00043, 000079, -00034,    
 8824, 564488, 002952,  2.952, X,    0086, 0159, -027,    -00184, -00011, 008363,    -00037, 000070, -00034,    
 8824, 567469, 002955,  2.955, X,    0086, 0159, -027,    -00233, -00037, 008405,    -00036, 000080, -00036,    
 8824, 570453, 002954,  2.954, X,    0086, 0159, -027,    -00221, -00011, 008405,    -00038, 000076, -00029,    
 8824, 573435, 002952,  2.952, X,    0091, 0156, -024,    -00202, -00010, 008345,    -00031, 000078, -00036,    
 8824, 576415, 002952,  2.952, X,    0091, 0156, -024,    -00238, -00043, 008365,    -00044, 000077, -00025,    
 8824, 579560, 002997,  2.997, X,    0091, 0156, -024,    -00228, -00007, 008410,    -00034, 000076, -00036,    
 8824, 582593, 002959,  2.959, X,    0090, 0164, -021,    -00211, 000032, 008379,    -00033, 000083, -00027,    
 8824, 585581, 002954,  2.954, X,    0090, 0164, -021,    -00234, -00007, 008338,    -00039, 000078, -00040,    
 8824, 588563, 002957,  2.957, X,    0090, 0164, -021,    -00210, -00021, 008373,    -00040, 000077, -00025,    
 8824, 591549, 002954,  2.954, X,    0090, 0164, -021,    -00245, -00017, 008391,    -00034, 000071, -00034,    
