 timestamp,   dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 0001.094238, 001101,  1.101, X,    -00045, 000071, -00040,    
 0001.293945, 001028,  1.028, X,    -00030, 000075, -00029,    
 0001.294922, 000983,  0.983, _,    -00030, 000076, -00028,    
 0001.296387, 000980,  0.980, _,    -00036, 000076, -00032,    
 0001.297363, 000977,  0.977, _,    -00039, 000074, -00034,    
 0001.298340, 000976,  0.976, _,    -00041, 000073, -00034,    
 0001.299316, 000979,  0.979, _,    -00041, 000072, -00034,    
 0001.300293, 000976,  0.976, _,    -00038, 000073, -00036,    
 0001.301270, 000977,  0.977, _,    -00042, 000078, -00038,    
 0001.302246, 000979,  0.979, _,    -00044, 000080, -00039,    
 0001.303223, 000976,  0.976, _,    -00042, 000078, -00039,    
 0001.304199, 000975,  0.975, _,    -00040, 000076, -00039,    
 0001.305176, 000976,  0.976, _,    -00039, 000078, -00035,    
 0001.306152, 000975,  0.975, _,    -00038, 000083, -00032,    
 0001.307129, 000975,  0.975, _,    -00037, 000087, -00033,    
 0001.308105, 000976,  0.976, _,    -00036, 000086, -00034,    
 0001.309082, 000978,  0.978, _,    -00039, 000081, -00035,    
 0001.310059, 000976,  0.976, _,    -00044, 000072, -00033,    
 0001.311035, 000977,  0.977, _,    -00044, 000069, -00030,    
 0001.312012, 000977,  0.977, _,    -00038, 000074, -00030,    
 0001.312988, 000977,  0.977, _,    -00035, 000076, -00032,    
 0001.313965, 000977,  0.977, _,    -00034, 000075, -00029,    
 0001.314941, 000978,  0.978, _,    -00035, 000075, -00029,    
 0001.315918, 000977,  0.977, _,    -00037, 000074, -00031,    
 0001.316895, 000977,  0.977, _,    -00040, 000073, -00033,    
 0001.318359, 000977,  0.977, _,    -00041, 000071, -00034,    
 0001.319336, 000980,  0.980, _,    -00038, 000070, -00033,    
 0001.320312, 000976,  0.976, _,    -00035, 000072, -00034,    
 0001.321289, 000978,  0.978, _,    -00034, 000072, -00034,    
 0001.322266, 000978,  0.978, _,    -00033, 000071, -00034,    
 0001.323242, 000977,  0.977, _,    -00032, 000072, -00033,    
 0001.324219, 000978,  0.978, _,    -00031, 000073, -00030,    
 0001.325195, 000977,  0.977, _,    -00033, 000076, -00034,    
 0001.326172, 000977,  0.977, _,    -00040, 000076, -00043,    
 0001.327148, 000978,  0.978, _,    -00042, 000073, -00043,    
 0001.328125, 000978,  0.978, _,    -00036, 000073, -00036,    
 0001.329102, 000979,  0.979, _,    -00031, 000074, -00030,    
 0001.330078, 000976,  0.976, _,    -00033, 000078, -00026,    
 0001.331055, 000977,  0.977, _,    -00035, 000082, -00025,    
 0001.332031, 000977,  0.977, _,    -00037, 000083, -00027,    
 0001.333008, 000978,  0.978, _,    -00034, 000078, -00034,    
 0001.333984, 000977,  0.977, _,    -00034, 000075, -00040,    
 0001.334961, 000978,  0.978, _,    -00036, 000075, -00042,    
 0001.335938, 000977,  0.977, _,    -00040, 000076, -00041,    
 0001.336914, 000977,  0.977, _,    -00038, 000073, -00040,    
 0001.338379, 000978,  0.978, _,    -00036, 000072, -00036,    
 0001.339355, 000980,  0.980, _,    -00037, 000077, -00034,    
 0001.340332, 000977,  0.977, _,    -00040, 000079, -00034,    
 0001.341309, 000977,  0.977, _,    -00043, 000077, -00032,    
 0001.342285, 000977,  0.977, _,    -00043, 000072, -00029,    
 0001.343262, 000977,  0.977, _,    -00044, 000069, -00029,    
 0001.344238, 000978,  0.978, _,    -00045, 000071, -00035,    
 0001.345215, 000978,  0.978, _,    -00039, 000075, -00038,    
 0001.346191, 000978,  0.978, _,    -00038, 000073, -00032,    
 0001.347168, 000977,  0.977, _,    -00040, 000069, -00030,    
 0001.348145, 000978,  0.978, _,    -00039, 000070, -00035,    
 0001.349121, 000980,  0.980, _,    -00037, 000079, -00036,    
 0001.350098, 000976,  0.976, _,    -00036, 000083, -00032,    
 0001.351074, 000977,  0.977, _,    -00036, 000083, -00027,    
 0001.352051, 000978,  0.978, _,    -00036, 000082, -00025,    
 0001.353027, 000978,  0.978, _,    -00035, 000080, -00026,    
 0001.354004, 000977,  0.977, _,    -00036, 000083, -00028,    
 0001.354980, 000978,  0.978, _,    -00038, 000084, -00031,    
 0001.355957, 000978,  0.978, _,    -00037, 000080, -00034,    
 0001.357422, 001010,  1.010, X,    -00035, 000077, -00030,    
 0001.358398, 000980,  0.980, _,    -00039, 000075, -00027,    
 0001.359375, 000984,  0.984, _,    -00043, 000075, -00030,    
 0001.360352, 000978,  0.978, _,    -00041, 000077, -00039,    
 0001.361328, 000976,  0.976, _,    -00039, 000077, -00042,    
 0001.362305, 000975,  0.975, _,    -00036, 000077, -00040,    
 0001.363281, 000976,  0.976, _,    -00038, 000077, -00034,    
 0001.364258, 000974,  0.974, _,    -00040, 000077, -00029,    
 0001.365234, 000976,  0.976, _,    -00037, 000077, -00028,    
 0001.366211, 000976,  0.976, _,    -00033, 000077, -00033,    
 0001.367188, 000975,  0.975, _,    -00031, 000076, -00033,    
 0001.368164, 000975,  0.975, _,    -00031, 000072, -00030,    
 0001.369141, 000979,  0.979, _,    -00033, 000071, -00033,    
 0001.370117, 000976,  0.976, _,    -00039, 000069, -00035,    
 0001.371582, 000976,  0.976, _,    -00038, 000071, -00033,    
 0001.372559, 000975,  0.975, _,    -00036, 000076, -00034,    
 0001.373535, 000976,  0.976, _,    -00034, 000080, -00038,    
 0001.374512, 000975,  0.975, _,    -00033, 000084, -00038,    
 0001.375488, 000976,  0.976, _,    -00037, 000082, -00038,    
 0001.376465, 000975,  0.975, _,    -00039, 000078, -00032,    
 0001.377441, 000974,  0.974, _,    -00038, 000081, -00027,    
 0001.378418, 000977,  0.977, _,    -00036, 000084, -00031,    
 0001.379395, 000976,  0.976, _,    -00034, 000083, -00036,    
 0001.380371, 000975,  0.975, _,    -00032, 000078, -00035,    
 0001.381348, 000975,  0.975, _,    -00033, 000080, -00035,    
 0001.382324, 000974,  0.974, _,    -00038, 000081, -00037,    
 0001.383301, 000976,  0.976, _,    -00041, 000078, -00035,    
 0001.384277, 000975,  0.975, _,    -00041, 000074, -00036,    
 0001.385254, 000975,  0.975, _,    -00040, 000073, -00038,    
 0001.386230, 000974,  0.974, _,    -00035, 000072, -00038,    
 0001.387207, 000975,  0.975, _,    -00031, 000073, -00038,    
 0001.388184, 000975,  0.975, _,    -00033, 000074, -00038,    
 0001.389160, 000976,  0.976, _,    -00037, 000072, -00036,    
 0001.390137, 000977,  0.977, _,    -00041, 000074, -00033,    
 0001.391113, 000976,  0.976, _,    -00045, 000074, -00032,    
 0001.392090, 000975,  0.975, _,    -00042, 000073, -00034,    
 0001.393066, 000975,  0.975, _,    -00036, 000074, -00038,    
 0001.394531, 000975,  0.975, _,    -00035, 000074, -00036,    
 0001.395508, 000975,  0.975, _,    -00037, 000076, -00032,    
 0001.396484, 000976,  0.976, _,    -00038, 000075, -00032,    
 0001.397461, 000974,  0.974, _,    -00041, 000074, -00033,    
